ActivitiesTaskId,Task,Type,Description,Disabled
ActivitiesS1Task1,Close1MajorBreach,Pve,@SeasonsActivities_Close1MajorBreach,
ActivitiesS1Task2,Close1MinorBreaches,Pve,@SeasonsActivities_Close1MinorBreaches,
ActivitiesS1Task3,Kill10Lost,Pve,@SeasonsActivities_Kill10Lost,
ActivitiesS1Task4,Kill10AngryEarth,Pve,@SeasonsActivities_Kill10AngryEarth,
ActivitiesS1Task5,Kill10Ancients,Pve,@SeasonsActivities_Kill10Ancients,
ActivitiesS1Task6,Kill10Corrupted,Pve,@SeasonsActivities_Kill10Corrupted,
ActivitiesS1Task7,Kill10Beasts,Pve,@SeasonsActivities_Kill10Beasts,
ActivitiesS1Task8,Kill10EnemiesOneHanded,Pve,@SeasonsActivities_Kill10EnemiesOneHanded,
ActivitiesS1Task9,Kill10EnemiesTwoHanded,Pve,@SeasonsActivities_Kill10EnemiesTwoHanded,
ActivitiesS1Task10,Kill10EnemiesRanged,Pve,@SeasonsActivities_Kill10EnemiesRanged,
ActivitiesS1Task11,Kill10EnemiesMagic,Pve,@SeasonsActivities_Kill10EnemiesMagic,
ActivitiesS1Task12,Kill1Players,Pvp,@SeasonsActivities_Kill1Player,
ActivitiesS1Task13,Capture1FactionControlPoint,Pvp,@SeasonsActivities_Capture1FactionControlPoint,
ActivitiesS1Task14,ParticipateIn1Duels,Pvp,@SeasonsActivities_ParticipateIn3Duels,
ActivitiesS1Task15,Gather5T5ResourceNodes,Gathering,@SeasonsActivities_Gather5T5Nodes,
ActivitiesS1Task16,Skin10T5Animals,Gathering,@SeasonsActivities_Skin10T5Animals,
ActivitiesS1Task19,Complete2TownProjects,Gathering,@SeasonsActivities_Complete2TownProjects,
ActivitiesS1Task20,Salvage5T5Items,Crafting,@SeasonsActivities_Salvage5T5Items,
ActivitiesS1Task21,Complete2FactionMissions,Pve,@SeasonsActivities_Complete2FactionMissions,
ActivitiesS1Task22,Refine50T5Resources,Crafting,@SeasonsActivities_Refine50T5Resources,
ActivitiesS1Task23,CatchTreasureChest,Gathering,@SeasonsActivities_Catch1TreasureChest,
ActivitiesS1Task24,Catch5RareFish,Gathering,@SeasonsActivities_Catch5RareFish,
ActivitiesS1Task26,Craft10T5Consumables,Crafting,@SeasonsActivities_Craft10T5Consumables,
ActivitiesS1Task27,GetKillingBlowOnEnemyInOutpostRush,Pvp,@SeasonsActivities_KillingBlowOPR,
ActivitiesS1Task28,Play1OutpostRush,Pvp,@SeasonsActivities_ParticipateIn1OPR,
ActivitiesS1Task29,ParticipateIn3Arena3x3,Pvp,@SeasonsActivities_ParticipateIn3_3v3,
ActivitiesS1Task30,DealOrHeal50000InArena3v3,Pvp,@SeasonsActivities_DealOrHeal100000In3v3,
ActivitiesS1Task34,Complete1Expedition,Expedition,@SeasonsActivities_Complete1Expedition,
ActivitiesS1Task37,Complete1MutatedExpedition,Expedition,@SeasonsActivities_Complete1MutatedExpedition,
ActivitiesS1Task39,Earn100PvPXPFromPlayers,Pvp,@SeasonsActivities_Earn1000PvpXp,
ActivitiesS1Task40,DefeatZygormat,Expedition,@SeasonsActivities_DefeatZygormat,
ActivitiesS1Task41,DefeatTheSirenQueen,Expedition,@SeasonsActivities_DefeatSirenQueen,
ActivitiesS1Task42,DefeatAvarice,Expedition,@SeasonsActivities_DefeateAvarice,
ActivitiesS1Task43,Craft1GypsumOrb,Crafting,@SeasonsActivities_Craft1GypsumOrb,
ActivitiesS1Task56,Earn5000AmountOfAzothSalt,Pvp,@SeasonsActivities_Earn5000AzothSalt,
ActivitiesS1Task59,Complete2PvPFactionMissions,Pvp,@SeasonsActivities_Complete2PvpFactionMissions,
ActivitiesS1Task60,EarnVictoryInPvPArena,Pvp,@SeasonsActivities_FlawlessVictoryInPvpArena,
ActivitiesS1Task61,Kill10EnemiesMyrkgard,Expedition,@SeasonsActivities_KillPOIMyrkgard,
ActivitiesS1Task62,Kill10EnemiesImperialPalace,Expedition,@SeasonsActivities_KillPOIImperialPalace,
ActivitiesS1Task63,Kill10EnemiesMalevolence,Expedition,@SeasonsActivities_KillPOIMalevolence,
ActivitiesS1Task64,Kill10EnemiesEternalPool,Expedition,@SeasonsActivities_KillPOIEternalPool,
ActivitiesS1Task66,Kill2Named,Expedition,@SeasonsActivities_KillNamed,
ActivitiesS1Task71,Complete2Songs,Crafting,@SeasonsActivities_Complete2Songs,
ActivitiesS1Task72,Gather500Resources,Gathering,@SeasonsActivities_Gather500Resources,
ActivitiesS1Task74,Gain100PvPXP,Pvp,@SeasonsActivities_Gain1000PvPXP,
ActivitiesS1Task75,LootEliteChest,Expedition,@SeasonsActivities_LootEliteChest,
ActivitiesS1Task77,Craft5T5Weapon,Crafting,@SeasonsActivities_Craft5T5Weapon,
ActivitiesS1Task78,Craft5T5Apparel,Crafting,@SeasonsActivities_Craft5T5Apparel,
ActivitiesS1Task79,CompletePvPRewardTrack,Season,@SeasonsActivities_PvPRewardTrack,
ActivitiesS1Task80,KillPlayerMelee,Season,@SeasonsActivities_KillPlayerMelee,
ActivitiesS1Task82,KillNamedExpedition,Season,@SeasonsActivities_KillNamedExpedition,
ActivitiesS1Task83,GetKillingBlowOnEnemyInCTF,Pvp,@SeasonsActivities_KillingBlowCTF,
ActivitiesS1Task84,PlayCTF,Pvp,@SeasonsActivities_ParticipateInCTF,
