CardAndRowID,Column1Type,Column1XP,Column1Special,Column2Type,Column2XP,Column2Special,Column3Type,Column3XP,Column3Special,Column4Type,Column4XP,Column4Special
Card001Row1,Season,100,,Crafting,100,,Gathering,100,,Season,100,
Card001Row2,Expedition,100,,Pve,100,,Pve,100,,Pvp,100,
Card001Row3,Pvp,100,,Pve,100,,Pve,100,,Expedition,100,
Card001Row4,Season,100,,Gathering,100,,Crafting,100,,Season,100,
Card002Row1,Pvp,100,,Pve,100,,Pve,100,,Pvp,100,
Card002Row2,Gathering,100,,Season,100,,Gathering,100,,Season,100,
Card002Row3,Season,100,,Crafting,100,,Season,100,,Crafting,100,
Card002Row4,Pvp,100,,Pve,100,,Pve,100,,Pvp,100,
Card003Row1,Pve,100,,Crafting,100,,Gathering,100,,Season,100,
Card003Row2,Pve,100,,Pvp,100,,Expedition,100,,Season,100,
Card003Row3,Pve,100,,Expedition,100,,Pvp,100,,Season,100,
Card003Row4,Pve,100,,Gathering,100,,Crafting,100,,Season,100,
Card004Row1,Pve,100,,Gathering,100,,Crafting,100,,Season,100,
Card004Row2,Season,100,,Expedition,100,,Pvp,100,,Pve,100,
Card004Row3,Pve,100,,Pvp,100,,Expedition,100,,Season,100,
Card004Row4,Season,100,,Crafting,100,,Gathering,100,,Pve,100,
Card005Row1,Season,100,,Pve,100,,Gathering,100,,Season,100,
Card005Row2,Crafting,100,,Expedition,100,,Pvp,100,,Crafting,100,
Card005Row3,Gathering,100,,Season,100,,Pve,100,,Gathering,100,
Card005Row4,Pvp,100,,Crafting,100,,Expedition,100,,Pve,100,
Card006Row1,Season,100,,Expedition,100,,Season,100,,Gathering,100,
Card006Row2,Crafting,100,,Crafting,100,,Pvp,100,,Pve,100,
Card006Row3,Pve,100,,Season,100,,Gathering,100,,Pvp,100,
Card006Row4,Pvp,100,,Pvp,100,,Pve,100,,Season,100,
Card007Row1,Season,100,,Expedition,100,,Gathering,100,,Pve,100,
Card007Row2,Pvp,100,,Season,100,,Pve,100,,Expedition,100,
Card007Row3,Crafting,100,,Pve,100,,Season,100,,Pvp,100,
Card007Row4,Pve,100,,Crafting,100,,Gathering,100,,Season,100,
Card008Row1,Crafting,100,,Season,100,,Season,100,,Gathering,100,
Card008Row2,Pve,100,,Expedition,100,,Pvp,100,,Pve,100,
Card008Row3,Pve,100,,Expedition,100,,Pvp,100,,Pve,100,
Card008Row4,Gathering,100,,Season,100,,Season,100,,Crafting,100,
Card009Row1,Expedition,100,,Pve,100,,Season,100,,Gathering,100,
Card009Row2,Pvp,100,,Pve,100,,Season,100,,Pvp,100,
Card009Row3,Pvp,100,,Pve,100,,Season,100,,Pvp,100,
Card009Row4,Crafting,100,,Pve,100,,Season,100,,Expedition,100,
Card010Row1,Season,100,,Crafting,100,,Pve,100,,Gathering,100,
Card010Row2,Pvp,100,,Gathering,100,,Expedition,100,,Pvp,100,
Card010Row3,Gathering,100,,Gathering,100,,Season,100,,Season,100,
Card010Row4,Expedition,100,,Crafting,100,,Pve,100,,Crafting,100,
