CardAndRowID,Column1Type,Column1XP,Column1Special,Column2Type,Column2XP,Column2Special,Column3Type,Column3XP,Column3Special,Column4Type,Column4XP,Column4Special
Card001Row1,Season,50,,Crafting,50,,Gathering,50,,Season,50,
Card001Row2,Expedition,50,,Pve,50,,Pve,50,,Pvp,50,
Card001Row3,Pvp,50,,Pve,50,,Pve,50,,Expedition,50,
Card001Row4,Season,50,,Gathering,50,,Crafting,50,,Season,50,
Card002Row1,Pvp,50,,Pve,50,,Pve,50,,Pvp,50,
Card002Row2,Gathering,50,,Season,50,,Gathering,50,,Season,50,
Card002Row3,Season,50,,Crafting,50,,Season,50,,Crafting,50,
Card002Row4,Pvp,50,,Pve,50,,Pve,50,,Pvp,50,
Card003Row1,Pve,50,,Crafting,50,,Gathering,50,,Season,50,
Card003Row2,Pve,50,,Pvp,50,,Expedition,50,,Season,50,
Card003Row3,Pve,50,,Expedition,50,,Pvp,50,,Season,50,
Card003Row4,Pve,50,,Gathering,50,,Crafting,50,,Season,50,
Card004Row1,Pve,50,,Gathering,50,,Crafting,50,,Season,50,
Card004Row2,Season,50,,Expedition,50,,Pvp,50,,Pve,50,
Card004Row3,Pve,50,,Pvp,50,,Expedition,50,,Season,50,
Card004Row4,Season,50,,Crafting,50,,Gathering,50,,Pve,50,
Card005Row1,Season,50,,Pve,50,,Gathering,50,,Season,50,
Card005Row2,Crafting,50,,Expedition,50,,Pvp,50,,Crafting,50,
Card005Row3,Gathering,50,,Season,50,,Pve,50,,Gathering,50,
Card005Row4,Pvp,50,,Crafting,50,,Expedition,50,,Pve,50,
Card006Row1,Season,50,,Expedition,50,,Season,50,,Gathering,50,
Card006Row2,Crafting,50,,Crafting,50,,Pvp,50,,Pve,50,
Card006Row3,Pve,50,,Season,50,,Gathering,50,,Pvp,50,
Card006Row4,Pvp,50,,Pvp,50,,Pve,50,,Season,50,
Card007Row1,Season,50,,Expedition,50,,Gathering,50,,Pve,50,
Card007Row2,Pvp,50,,Season,50,,Pve,50,,Expedition,50,
Card007Row3,Crafting,50,,Pve,50,,Season,50,,Pvp,50,
Card007Row4,Pve,50,,Crafting,50,,Gathering,50,,Season,50,
Card008Row1,Crafting,50,,Season,50,,Season,50,,Gathering,50,
Card008Row2,Pve,50,,Expedition,50,,Pvp,50,,Pve,50,
Card008Row3,Pve,50,,Expedition,50,,Pvp,50,,Pve,50,
Card008Row4,Gathering,50,,Season,50,,Season,50,,Crafting,50,
Card009Row1,Expedition,50,,Pve,50,,Season,50,,Gathering,50,
Card009Row2,Pvp,50,,Pve,50,,Season,50,,Pvp,50,
Card009Row3,Pvp,50,,Pve,50,,Season,50,,Pvp,50,
Card009Row4,Crafting,50,,Pve,50,,Season,50,,Expedition,50,
Card010Row1,Season,50,,Crafting,50,,Pve,50,,Gathering,50,
Card010Row2,Pvp,50,,Gathering,50,,Expedition,50,,Pvp,50,
Card010Row3,Gathering,50,,Gathering,50,,Season,50,,Season,50,
Card010Row4,Expedition,50,,Crafting,50,,Pve,50,,Crafting,50,
