MutationDifficulty,DifficultyTier,ReqItemsToEnter,HealthIncreaseMod,DamageIncreaseMod,HealthPotency_Dungeon-,DamagePotency_Dungeon-,HealthPotency_Dungeon,DamagePotency_Dungeon,HealthPotency_Dungeon+,DamagePotency_Dungeon+,HealthPotency_DungeonMiniBoss,DamagePotency_DungeonMiniBoss,HealthPotency_DungeonBoss,DamagePotency_DungeonBoss,HasMinorCurse,HasMajorCurse,RecommendedGearScore,GearScoreDeltaModifier,BaseCurseDamageMod,InjectedLootTags,InjectedCreatureLoot,InjectedCreatureLootRoll,InjectedContainerLoot,InjectedContainerLootRoll,PossibleItemDropIds,CompletionEvent1,CompletionEvent2,CompletionEvent3,PerkRollMult1,PerkRollMult2,PerkRollMult3,PerkRollMult4,PerkRollMult5,HWMRangeBias,HWMRangeBiasChance,HWMExceedMod
1,1,,Mut_HealthScale,Mut_DamageScale,15,20,20,15,10,10,15,15,15,15,FALSE,FALSE,602,0.01,0,"MutDiff,MutDiff1",MutatorLoot_Difficulty,,MutatorLoot_Difficulty,,,MutDiff1T1,MutDiff1T2,MutDiff1T3,0,0,0,0,0,0,0.33,0.25
2,1,,Mut_HealthScale,Mut_DamageScale,20,30,30,20,10,15,20,20,20,20,FALSE,FALSE,604,0.02,0,"MutDiff,MutDiff1,MutDiff2",MutatorLoot_Difficulty,,MutatorLoot_Difficulty,,,MutDiff2T1,MutDiff2T2,MutDiff2T3,0.1,0.1,0.1,0.1,0.1,0,0.36,0.4
3,2,,Mut_HealthScale,Mut_DamageScale,25,40,40,25,14,20,25,25,25,25,FALSE,FALSE,606,0.03,0,"MutDiff,MutDiff1,MutDiff2,MutDiff3",MutatorLoot_Difficulty,,MutatorLoot_Difficulty,,,MutDiff3T1,MutDiff3T2,MutDiff3T3,0.2,0.2,0.2,0.2,0.2,0,0.39,0.55
4,2,,Mut_HealthScale,Mut_DamageScale,30,50,50,30,16,25,30,30,30,30,FALSE,FALSE,608,0.04,0,"MutDiff,MutDiff1,MutDiff2,MutDiff3,MutDiff4",MutatorLoot_Difficulty,,MutatorLoot_Difficulty,,,MutDiff4T1,MutDiff4T2,MutDiff4T3,0.3,0.3,0.3,0.3,0.3,0,0.42,0.7
5,2,,Mut_HealthScale,Mut_DamageScale,35,60,60,35,18,30,35,35,35,35,FALSE,FALSE,610,0.05,0,"MutDiff,MutDiff1,MutDiff2,MutDiff3,MutDiff4,MutDiff5",MutatorLoot_Difficulty,,MutatorLoot_Difficulty,,,MutDiff5T1,MutDiff5T2,MutDiff5T3,0.4,0.4,0.4,0.4,0.4,0,0.45,0.85
6,3,,Mut_HealthScale,Mut_DamageScale,40,70,70,40,20,35,40,40,40,40,TRUE,FALSE,613,0.06,0.5,"MutDiff,MutDiff1,MutDiff2,MutDiff3,MutDiff4,MutDiff5,MutDiff6",MutatorLoot_Difficulty,,MutatorLoot_Difficulty,,,MutDiff6T1,MutDiff6T2,MutDiff6T3,0.5,0.5,0.5,0.5,0.5,0,0.48,1
7,3,,Mut_HealthScale,Mut_DamageScale,50,80,80,50,25,40,45,45,45,45,TRUE,FALSE,616,0.07,0.75,"MutDiff,MutDiff1,MutDiff2,MutDiff3,MutDiff4,MutDiff5,MutDiff6,MutDiff7",MutatorLoot_Difficulty,,MutatorLoot_Difficulty,,,MutDiff7T1,MutDiff7T2,MutDiff7T3,0.6,0.6,0.6,0.6,0.6,0,0.51,1.15
8,3,,Mut_HealthScale,Mut_DamageScale,60,100,100,60,30,50,50,50,50,50,TRUE,FALSE,619,0.08,1,"MutDiff,MutDiff1,MutDiff2,MutDiff3,MutDiff4,MutDiff5,MutDiff6,MutDiff7,MutDiff8",MutatorLoot_Difficulty,,MutatorLoot_Difficulty,,,MutDiff8T1,MutDiff8T2,MutDiff8T3,0.7,0.7,0.7,0.7,0.7,0,0.54,1.3
9,4,,Mut_HealthScale,Mut_DamageScale,80,125,125,80,40,60,55,55,55,55,TRUE,TRUE,622,0.09,1.25,"MutDiff,MutDiff1,MutDiff2,MutDiff3,MutDiff4,MutDiff5,MutDiff6,MutDiff7,MutDiff8,MutDiff9",MutatorLoot_Difficulty,,MutatorLoot_Difficulty,,,MutDiff9T1,MutDiff9T2,MutDiff9T3,10,10,10,10,0.5,0,20,20
10,4,,Mut_HealthScale,Mut_DamageScale,100,150,150,100,50,75,60,60,60,60,TRUE,TRUE,625,0.1,1.5,"MutDiff,MutDiff1,MutDiff2,MutDiff3,MutDiff4,MutDiff5,MutDiff6,MutDiff7,MutDiff8,MutDiff9,MutDiff10",MutatorLoot_Difficulty,,MutatorLoot_Difficulty,,,MutDiff10T1,MutDiff10T2,MutDiff10T3,10,10,10,10,10,0,100,100
