TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
99A_MSQ_01_LearnSoulwardens_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99A_MSQ_01_00_container_Whisper01,99A_MSQ_01_01_container_ChasonSteep,99A_MSQ_01_02_container_BearCave,99A_MSQ_01_03_container_Alioth,
99A_MSQ_01_00_container_Whisper01,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99A_MSQ_01_00A_MoveAwayFromYonas,99A_MSQ_01_00C_TriggerWhisper01,,,
99A_MSQ_01_00A_MoveAwayFromYonas,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Leave,,,,,,,,,,,,,,,,,,,,TriggerVol_MSQ_LeaveYonas,@99A_MSQ_01_01A_GoToPOI_ChasonSteep,,8468.131836 3511.487549 127.074295,,,,,,,,,,,,,,,,
99A_MSQ_01_00C_TriggerWhisper01,TaskTriggerGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,99A_IsabellaWhisper_01_Interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99A_MSQ_01_01_container_ChasonSteep,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99A_MSQ_01_01A_GoToPOI_ChasonSteep,99A_MSQ_01_01A_container_SliceSwaps,99A_MSQ_01_01B_container_Plaque_01,99A_MSQ_01_01C_container_Plaque_02,99A_MSQ_01_01D_FindYonas
99A_MSQ_01_01A_GoToPOI_ChasonSteep,TaskGoToPOITag,,,,1,,,,,true,,ancient_ruins_40154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99A_MSQ_01_01A_GoToPOI_ChasonSteep,,8468.131836 3511.487549 127.074295,,,,,,,,,,,,,,,,
99A_MSQ_01_01A_container_SliceSwaps,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99A_MSQ_01_01A_SliceSwap_Yonas_00_Off,99A_MSQ_01_01A_SliceSwap_Yonas_00_A_On,,,
99A_MSQ_01_01A_SliceSwap_Yonas_00_Off,TaskUnlockAchievement,,,,1,SwapActive_99A_Yonas_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99A_MSQ_01_01A_SliceSwap_Yonas_00_A_On,TaskUnlockAchievement,,,,1,SwapActive_99A_Yonas_00_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99A_MSQ_01_01B_container_Plaque_01,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99A_MSQ_01_01B_container_Plaque_01_Vines_optional,99A_MSQ_01_01B_SliceSwap_Plaque_01,99A_MSQ_01_01B_Investigate_Plaque_01,99A_MSQ_01_01B_TriggerVoicedNote_Plaque_01,
99A_MSQ_01_01B_container_Plaque_01_Vines_optional,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99A_MSQ_01_01B_vines_Interact,99A_MSQ_01_01B_vines_Hidden_Optional_Interact,,,
99A_MSQ_01_01B_vines_Interact,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_99A_MSQ_01_01_Vine_Actual,,,99A_MSQ_01_01_Vine_Actual_Interact,,,,,,,,,,,,,,,,,,,,@99A_MSQ_01_01B_vines_Interact,,8480.45 3529.4695 130.428,,,,,,,,,,,,,,,,
99A_MSQ_01_01B_vines_Hidden_Optional_Interact,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,IO_99A_MSQ_01_01_Vines_Fake,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_MSQ_DummyTask,,,,1,,,,,,,,,,,,,,,
99A_MSQ_01_01B_SliceSwap_Plaque_01,TaskUnlockAchievement,,,,1,SwapActive_99A_MSQ_01_Plaque_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99A_MSQ_01_01B_Investigate_Plaque_01,TaskAchievement,,,,1,Lore_unlock_99A_MSQ_SoulwardenIntro_01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99A_MSQ_01_01B_Investigate_Plaque_01,,8480.587891 3528.895508 131.309906,,,0,,,,,,,,,,,,,
99A_MSQ_01_01B_TriggerVoicedNote_Plaque_01,TaskTriggerGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,99A_MSQ_01A_VoicedLoreNote_01_Interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99A_MSQ_01_01C_container_Plaque_02,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99A_MSQ_01_01C_container_Plaque_02_Vines_optional,99A_MSQ_01_01C_SliceSwap_Plaque_02,99A_MSQ_01_01C_Investigate_Plaque_02,99A_MSQ_01_01B_TriggerVoicedNote_Plaque_02,
99A_MSQ_01_01C_container_Plaque_02_Vines_optional,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99A_MSQ_01_01C_vines_Interact,99A_MSQ_01_01C_vines_Hidden_Optional_Interact,,,
99A_MSQ_01_01C_vines_Interact,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_99A_MSQ_01_02_Vine_Actual,,,99A_MSQ_01_02_Vine_Actual_Interact,,,,,,,,,,,,,,,,,,,,@99A_MSQ_01_01C_vines_Interact,,8385.70 3660.9021 170.1873,,,,,,,,,,,,,,,,
99A_MSQ_01_01C_vines_Hidden_Optional_Interact,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,IO_99A_MSQ_01_02_Vines_Fake,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_MSQ_DummyTask,,,,1,,,,,,,,,,,,,,,
