TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TargetDescriptionTaskId,TP_DescriptionTag,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0826_0801_d_00_container_ToBeFree,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0826_0801_d_01_TaskGoToPOITag_SkysongShrine,0826_0801_d_02_TaskHaveAndReturnItems_Keys,0826_0801_d_03_TaskGameEvent_Tigers,,
0826_0801_d_01_TaskGoToPOITag_SkysongShrine,TaskGoToPOITag,,,,,,,,true,,dynasty_shrine_30312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_FreeTigers_Obj_GotoShrine_desc,,,,,,,,,,,,,,,,,,
0826_0801_d_02_TaskHaveAndReturnItems_Keys,TaskHaveAndReturnItems,,,4,0826_0801_DynastyKeys,,,100,true,,dynasty_shrine_30312,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_FreeTigers_Obj_GetKeys_desc,,,,,,,,,,,,,,,,,,
0826_0801_d_03_TaskGameEvent_Tigers,TaskGameEvent,,,4,,,,,true,,dynasty_shrine_30312,,,true,true,,,,,,IO_0826_TigerCage,,,0826_TigerCage_interact,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_FreeTigers_Obj_UnlockCages_desc,,,,,,,,,,,,,,,,,,
0830_0801_d_00_container_Inevitable,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0830_0801_d_01_TaskKillContribution_Ivan,,,,
0830_0801_d_01_TaskKillContribution_Ivan,TaskKillContribution,,1,1,,,,,,,graveyard_40338,,,,,,,,,,,,,Withered_Brute_Named_09_08QP07,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_FightIvan_Obj_DefeatIvan_desc,8467.285156 7162.537109 219.865952,,,,,,,,,,,,,,,,,
08a04_08a04_d_00_container_FlowerForTheDeparted,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08a04_08a04_d_01_TaskGoToPOITag_crypt,08a04_08a04_d_02_GiveFlower,08a04_08a04_d_03_TaskGameEvent_shrine,08a04_08a04_d_04_TaskKillContribution_threewaves,
08a04_08a04_d_01_TaskGoToPOITag_crypt,TaskGoToPOITag,,1,,,,,,true,,graveyard_40338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_KembaFriends_Obj_GoToCrypt_desc,,,,,,,,,,,,,,,,,,
08a04_08a04_d_02_GiveFlower,TaskGiveItem,,1,1,0804_0101_BlossomingFlower,,,100,,,graveyard_40338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
08a04_08a04_d_03_TaskGameEvent_shrine,TaskGameEvent,,,1,,,,,true,,graveyard_40338,,,,,,,,,,IO_0804_AltarOfTheDeparted,,,0804_AltarOfTheDeparted_interact,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_KembaFriends_Obj_PlaceFlowersAtCrypt_desc,8290 7077 197,,,,,,,,,,,,,,,,,
