TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
99B_MSQ_01_searchwalsham_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99B_MSQ_01_d_01_02_Push,99B_MSQ_01_d_01_container_everfallVector,99B_MSQ_01_d_02_container_Walsham,99B_MSQ_01_d_03_container_Graveyard,99B_MSQ_01_d_04_container_Church
99B_MSQ_01_d_01_02_Push,TaskUnlockAchievement,,,,1,BW_Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99B_MSQ_01_d_01_container_everfallVector,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99B_MSQ_01_d_01_01_99A_Yonas_02_Walkaway,99B_MSQ_01_d_01_02_SwapActive_99B_Yonas_p1_On,99B_MSQ_01_d_01_03_CaerDunCurse_Trigger_On,99B_MSQ_01_d_01_04_CaerDunYonasReset,
99B_MSQ_01_d_01_01_99A_Yonas_02_Walkaway,TaskLockAchievement,,,,1,SwapActive_99A_Yonas_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99B_MSQ_01_d_01_02_SwapActive_99B_Yonas_p1_On,TaskUnlockAchievement,,,,1,SwapActive_99B_Yonas_p1_On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99B_MSQ_01_d_01_03_CaerDunCurse_Trigger_On,TaskUnlockAchievement,,,,1,99B_MSQ_CaerDunCurse_Toggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99B_MSQ_01_d_01_04_CaerDunYonasReset,TaskLockAchievement,,,,1,SwapActive_AlazarYonas_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99B_MSQ_01_d_02_container_Walsham,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99B_MSQ_01_d_02_00_TriggerArea_YonasWalsham,99B_MSQ_01_d_02_01_TalkTo_99B_Yonas_p1_01,99B_MSQ_01_d_02_02_99B_Yonas_p1_Walkaway,99B_MSQ_01_d_02_03_GoToPOI_Walsham,99B_MSQ_01_d_02_04_container_LoreNote
99B_MSQ_01_d_02_00_TriggerArea_YonasWalsham,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_99B_YonasWalsham,@99B_MSQ_01_searchwalsham_goto_Yonas,,8966.09 5327.08 150.53,,,,,,,,,,,,,,,,
99B_MSQ_01_d_02_01_TalkTo_99B_Yonas_p1_01,TaskConversationTopic,,,,,99B_Yonas_p1,,,,,,,,,,,,,,,,,Topic_99B_Yonas_p1_01,,,,,,,,,,,,,,,,,,,,,,@99B_Default_Task_TalkTo,,8966.09 5327.08 150.53,,,,,,,,,,,,,,,,
