TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,Oninteractstart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,UIScreenTag,TP_DescriptionTag
Quest_02791_Task_0,Quest_02791_Task_8,Quest_02791_Task_9,Quest_02791_Task_10,Quest_02791_Task_11,Quest_02791_Task_4,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,
Quest_02791_Task_1,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_04292,NPC_04292_State_1_Topic_0,@Quest_02791_Task_1_Description
Quest_02791_Task_2,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_04291,NPC_04291_State_1_Topic_0,@Quest_02791_Task_2_Description
Quest_02791_Task_3,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_04290,NPC_04290_State_1_Topic_0,@Quest_02791_Task_3_Description
Quest_02791_Task_4,Quest_02791_Task_2,Quest_02791_Task_1,Quest_02791_Task_3,Quest_02791_Task_5,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,
Quest_02791_Task_8,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,SwapActive_JaneHargreve_Repeat,,
Quest_02791_Task_9,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,SwapActive_JaneHargreve_1,,
Quest_02791_Task_10,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,SwapActive_KirksleyDunham_Repeat,,
Quest_02791_Task_11,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,SwapActive_KirksleyDunham_1,,
Quest_02791_Task_5,,,,,,TASKLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,SwapActive_KirksleyDunham_1,,
