TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
12A_MSQ_02_InnTutorial_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,12A_MSQ_02_InnTutorial_Unlock_Container,12A_MSQ_02_InnTutorial_UnlockTradingPost,12A_MSQ_02_InnTutorial_Update_Container,12A_MSQ_02_InnTutorial_PayneSwap,12A_MSQ_02_InnTutorial_PayneSwap02
12A_MSQ_02_InnTutorial_Unlock_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,12A_MSQ_02_InnTutorial_Push,12A_MSQ_02_InnTutorial_Grace_Swap,,,
12A_MSQ_02_InnTutorial_Push,TaskUnlockAchievement,,,,1,MB_Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12A_MSQ_02_InnTutorial_Grace_Swap,TaskUnlockAchievement,,,,1,SwapActive_12_MB_Grace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12A_MSQ_02_InnTutorial_UnlockTradingPost,TaskUnlockAchievement,,,,1,S_hearthhome,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12A_MSQ_02_InnTutorial_Update_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,12A_MSQ_02_InnTutorial_Leave_Hall,12A_MSQ_02_InnTutorial_Trigger_Whispers,12A_MSQ_02_InnTutorial_OpenInnUIScreen,,
12A_MSQ_02_InnTutorial_Whisper_Partial,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,12A_MSQ_02_InnTutorial_Whisper_Container,12A_MSQ_02_InnTutorial_OpenInnUIScreen_Partial,,,
12A_MSQ_02_InnTutorial_Whisper_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,12A_MSQ_02_InnTutorial_Leave_Hall,12A_MSQ_02_InnTutorial_Trigger_Whispers,,,
12A_MSQ_02_InnTutorial_Leave_Hall,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,12A_LeaveLochnir,,,,1,,,,,,,,,,,,,,,,
12A_MSQ_02_InnTutorial_Trigger_Whispers,TaskTriggerGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,12A_MB_whisper_01_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
