TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0316_0101_d_00_container_maliceaforethought,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0316_0101_d_01_travel_greatcleavesouthwall_40301,0316_0101_d_02_container_kill,,,
0316_0101_d_01_travel_greatcleavesouthwall_40301,TaskGoToPOITag,,1,,,,,,true,,greatcleavesouthwall_40301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0316_0101_maliceaforethought_travel,,,,,,,,,,,,,
0316_0101_d_02_container_kill,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0316_0101_d_03_kill_25_Corrupted_greatcleavesouthwall_40301,0316_0101_d_04_kill_12_DamnedHound_greatcleavesouthwall_40301,,,
0316_0101_d_03_kill_25_Corrupted_greatcleavesouthwall_40301,TaskKillContribution,,1,25,,,,,true,,greatcleavesouthwall_40301,,,,,,,,,,,,Frontwatch,,,,,,,,,,,,,,,,,,,,@0316_0101_maliceaforethought_kill_targetVC_at_POI,,,,,,,,,,,,,
0316_0101_d_04_kill_12_DamnedHound_greatcleavesouthwall_40301,TaskKillContribution,,1,12,,,,,true,,greatcleavesouthwall_40301,,,,,,,,,,,,Damned_Hound_03GC06,,,,,,,,,,,,,,,,,,,,@0316_0101_maliceaforethought_kill_target_at_POI,,,,,,,,,,,,,
0312_0101_d_00_container_shadowscastfinalsalute,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0312_0101_d_01_container_wall,0312_0101_d_05_container_village,,,
0312_0101_d_01_container_wall,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0312_0101_d_02_travel_greatcleavesouthwall_40301,0312_0101_d_03_KillTarget_1_Patricia_greatcleavesouthwall_40301,0312_0101_d_04_TaskHaveAndReturnItems_1_PatriciasHeartgem_greatcleavesouthwall_40301,,
0312_0101_d_02_travel_greatcleavesouthwall_40301,TaskGoToPOITag,,1,,,,,,true,,greatcleavesouthwall_40301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0312_0101_shadowscastfinalsalute_travel_wall,,,,,,,,,,,,,
0312_0101_d_03_KillTarget_1_Patricia_greatcleavesouthwall_40301,TaskKillContribution,,1,1,,,,,true,,greatcleavesouthwall_40301,,true,,,,,,,,,,Damned_Rifleman_Female_Named_03GC06,,,,,,,,,,,,,,,,,,,,@0312_0101_shadowscastfinalsalute_kill_target_at_POI,,9542.7 6899.3 273.8,,,,,,,,,,,
0312_0101_d_04_TaskHaveAndReturnItems_1_PatriciasHeartgem_greatcleavesouthwall_40301,TaskHaveAndReturnItems,,1,1,0312_0101_PatriciasHeartgem,Damned_Rifleman_Female_Named_03GC06,100,,true,,greatcleavesouthwall_40301,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0312_0101_shadowscastfinalsalute_get_item_at_POI,,9542.7 6899.3 273.8,,,,,,,,,,,
0312_0101_d_05_container_village,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0312_0101_d_06_travel_abandoned_village_40308,0312_0101_d_07_TaskHaveAndReturnItems_1_PatriciasCloak_abandoned_village_40308,,,
0312_0101_d_06_travel_abandoned_village_40308,TaskGoToPOITag,,1,,,,,,true,,abandoned_village_40308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0312_0101_shadowscastfinalsalute_travel_village,,,,,,,,,,,,,
0312_0101_d_07_TaskHaveAndReturnItems_1_PatriciasCloak_abandoned_village_40308,TaskHaveAndReturnItems,,1,1,0312_0101_PatriciasCloak,,,100,true,,abandoned_village_40308,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0312_0101_shadowscastfinalsalute_retrieve_item_at_POI,,9567.2 7224.5 291.0,,,,,,,,,,,
0313_0101_d_00_container_descentfrostedslumber,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0313_0101_d_02_travel_village,0313_0101_d_02_container_village,,,
0313_0101_d_02_travel_village,TaskGoToPOITag,,1,,,,,,true,,abandoned_village_40308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0313_0101_descentfrostedslumber_travel,,,,,,,,,,,,,
0313_0101_d_02_container_village,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0313_0101_d_03_kill_18_Corrupted_abandoned_village_40308,0313_0101_d_04_kill_ForemanRobertson_abandoned_village_40308,,,
0313_0101_d_03_kill_18_Corrupted_abandoned_village_40308,TaskKillContribution,,1,18,,,,,true,,abandoned_village_40308,,,,,,,,,,,,Icefields,,,,,,,,,,,,,,,,,,,,@0313_0101_descentfrostedslumber_cull_targets_at_POI,,,,,,,,,,,,,
0313_0101_d_04_kill_ForemanRobertson_abandoned_village_40308,TaskKillContribution,,1,1,,,,,true,,abandoned_village_40308,,,,,,,,,,,,Damned_Rifleman_Male_Named_03GC06,,,,,,,,,,,,,,,,,,,,@0313_0101_descentfrostedslumber_eliminate_target_at_POI,,9567.0 7263.0 40.1,,,,,,,,,,,
0312_0201_d_00_container_allnottornasunder,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0312_0201_d_01_QuestUnlock_SextonComplete,0312_0201_d_02_allnottornasunder_travel,0312_0201_d_03_TaskHaveAndReturnItems_6_ForgottenSupplies_corrupted_fort_40316,,
0312_0201_d_01_QuestUnlock_SextonComplete,TaskUnlockAchievement,,1,1,QuestUnlock_SextonComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0312_0201_d_02_allnottornasunder_travel,TaskGoToPOITag,,1,,,,,,true,,corrupted_fort_40316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0312_0201_allnottornasunder_travel,,,,,,,,,,,,,
0312_0201_d_03_TaskHaveAndReturnItems_6_ForgottenSupplies_corrupted_fort_40316,TaskHaveAndReturnItems,,1,6,0312_0201_ForgottenSupplies,,,100,true,,corrupted_fort_40316,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0312_0201_allnottornasunder_collect_item_from_POI,,,,,,,,,,,,,
0318_0101_d_00_container_facetslightdarkness,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0318_0101_d_01_facetslightdarkness_travel,0318_0101_d_02_SliceSwap_WardenSexton,0318_0101_d_03_container_corrupted_fort_40316,,
0318_0101_d_01_facetslightdarkness_travel,TaskGoToPOITag,,1,,,,,,true,,corrupted_fort_40316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0318_0101_facetslightdarkness_travel,,,,,,,,,,,,,
0318_0101_d_02_SliceSwap_WardenSexton,TaskUnlockAchievement,,1,1,SwapActive_WardenSexton_Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0318_0101_d_03_container_corrupted_fort_40316,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0318_0101_d_04_TaskHaveAndReturnItems_5_SunderfortHeartgems_corrupted_fort_40316,0318_0101_d_05_TaskAchievement_GetQuestLorePage_SunderfortCorrupted,,,
0318_0101_d_04_TaskHaveAndReturnItems_5_SunderfortHeartgems_corrupted_fort_40316,TaskHaveAndReturnItems,,1,5,0318_0101_SunderfortHeartgems,Valleyrend,90,,true,,corrupted_fort_40316,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0318_0101_facetslightdarkness_recover_item_from_POI,,,,,,,,,,,,,
0318_0101_d_05_TaskAchievement_GetQuestLorePage_SunderfortCorrupted,TaskAchievement,,1,,Lore_unlock_03_GreatCleave_Title_05_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0318_0101_facetslightdarkness_find_clues_at_POI,,9536.0 7512.0 40.1,,,,,,,,,,,
0313_0102_d_00_container_transmuteirontodust,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0313_0102_d_01_travel_mine_40305,0313_0102_d_02_container_mine_40305,,,
0313_0102_d_01_travel_mine_40305,TaskGoToPOITag,,1,,,,,,true,,mine_40305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0313_0102_transmuteirontodust_travel,,,,,,,,,,,,,
0313_0102_d_02_container_mine_40305,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0313_0102_d_03_kill_20_Corrupted_mine_40305,0313_0102_d_04_TaskHaveAndReturnItems_1_UntaintedOre_mine_40305,0313_0102_d_05_TaskHaveAndReturnItems_8_CorruptCatalyst_mine_40305,,
0313_0102_d_03_kill_20_Corrupted_mine_40305,TaskKillContribution,,1,20,,,,,true,,mine_40305,,,,,,,,,,,,Molderpick,,,,,,,,,,,,,,,,,,,,@0313_0102_transmuteirontodust_kill_targets_at_POI,,,,,,,,,,,,,
0313_0102_d_04_TaskHaveAndReturnItems_1_UntaintedOre_mine_40305,TaskHaveAndReturnItems,,1,1,0313_0102_UntaintedOre,Molderpick,15,,true,,mine_40305,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0313_0102_transmuteirontodust_get_items_from_targets_at_POI,,,,,,,,,,,,,
0313_0102_d_05_TaskHaveAndReturnItems_8_CorruptCatalyst_mine_40305,TaskHaveAndReturnItems,,1,8,0313_0102_CorruptCatalyst,,,100,true,,mine_40305,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0313_0102_transmuteirontodust_get_items_from_containers_at_POI,,,,,,,,,,,,,
0313_0201_d_00_container_redefiningboundaries,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0313_0201_d_01_container_redefiningboundaries_subtask_1,0313_0201_d_02_container_redefiningboundaries_subtask_2,0313_0201_d_03_container_redefiningboundaries_subtask_3,,
0313_0201_d_01_container_redefiningboundaries_subtask_1,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0313_0201_d_01_01_travel,0313_0201_d_01_02_Gather_AzothRemnantA_ancient_shrine_40313,,,
0313_0201_d_01_01_travel,TaskGoToPOITag,,1,,,,,,true,,ancient_shrine_40313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0313_0201_redefiningboundaries_travel_a,,,,,,,,,,,,,
0313_0201_d_01_02_Gather_AzothRemnantA_ancient_shrine_40313,TaskGatherAndReturnItems,,1,1,0313_0201_AzothRemnantA,0303_StatueAzothOrbA,100,,true,,ancient_shrine_40313,,,,,,,,,IO_0303_StatueAzothOrbA,,,,,,,,,,,,,,,,,,,,,,,@0313_0201_redefiningboundaries_gather_from_IO,,,,,,,,,,,,,
0313_0201_d_02_container_redefiningboundaries_subtask_2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0313_0201_d_02_01_travel,0313_0201_d_02_02_Gather_AzothRemnantB_ancient_ruins_40330,,,
0313_0201_d_02_01_travel,TaskGoToPOITag,,1,,,,,,true,,ancient_ruins_40330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0313_0201_redefiningboundaries_travel_b,,,,,,,,,,,,,
