TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
13A_SQ_01_HakenstadtDoll_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13A_SQ_01_HakenstadtDoll_Task_GoTo,13A_SQ_01_HakenstadtDoll_Task_DispelFog,13A_SQ_01_HakenstadtDoll_Task_CollectNotes,,
13A_SQ_01_HakenstadtDoll_Task_GoTo,TaskGoToPOITag,,1,,,,,,,true,,abandoned_fishing_village_50206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@13A_SQ_01_HakenstadtDoll_Task_GoTo,,,,,,,,,,,,,,,,,,
13A_SQ_01_HakenstadtDoll_Task_DispelFog,TaskGameEvent,,,,1,,13A_SQ_01_FogBed,,,true,,abandoned_fishing_village_50206,,,true,,,,,,,IO_13A_SQ_01_FogBed,,,13A_SQ_01_FogBed_interact,,,,,,,,,,,,,,,,,,,,@13A_SQ_01_HakenstadtDoll_Task_DispelFog,,11433.247070 4426.789551 42.548615,,,,,,,,,,,,,,,,
13A_SQ_01_HakenstadtDoll_Task_CollectNotes,TaskAchievement,,,,1,Lore_unlock_13_WeaversFen_Title_12_01,,,,true,,abandoned_fishing_village_50206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@13A_SQ_01_HakenstadtDoll_Task_CollectNotes,,11430.932617 4420.479004 43.725605,,,false,,,,,,,,,,,,,
13A_SQ_02_KrummholmTransmutations_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13A_SQ_02_KrummholmTransmutations_Task_GoTo,13A_SQ_02_KrummholmTransmutations_Primrose_00,13A_SQ_02_KrummholmTransmutations_Primrose_01,13A_SQ_02_KrummholmTransmutations_task_container,
13A_SQ_02_KrummholmTransmutations_Task_GoTo,TaskGoToPOITag,,1,,,,,,,true,,abandoned_fishing_village_50237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@13A_SQ_02_KrummholmTransmutations_Task_GoTo,,,,,,,,,,,,,,,,,,
13A_SQ_02_KrummholmTransmutations_Primrose_00,TaskUnlockAchievement,,,,1,SwapActive_13A_Primrose_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
13A_SQ_02_KrummholmTransmutations_Primrose_01,TaskUnlockAchievement,,,,1,SwapActive_13A_Primrose_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
13A_SQ_02_KrummholmTransmutations_task_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,13A_SQ_02_KrummholmTransmutations_Task_BloodSamples,13A_SQ_02_KrummholmTransmutations_Task_CollectNotes,,,
13A_SQ_02_KrummholmTransmutations_Task_BloodSamples,TaskHaveAndReturnItems,,1,,2,13A_SQ_02_KrummholmTransmutations_Blood,Withered_Grunt_13WF06a,100,,true,,abandoned_fishing_village_50237,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@13A_SQ_02_KrummholmTransmutations_Task_BloodSamples,,,,,,,,,,,,,,,,,,
