TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,UIScreenTag,TP_DescriptionTag,POITag,TP_TargetTag,OverrideLocation
Quest_18014_Task_0,Quest_18014_Task_2,Quest_18014_Task_4,Quest_18014_Task_1,Quest_18014_Task_9,Quest_18014_Task_5,Quest_18014_Task_10,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,
Quest_18014_Task_1,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_18045,NPC_18045_State_1_Topic_0,@Quest_18014_Task_1_Description,boss_tower_10230,,
Quest_18014_Task_2,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_18024,NPC_18024_State_1_Topic_0,@Quest_18014_Task_2_Description,,,
Quest_18014_Task_3,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18014_Task_3_Description,,TV_17_MSQ_ClimbingPuzzle1,2443.882080 5449.305176 60.562000
Quest_18014_Task_4,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18014_Task_4_Description,boss_tower_10230,,
Quest_18014_Task_5,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_Topic_17_Nighthaven_Title_03_01,,@Quest_18014_Task_5_Description,,,2474.530029 5469.490234 100.466003
Quest_18014_Task_6,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18014_Task_6_Description,,TV_17_MSQ_ClimbingPuzzle2,2432.972900 5449.979004 72.144997
Quest_18014_Task_7,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18014_Task_7_Description,,TV_17_MSQ_ClimbingPuzzle3,2431.208008 5465.560059 84.494003
Quest_18014_Task_9,Quest_18014_Task_8,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,
Quest_18014_Task_10,,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,100,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17_MSQ_Pure_Silver_Ingot,,@Quest_18014_Task_10_Description,boss_tower_10230,,
Quest_18014_Task_7_0,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18014_Task_7_0_Description,,TV_17_MSQ_ClimbingPuzzle4,2421.906982 5481.421875 83.160004
Quest_18014_Task_7_0_0,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18014_Task_7_0_0_Description,,TV_17_MSQ_ClimbingPuzzle5,2439.602051 5495.829102 84.397003
Quest_18014_Task_7_0_0_0,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18014_Task_7_0_0_0_Description,,TV_17_MSQ_ClimbingPuzzle6,2452.125977 5476.850098 101.310997
Quest_18014_Task_7_0_0_0_0,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18014_Task_7_0_0_0_0_Description,,TV_17_MSQ_ClimbingPuzzle7,2474.529053 5469.492188 100.466003
Quest_18014_Task_8,Quest_18014_Task_11,Quest_18014_Task_7_0_0_0_0,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,
Quest_18014_Task_11,Quest_18014_Task_3,Quest_18014_Task_6,Quest_18014_Task_7,Quest_18014_Task_7_0,Quest_18014_Task_7_0_0,Quest_18014_Task_7_0_0_0,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,
