TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,TP_TargetTag,OverrideLocation,ItemName,UIScreenTag,KillEnemyType,InteractTag
Quest_18020_Task_0,Quest_18020_Task_1,Quest_18020_Task_2,Quest_18020_Task_11,Quest_18020_Task_12,Quest_18020_Task_3,Quest_18020_Task_18,Quest_18020_Task_5,Quest_18020_Task_20,Quest_18020_Task_7,Quest_18020_Task_8,Quest_18020_Task_19,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,
Quest_18020_Task_1,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18020_Task_1_Description,TV_17_MSQ_CastleBridge,3680.298096 5797.789062 194.602005,,,,
Quest_18020_Task_2,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18020_Task_2_Description,,,NPC_18032,NPC_18032_State_1_Topic_0,,
Quest_18020_Task_3,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18020_Task_3_Description,,,NPC_18033,NPC_18033_State_1_Topic_0,,
Quest_18020_Task_4,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18020_Task_4_Description,TV_17_MSQ_DraculaDungeon3,3387.388916 5678.521973 229.464005,,,,
Quest_18020_Task_5,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18020_Task_5_Description,,,NPC_18010,NPC_18010_State_1_Topic_0,,
Quest_18020_Task_6,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18020_Task_6_Description,,3358.069092 5812.995117 241.175003,,,17_MSQ_Memory1_Interact,IO_17_MSQ_Memory1
Quest_18020_Task_6_0,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18020_Task_6_0_Description,,3360.168945 5807.991211 241.169998,,,17_MSQ_Memory2_Interact,IO_17_MSQ_Memory2
Quest_18020_Task_6_0_0,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18020_Task_6_0_0_Description,,3383.537109 5808.791992 242.460007,,,17_MSQ_Memory3_Interact,IO_17_MSQ_Memory3
Quest_18020_Task_7,Quest_18020_Task_23,Quest_18020_Task_24,Quest_18020_Task_25,Quest_18020_Task_9,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
