TaskID,SubTask1,SubTask2,SubTask3,SubTask4,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,UIScreenTag,TP_DescriptionTag,InteractTag,ItemDropVC,OverrideLocation,POITag,SubTask5
Quest_02790_Task_0,Quest_02790_Task_11,Quest_02790_Task_12,Quest_02790_Task_5,Quest_02790_Task_4,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_02790_Task_1,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_04288,NPC_04288_State_4_Topic_0,@Quest_02790_Task_1_Description,Specialty_Reekwater,,,,
Quest_02790_Task_2,,,,,TASKGIVEANDTAKEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,0502_0102_MedicusOrb,,,,,,,
Quest_02790_Task_3,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,0502_0102_Unlock_SkyviewDoor,,,,,,,
Quest_02790_Task_4,,,,,TASKGATHERANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,0.000000,0,0502_0102_AncientMap,,@Quest_02790_Task_4_Description,IO_0510_AncientMap,0510_AncientMap,10581.950195 3785.649902 282.089996,Hilltop_Ruins_50118,
Quest_02790_Task_5,,,,,TASKINTERACT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_02790_Task_5_Description,IO_0517_AncientTowerDoor,,10588.179688 3785.540039 247.449997,,
Quest_02790_Task_6,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_04290,NPC_04290_State_3_Topic_0,@Quest_02790_Task_6_Description,,,,,
Quest_02790_Task_7,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,SwapActive_AsaTakahashi_Repeat,,,,,,,
Quest_02790_Task_8,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,SwapActive_DarshanSharma_Repeat,,,,,,,
Quest_02790_Task_9,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,SwapActive_AsaTakahashi_1,,,,,,,
Quest_02790_Task_10,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,SwapActive_DarshanSharma_1,,,,,,,
Quest_02790_Task_11,Quest_02790_Task_1,Quest_02790_Task_7,Quest_02790_Task_9,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_02790_Task_12,Quest_02790_Task_6,Quest_02790_Task_8,Quest_02790_Task_10,Quest_02790_Task_2,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,Quest_02790_Task_3
