TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,UseGlobalStorage,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
1612_0101_d_00_container_praetorians,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1612_0101_d_01_Goto,1612_0101_d_02_container_praetorians_mementos,,,
1612_0101_d_01_Goto,TaskGoToPOITag,,,,,,,,,,true,,bazaar_30304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1612_0101_praetorians_goto_POI,,,,,,,,,,,,,,,,,,,
1612_0101_d_02_container_praetorians_mementos,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1612_0101_d_02_01_HaveAndReturn_1_Memento3,1612_0101_d_02_02_HaveAndReturn_1_Memento2,1612_0101_d_02_03_HaveAndReturn_1_Memento1,,
1612_0101_d_02_01_HaveAndReturn_1_Memento3,TaskHaveAndReturnItems,,1,,1,1655_0101_Memento_03,Dune_Phantom_Berserker_Named_01,100,,,true,,bazaar_30304,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1612_0101_praetorians_defeat_female,,6948.484 7909.266 214.647,,,,,,,,,,,,,,,,,
1612_0101_d_02_02_HaveAndReturn_1_Memento2,TaskHaveAndReturnItems,,1,,1,1655_0101_Memento_02,Dune_Phantom_Tank_Named_00,100,,,true,,bazaar_30304,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1612_0101_praetorians_defeat_male,,7015.859 7947.166 220.461,,,,,,,,,,,,,,,,,
1612_0101_d_02_03_HaveAndReturn_1_Memento1,TaskHaveAndReturnItems,,1,,1,1655_0101_Memento_01,Dune_Phantom_Berserker_Named_00,100,,,true,,bazaar_30304,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1612_0101_praetorians_defeat_female,,6965.397 8011.239 214.163,,,,,,,,,,,,,,,,,
1612_0201_d_00_container_personaldemons,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1612_0201_d_01_SliceSwap_1612_0201_MalatestaLetter_On,1612_0201_d_02_Goto,1612_0201_d_03_HaveAndReturn_1_Memento4,1612_0201_d_04_container_personaldemons_loreswap,
1612_0201_d_01_SliceSwap_1612_0201_MalatestaLetter_On,TaskUnlockAchievement,,1,,1,SwapActive_1612_0201_MalatestaLetter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1612_0201_d_02_Goto,TaskGoToPOITag,,,,,,,,,,true,,banditvillage_30309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1612_0201_personaldemons_goto_POI,,,,,,,,,,,,,,,,,,,
1612_0201_d_03_HaveAndReturn_1_Memento4,TaskHaveAndReturnItems,,1,,1,1655_0201_Memento_04,Dune_Phantom_Berserker_Named_02,100,,,true,,banditvillage_30309,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1612_0201_personaldemons_malatesta,,6441.509 7945.389 115.617,,,,,,,,,,,,,,,,,
