TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,POITag,TP_TargetTag,OverrideLocation,ItemName,ItemDropVC,InteractTag,KillEnemyType,UIScreenTag,SS_VariantName,SS_StatePreset
Quest_16024_Task_0,Quest_16024_Task_9,Quest_16024_Task_6,Quest_16024_Task_5,Quest_16024_Task_8,Quest_16024_Task_3_0,Quest_16024_Task_10,Quest_16024_Task_11,Quest_16024_Task_12,Quest_16024_Task_12_0,Quest_16024_Task_17,Quest_16024_Task_15,Quest_16024_Task_4,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,,
Quest_16024_Task_2,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_2_Description,ancient_hall_10312,,,,,,,,,
Quest_16024_Task_3,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16024_Task_3_Description,,TV_17ZQUS5_EnterArchitectTombs,3355.066895 6922.362793 108.591301,,,,,,,
Quest_16024_Task_5,,,,,,,,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,3,0.000000,80,0,0,3,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_5_Description,,,3345.371826 7140.384277 106.008202,17ZQ_UpyrIchor,Lost,,,,,
Quest_16024_Task_6,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_6_Description,graveyard_10313,,,,,,,,,
Quest_16024_Task_7,,,,,,,,,,,,,TASKGATHERANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_7_Description,,,3392.468994 6980.289062 69.558998,17ZQ_SilverChalice,17_ZQUS5_GetChalice,IO_17_ZQUS5_GetChalice,,,,
Quest_16024_Task_8,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_8_Description,upyr_castle_10218,,,,,,,,,
Quest_16024_Task_3_0,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16024_Task_3_0_Description,,TV_17ZQUS5_EnterDemesne,3647.365479 4815.626953 137.257507,,,,,,,
Quest_16024_Task_10,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_10_Description,,,3588.788086 4762.446777 54.405998,,,IO_17_ZQUS5_ActivateRitualCircle,17_ZQUS5_ActivateRitualCircle_interact,,,
Quest_16024_Task_11,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_11_Description,,,,NPC_16142,,,,NPC_16142_State_1_Topic_0,,
