TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,UIScreenTag,TP_DescriptionTag,POITag,ItemDropVC,KillEnemyType,InteractTag,OverrideLocation,TP_TargetTag,SubTask8,SubTask9,SubTask10
Quest_18011_Task_0,Quest_18011_Task_1,Quest_18011_Task_14,Quest_18011_Task_14_0,Quest_18011_Task_6,Quest_18011_Task_2,Quest_18011_Task_12,Quest_18011_Task_13,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,,,,,,
Quest_18011_Task_1,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_18000,NPC_18000_State_1_Topic_0,@Quest_18011_Task_1_Description,catacomb_10203,,,,,,,,
Quest_18011_Task_2,Quest_18011_Task_21,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18011_Task_2_Description,,,,,,,,,
Quest_18011_Task_3,,,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17_MSQ_Ancient_Battery_Powered,,@Quest_18011_Task_3_Description,catacomb_10203,Ancient,,,,,,,
Quest_18011_Task_4,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18011_Task_4_Description,catacomb_10203,,17_MSQ_BatteryPost2_Interact,IO_17_MSQ_BatteryPost2,2349.403076 4265.478027 44.355000,,,,
Quest_18011_Task_5,,,,,,,,TASKREMOVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_MSQ_Ancient_Battery_Powered,,@Quest_18011_Task_5_Description,,,,,,,,,
Quest_18011_Task_6,Quest_18011_Task_7,Quest_18011_Task_8,Quest_18011_Task_9,Quest_18011_Task_10,Quest_18011_Task_4_0,Quest_18011_Task_11,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18011_Task_6_Description,,,,,,,,,
Quest_18011_Task_7,,,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17_MSQ_Ancient_Battery_Inert,,@Quest_18011_Task_7_Description,catacomb_10203,17_MSQ_Battery,,IO_17_MSQ_Battery,,,,,
Quest_18011_Task_4_0,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18011_Task_4_0_Description,catacomb_10203,,17_MSQ_BatteryPost1_Interact,IO_17_MSQ_BatteryPost1,2387.076904 4330.184082 40.321999,,,,
Quest_18011_Task_8,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18011_Task_8_Description,catacomb_10203,,17_MSQ_BatteryCharger_Interact,IO_17_MSQ_BatteryCharger,2378.583984 4304.980957 40.349998,,,,
Quest_18011_Task_9,,,,,,,,TASKREMOVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_MSQ_Ancient_Battery_Inert,,@Quest_18011_Task_9_Description,catacomb_10203,,,,,,,,
Quest_18011_Task_10,,,,,,,,TASKGIVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_MSQ_Ancient_Battery_Powered,,@Quest_18011_Task_10_Description,,,,,,,,,
Quest_18011_Task_11,,,,,,,,TASKREMOVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_MSQ_Ancient_Battery_Powered,,@Quest_18011_Task_11_Description,,,,,,,,,
Quest_18011_Task_12,Quest_18011_Task_15_0,Quest_18011_Task_15,Quest_18011_Task_16,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18011_Task_12_Description,,,,,,,,,
Quest_18011_Task_15,,,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,2,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17_MSQ_Ancient_Battery_Half,,@Quest_18011_Task_15_Description,catacomb_10203,17_MSQ_HalfBattery2,,IO_17_MSQ_HalfBattery2,,,,,
Quest_18011_Task_16,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18011_Task_16_Description,catacomb_10203,,17_MSQ_BatteryPost3_Interact,IO_17_MSQ_BatteryPost3,2381.126953 4318.707031 52.326000,,,,
Quest_18011_Task_15_0,,,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17_MSQ_Ancient_Battery_Half,,@Quest_18011_Task_15_0_Description_0,catacomb_10203,17_MSQ_HalfBattery1,,IO_17_MSQ_HalfBattery1,,,,,
Quest_18011_Task_17,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18011_Task_17_Description,,,,,2356.755859 4322.036621 34.923901,TV_17_MSQ_CatacombSwim1,,,
Quest_18011_Task_18,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18011_Task_18_Description,,,,,2363.513428 4303.869629 34.923901,TV_17_MSQ_CatacombSwim2,,,
