TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,SubTask14,SubTask15,SubTask16,SubTask17,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,UIScreenTag,TP_DescriptionTag,OverrideLocation,TP_TargetTag,KillEnemyType,ItemDropVC,InteractTag,POITag
Quest_16005_Task_0,Quest_16005_Task_1,Quest_16005_Task_3,Quest_16005_Task_4,Quest_16005_Task_2_0,Quest_16005_Task_11,Quest_16005_Task_12,Quest_16005_Task_5,Quest_16005_Task_6,Quest_16005_Task_2_1,Quest_16005_Task_4_0,Quest_16005_Task_6_0,Quest_16005_Task_2_1_0_0,Quest_16005_Task_8,Quest_16005_Task_9,Quest_16005_Task_2_1_0_0_0_0,Quest_16005_Task_10,Quest_16005_Task_9_0,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_16005_Task_1,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16032,NPC_16032_State_1_Topic_0,@Quest_16005_Task_1_Description,,,,,,
Quest_16005_Task_3,,,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,0.000000,0,Lore_unlock_17_ZQB_Title_02_03,,@Quest_16005_Task_3_Description,4824.857910 6272.750977 104.841003,,,,,
Quest_16005_Task_4,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_16005_Task_4_Description,4805.809082 6276.851074 111.467003,TV_17ZQBS2_SearchForUpperDen,,,,
Quest_16005_Task_2_0,,,,,,,,,,,,,,,,,,TASKGATHERANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17ZQ_MarAmarMap,,@Quest_16005_Task_2_0_Description,4801.880859 6279.580078 111.460999,,17_ZQBS2_CorneliusStash_interact,17_ZQBS2_CorneliusStash,IO_17_ZQBS2_CorneliusStash,
Quest_16005_Task_5,,,,,,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16005_Task_5_Description,,,,,,upyr_village_10302
Quest_16005_Task_6,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16064,NPC_16064_State_1_Topic_0,@Quest_16005_Task_6_Description,,,,,,
Quest_16005_Task_2_1,,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16005_Task_2_1_Description,3502.247070 6374.445801 151.029999,,17_ZQBS2_House1SearchEntrance_interact,,IO_17_ZQBS2_House1SearchEntrance,
Quest_16005_Task_6_0,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16063,NPC_16063_State_1_Topic_0,@Quest_16005_Task_6_0_Description,,,,,,
Quest_16005_Task_2_1_0_0,,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16005_Task_2_1_0_0_Description,3457.391113 6316.134766 142.714996,,17_ZQBS2_House2SearchWreckage_interact,,IO_17_ZQBS2_House2SearchWreckage,
Quest_16005_Task_8,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16065,NPC_16065_State_1_Topic_0,@Quest_16005_Task_8_Description,,,,,,
Quest_16005_Task_9,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_16005_Task_9_Description,3555.790039 6406.710938 161.449997,TV_17ZQBS2_LookForTelescope,,,,
Quest_16005_Task_2_1_0_0_0_0,,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16005_Task_2_1_0_0_0_0_Description,3550.497070 6409.244141 162.251999,,17_ZQBS2_TelescopeView_interact,,IO_17_ZQBS2_TelescopeView,
Quest_16005_Task_10,,,,,,,,,,,,,,,,,,TASKCUTSCENECOMPLETE,Enter,EarnSpendGoldInSingleTransaction,1,6.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_ZQ_BS2_Telescope_IGC,,@Quest_16005_Task_10_Description,3550.239990 6408.919922 163.343994,,,,,
Quest_16005_Task_9_0,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_16005_Task_9_0_Description,3512.903076 6338.933105 143.712006,TV_17ZQBS2_PursueWerewolf,,,,
Quest_16005_Task_7,,,,,,,,,,,,,,,,,,TASKREMOVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17ZQ_MarAmarMap,,@Quest_16005_Task_7_Description,,,,,,
