TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
99C_MSQ_01_Periville_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99C_MSQ_01_Periville_Push_container,99C_MSQ_01_Periville_swap_container,99C_MSQ_01_Periville_find_container,99C_MSQ_01_Periville_find_container2,99C_MSQ_01_Periville_journal_container
99C_MSQ_01_Periville_Push_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99C_MSQ_01_Periville_push,99C_MSQ_01_Periville_GoToPOI,,,
99C_MSQ_01_Periville_push,TaskUnlockAchievement,,,,,WF_Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99C_MSQ_01_Periville_GoToPOI,TaskGoToPOITag,,,,,,,,,true,,haunted_town_50201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99C_MSQ_01_Periville_GoToPOI,,,,,,,,,,,,,,,,,,
99C_MSQ_01_Periville_swap_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99C_MSQ_01_Periville_swapGalahadB_On,,,,
99C_MSQ_01_Periville_swapGalahadB_On,TaskUnlockAchievement,,,,,SwapActive_99C_Galahad_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99C_MSQ_01_Periville_find_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99C_MSQ_01_Periville_interactPlants,99C_MSQ_01_Periville_lore1_container,,,
99C_MSQ_01_Periville_interactPlants,TaskGameEvent,,,,3,,,,,,,haunted_town_50201,,,,,,,,,,IO_99C_MSQ2_GlowingMushroom,,,IO_99C_MSQ2_GlowingMushroom_interact,,,,,,,,,,,,,,,,,,,,@99C_MSQ_01_Periville_interactPlants,,10767.93 5628.92 94.49,,,,,,,,,,,,,,,,
99C_MSQ_01_Periville_lore1_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99C_MSQ_01_Periville_readLore1,99C_MSQ_01_Periville_voicedLore1,,,
99C_MSQ_01_Periville_readLore1,TaskAchievement,,,,1,Lore_unlock_13_WeaversFen_Title_11_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99C_MSQ_01_Periville_readLore,,10813.27 5625.69 91.21,,,,,,,,,,,,,,,,
99C_MSQ_01_Periville_voicedLore1,TaskTriggerGameEvent,,,,,,,,,,,,,,,,,,,,,,,,99C_Morgaine_VoicedLoreNote_01_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99C_MSQ_01_Periville_find_container2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99C_MSQ_01_Periville_lore2_container,99C_MSQ_01_Periville_coffinC_container,99C_MSQ_01_Periville_coffinB_container,99C_MSQ_01_Periville_coffinA_container,99C_MSQ_01_Periville_lore3_container
99C_MSQ_01_Periville_lore2_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99C_MSQ_01_Periville_readLore2,99C_MSQ_01_Periville_voicedLore2,,,
99C_MSQ_01_Periville_readLore2,TaskAchievement,,,,1,Lore_unlock_13_WeaversFen_Title_11_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99C_MSQ_01_Periville_readLore2,,10823.51 5586.98 84.52,,,,,,,,,,,,,,,,
99C_MSQ_01_Periville_voicedLore2,TaskTriggerGameEvent,,,,,,,,,,,,,,,,,,,,,,,,99C_Morgaine_VoicedLoreNote_02_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99C_MSQ_01_Periville_coffinC_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99C_MSQ_01_Periville_interactCoffinC,99C_MSQ_01_Periville_animateCoffinC,,,
99C_MSQ_01_Periville_interactCoffinC,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_99C_MSQ2_ShakingCoffinC,,,IO_99C_MSQ2_ShakingCoffinC_interact,,,,,,,,,,,,,,,,,,,,@99C_MSQ_01_Periville_interactCoffin,,10836.32 5601.42 85.13,,,true,,,,,,,,,,,,,
99C_MSQ_01_Periville_animateCoffinC,TaskUnlockAchievement,,,,1,Unlock_Animation_CoffinCShake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
