TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
99G_MSQ_SM_FreePrisoner_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99G_MSQ_SM_FreePrisoner_SwapAchievement_container,99G_MSQ_SM_FreePrisoner_FollowYash,99G_MSQ_SM_FreePrisoner_TalkToYash,99G_MSQ_SM_FreePrisoner_Camp_container,99G_MSQ_SM_FreePrisoner_Cine_container
99G_MSQ_SM_FreePrisoner_SwapAchievement_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99G_MSQ_SM_FreePrisoner_push,99G_MSQ_SM_FreePrisoner_Yash_SwapOut,99G_MSQ_SM_FreePrisoner_Yash_SwapIn,99G_MSQ_SM_FreePrisoner_Lore_SwapIn,
99G_MSQ_SM_FreePrisoner_push,TaskUnlockAchievement,,,,1,SM_Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99G_MSQ_SM_FreePrisoner_Yash_SwapOut,TaskLockAchievement,,,,1,SwapActive_99F_Yash_p03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99G_MSQ_SM_FreePrisoner_Yash_SwapIn,TaskUnlockAchievement,,,,1,SwapActive_99G_Yash_P01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99G_MSQ_SM_FreePrisoner_Lore_SwapIn,TaskUnlockAchievement,,,,1,SwapActive_MSQ_99G_FreePrisoner_Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99G_MSQ_SM_FreePrisoner_ShrineUnlock,TaskUnlockAchievement,,,,1,spiritshrine_40434_charted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99G_MSQ_SM_FreePrisoner_Partial_container,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99G_MSQ_SM_FreePrisoner_FollowYash,99G_MSQ_SM_FreePrisoner_ShrineOptional,,,
99G_MSQ_SM_FreePrisoner_FollowYash,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TV_99G_Yash,@99G_MSQ_SM_FreePrisoner_FollowYash,,8987.1221 8496.6953 657.5729,,,,,,,,,,,,,,,,
99G_MSQ_SM_FreePrisoner_ShrineOptional,TaskGoToPOITag,,,,1,,,,,true,,spiritshrine_40434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99G_MSQ_SM_FreePrisoner_ShrineOptional,,,,,,,,,,,,,,,,,,
