TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
99E_MSQ_01_EnterEdengrove_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99E_MSQ_01_d_01_container_setup,99E_MSQ_01_d_02_container_varangian,99E_MSQ_01_SunsEdenGroveHistory_IGC_Preload,99E_MSQ_01_d_03_container_enterEdengrove,99E_MSQ_01_d_04_container_QuestgiverHub
99E_MSQ_01_d_01_container_setup,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99E_MSQ_01_d_01_push,99E_MSQ_01_d_01_01_99E_Sun_p1_Walkaway,99E_MSQ_01_d_01_02_SwapActive_Morgaine_p1,99E_MSQ_01_d_01_03_EnterEdengroveIGC_Reset,
99E_MSQ_01_d_01_push,TaskUnlockAchievement,,,,1,EG_Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99E_MSQ_01_d_01_01_99E_Sun_p1_Walkaway,TaskLockAchievement,,,,1,SwapActive_MSQ_Sun_EG_p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99E_MSQ_01_d_01_02_SwapActive_Morgaine_p1,TaskUnlockAchievement,,,,1,SwapActive_MSQ_Morgaine_EG_p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99E_MSQ_01_d_01_03_EnterEdengroveIGC_Reset,TaskLockAchievement,,,,1,99E_MSQ_01_EnterEdengroveIGC_Watched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99E_MSQ_01_d_02_container_varangian,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99E_MSQ_01_d_02_01_TriggerArea_EdengroveBorder,99E_MSQ_01_d_02_02_TalkTo_Morgaine_01,99E_MSQ_01_d_02_03_container_varangianCamp,99E_MSQ_01_d_02_04_SwapActive_99E_Sun_p2_On,
99E_MSQ_01_d_02_01_TriggerArea_EdengroveBorder,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_99E_EdengroveBorder,@99E_MSQ_01_EnterEdengrove_meetMorgaine,,10499.736328 7286.674316 499.940643,,,,,,,,,,,,,,,,
99E_MSQ_01_d_02_02_TalkTo_Morgaine_01,TaskConversationTopic,,,,,99E_Morgaine_p1,,,,,,,,,,,,,,,,,Topic_99E_Morgaine_p1_01,,,,,,,,,,,,,,,,,,,,,,@99E_Default_Task_TalkTo,,10499.736328 7286.674316 499.940643,,,,,,,,,,,,,,,,
99E_MSQ_01_d_02_03_container_varangianCamp,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99E_MSQ_01_d_02_03_01_TriggerArea_VarangianCamp,99E_MSQ_01_d_02_03_02_container_varangianCampTasks,,,
