TaskID,SubTask1,SubTask2,SubTask3,SubTask4,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,ItemDropVC,TP_DescriptionTag,InteractTag,OverrideLocation,POITag,UIScreenTag,CraftingRecipeId
Quest_18029_Task_0,Quest_18029_Task_7,Quest_18029_Task_3,Quest_18029_Task_9,Quest_18029_Task_4,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_18029_Task_1,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,0.000000,0,17_MSQ_Red_Allium_Powder,17_MSQ_BoxOfPotions,@Quest_18029_Task_1_Description,IO_17_MSQ_BoxOfPotions,4506.087891 7076.846191 156.998993,inquisitor_village_20324,,
Quest_18029_Task_2,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,5,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17_MSQ_Liquid_Red_Silver_Vial,Corrupted,@Quest_18029_Task_2_Description,,,"inquisitor_village_20324,ruined_castle_20321,inquisitor_camp_20332",,
Quest_18029_Task_3,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_18061,,@Quest_18029_Task_3_Description,,,,NPC_18061_State_1_Topic_0,
Quest_18029_Task_4,,,,,TASKCRAFTRECIPE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,0.000000,0,17_MSQ_UpyrCure,,@Quest_18029_Task_4_Description,,5446.777832 6749.428223 253.158005,,,17_MSQ_UpyrCure_Recipe
Quest_18029_Task_5,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,3,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,0.000000,0,17_MSQ_Red_Allium_Powder,17_MSQ_BoxOfPotions,@Quest_18029_Task_5_Description,IO_17_MSQ_BoxOfPotions,5196.465820 6934.978027 230.335999,inquisitor_camp_20332,,
Quest_18029_Task_6,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,2,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,0.000000,0,17_MSQ_Red_Allium_Powder,17_MSQ_BoxOfPotions,@Quest_18029_Task_6_Description,IO_17_MSQ_BoxOfPotions,4975.076172 7045.453125 200.067001,ruined_castle_20321,,
Quest_18029_Task_7,Quest_18029_Task_8,Quest_18029_Task_2,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_18029_Task_8,Quest_18029_Task_1,Quest_18029_Task_6,Quest_18029_Task_5,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_18029_Task_9,,,,,TASKGIVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,WorkOrder_17_MSQ_UpyrCure,,@Quest_18029_Task_9_Description,,,,,
