TaskID,SubTask1,SubTask2,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,SubTask3,SubTask4,TP_DescriptionTag,POITag,ItemName,UIScreenTag,CraftingRecipeId,KillEnemyType
Quest_03198_Task_0,Quest_03198_Task_1,Quest_03198_Task_6,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_03198_Task_1,Quest_03198_Task_2,Quest_03198_Task_4,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,Quest_03198_Task_5,Quest_03198_Task_3,,,,,,
Quest_03198_Task_2,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,0.000000,0,,,@Quest_03198_Task_2_Description,Edengrove_Settlement_01,,,,
Quest_03198_Task_3,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_03198_Task_3_Description,,NPC_04634,NPC_04634_State_2_Topic_0,,
Quest_03198_Task_4,,,TASKLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,SS2_SwapActive_Aelstrom_07,,,
Quest_03198_Task_5,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,SS2_SwapActive_Aelstrom_08,,,
Quest_03198_Task_6,Quest_03198_Task_7,Quest_03198_Task_8,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_03198_Task_7,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,5,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_03198_Task_7_Description,,,,90_SS2_PHRecipe,S8BoxCraftT5
Quest_03198_Task_8,Quest_03198_Task_9,Quest_03198_Task_7_0,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_03198_Task_7_0,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,5,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,@Quest_03198_Task_7_0_Description,,,,90_SS2_PHRecipe,S8BoxCraftT5
Quest_03198_Task_9,,,TASKHAVELEVEL,Enter,EarnSpendGoldInSingleTransaction,60,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_03198_Task_9_Description,,,,,
