TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,OverrideLocation,POITag,KillEnemyType,InteractTag,TP_TargetTag,GameModeID,ItemName,UIScreenTag
Quest_18012_Task_0,Quest_18012_Task_1,Quest_18012_Task_2,Quest_18012_Task_3,Quest_18012_Task_4,Quest_18012_Task_17,Quest_18012_Task_16,Quest_18012_Task_11_0,Quest_18012_Task_12,Quest_18012_Task_5,Quest_18012_Task_6,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_18012_Task_1,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18012_Task_1_Description,2392.132080 4717.540039 110.050003,upyr_castle_10205,,,,,,
Quest_18012_Task_2,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18012_Task_2_Description,2391.985107 4726.540039 110.050003,,17_MSQ_EnergyPylon1_Interact,IO_17_MSQ_EnergyPylon1,,,,
Quest_18012_Task_3,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18012_Task_3_Description,2468.020020 4734.073242 122.051003,,17_MSQ_EnergyPylon2_Interact,IO_17_MSQ_EnergyPylon2,,,,
Quest_18012_Task_4,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18012_Task_4_Description,2537.361084 4706.716797 113.050003,,17_MSQ_EnergyPylon3_Interact,IO_17_MSQ_EnergyPylon3,,,,
Quest_18012_Task_5,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18012_Task_5_Description,2403.030029 4782.919922 182.130005,upyr_castle_10205,,,TV_17_MSQ_AsenaSoulTrial1,,,
Quest_18012_Task_7,Quest_18012_Task_8,Quest_18012_Task_9,Quest_18012_Task_10,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_18012_Task_8,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18012_Task_8_Description,2423.366943 4695.007812 123.571999,,,,TV_17_MSQ_BreakDownDoors1,,,
Quest_18012_Task_9,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18012_Task_9_Description,2419.108887 4724.660156 123.571999,,,,TV_17_MSQ_BreakDownDoors2,,,
Quest_18012_Task_10,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18012_Task_10_Description,2437.731934 4748.091797 123.571999,,,,TV_17_MSQ_BreakDownDoors3,,,
