TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,TP_TargetTag,OverrideLocation,POITag
Quest_18026_Task_0,Quest_18026_Task_4,Quest_18026_Task_5,Quest_18026_Task_6,Quest_18026_Task_7,Quest_18026_Task_8,Quest_18026_Task_9,Quest_18026_Task_10,Quest_18026_Task_11,Quest_18026_Task_12,Quest_18026_Task_1,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,
Quest_18026_Task_1,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18026_Task_1_Description,TV_17_MSQ_FinalCecilia,3227.199951 5845.390137 257.299988,dunwood_castle_10201
Quest_18026_Task_4,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18026_Task_4_Description,TV_17_MSQ_FinalRouting01,3303.316162 5662.376465 291.378296,
Quest_18026_Task_5,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18026_Task_5_Description,TV_17_MSQ_FinalRouting02,3189.792236 5657.390625 276.546814,
Quest_18026_Task_6,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18026_Task_6_Description,TV_17_MSQ_FinalRouting03,3188.372070 5858.947266 221.860199,
Quest_18026_Task_7,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18026_Task_7_Description,TV_17_MSQ_FinalRouting04,3138.907959 5919.306641 213.058899,
Quest_18026_Task_8,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18026_Task_8_Description,TV_17_MSQ_FinalRouting05,3357.640137 6251.686035 160.975494,
Quest_18026_Task_9,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18026_Task_9_Description,TV_17_MSQ_FinalRouting06,3357.874512 6085.419922 206.334503,
Quest_18026_Task_10,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18026_Task_10_Description,TV_17_MSQ_FinalRouting07,3357.958252 5958.319824 231.058594,
Quest_18026_Task_11,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18026_Task_11_Description,TV_17_MSQ_FinalRouting08,3307.205322 5928.217773 243.371597,
Quest_18026_Task_12,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18026_Task_12_Description,TV_17_MSQ_FinalRouting09,3227.101074 5915.681641 247.259399,
