TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
06A_MSQ_01_Quartermaster_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06A_MSQ_01_Quartermaster_transport_npc_note,06A_MSQ_01_Quartermaster_have_npc_note,,,
06A_MSQ_01_Quartermaster_transport_npc_note,TaskGiveAndTakeItem,,1,,1,MI_SummonsNote,,,100,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_01_Quartermaster_transport_npc_note,,,,,,,,,,,,,,,,,,,
06A_MSQ_01_Quartermaster_have_npc_note,TaskHaveAndReturnItems,,1,,1,MI_SummonsNote,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_02_VisitInn_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06A_MSQ_02_VisitInn_interact_inn,06A_MSQ_02_VisitInn_unlock_tradingpost,,,
06A_MSQ_02_VisitInn_interact_inn,TaskOpenUiScreen,,,,1,,,,,,,,,,,,,,,,,,InnInteractMenu,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_02_VisitInn_interact_inn,,9319.67 2667.69 84.37,,,,,,,,,,,,,,,,,
06A_MSQ_02_VisitInn_unlock_tradingpost,TaskUnlockAchievement,,,,1,S_hearthhome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06A_MSQ_03_VisitMarket_simplecontainer,06A_MSQ_03_VisitMarket_whisper_container,06A_MSQ_03_VisitMarket_swap_container,,
06A_MSQ_03_VisitMarket_simplecontainer,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_03_VisitMarket_unlock_tradingPost,06A_MSQ_03_VisitMarket_open_tradingPost,06A_MSQ_03_VisitMarket_openUI_globalStorage,,
06A_MSQ_03_VisitMarket_unlock_tradingPost,TaskUnlockAchievement,,,,1,S_hearthhome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_open_tradingPost,TaskOpenUiScreen,,,,1,,,,,,,,,,,,,,,,,,Contracts,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_03_VisitMarket_open_tradingpost,,9316.88 2706.92 83.30,,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_openUI_globalStorage,TaskInteract,,,,1,,,,,,,,,,,,,,,,,SettlementStorage,,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_03_VisitMarket_openUI_globalstorage,,,,,true,,,,,,,,,true,,,,,
06A_MSQ_03_VisitMarket_whisper_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_03_VisitMarket_trigger_whispers,,9318.0 2658.0 84.35,,,,,,,,,,,,,06A_MSQ_03_VisitMarket_unlock_whispers,06A_MSQ_03_VisitMarket_trigger_whispers,,,
06A_MSQ_03_VisitMarket_unlock_whispers,TaskUnlockAchievement,,,,1,06A_WW_whisper_01_unlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_trigger_whispers,TaskGameEvent,,,,1,06A_WW_whisper_01,,,,,,,,,,,,,,,,IO_06A_WW_whisper_01,,,06A_WW_whisper_01_interact,,,,,,,,,,,,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_swap_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_03_VisitMarket_swapMarcel01Off,06A_MSQ_03_VisitMarket_swapMarcel02On,06A_MSQ_03_VisitMarket_lock_whispers,,
06A_MSQ_03_VisitMarket_swapMarcel01Off,TaskUnlockAchievement,,,,1,SwapActive_06_MarcelDupont_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_swapMarcel02On,TaskUnlockAchievement,,,,1,SwapActive_06_MarcelDupont_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_lock_whispers,TaskLockAchievement,,,,1,06A_WW_whisper_01_unlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_04_SeeSpeaker_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06A_MSQ_04_SeeSpeaker_transport_npc_note,06A_MSQ_04_SeeSpeaker_have_npc_note,06A_MSQ_04_SeeSpeaker_swapSaatvik01Off,06A_MSQ_04_SeeSpeaker_swapSaatvik02On,
06A_MSQ_04_SeeSpeaker_transport_npc_note,TaskGiveAndTakeItem,,1,,1,MI_SummonsNote,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_04_SeeSpeaker_transport_npc_note,,,,,,,,,,,,,,,,,,,
06A_MSQ_04_SeeSpeaker_have_npc_note,TaskHaveAndReturnItems,,1,,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_04_SeeSpeaker_swapSaatvik01Off,TaskUnlockAchievement,,,,1,SwapActive_06_SaatvikAgrawal_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_04_SeeSpeaker_swapSaatvik02On,TaskUnlockAchievement,,,,1,SwapActive_06_SaatvikAgrawal_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06A_MSQ_05_FixWindmills_talk_Saatvik,06A_MSQ_05_FixWindmills_swap_container,06A_MSQ_05_FixWindmills_interact_container,06A_MSQ_05_FixWindmills_interact_cart,
06A_MSQ_05_FixWindmills_talk_Saatvik,TaskConversationTopic,,,,,06_SaatvikAgrawal02,,,,true,,withered_farm_1_40102,,,,,,,,,,,06_SaatvikAgrawal_Windmills,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_05_FixWindmills_goto_farm,,9077.36 2847.17 56.89,,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_swap_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_05_FixWindmills_swapMarcel02Off,06A_MSQ_05_FixWindmills_swapMarcel03On,,,
06A_MSQ_05_FixWindmills_swapMarcel02Off,TaskLockAchievement,,,,1,SwapActive_06_MarcelDupont_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_swapMarcel03On,TaskUnlockAchievement,,,,1,SwapActive_06_MarcelDupont_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_interact_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_05_FixWindmills_firstWindmill_container,06A_MSQ_05_FixWindmills_secondWindmill_container,06A_MSQ_05_FixWindmills_haveItem_grainsack,06A_MSQ_05_FixWindmills_haveItem_veggiecrate,
06A_MSQ_05_FixWindmills_firstWindmill_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_05_FixWindmills_interact_windmillA,06A_MSQ_05_FixWindmills_unlock_animationA,,,
06A_MSQ_05_FixWindmills_interact_windmillA,TaskGameEvent,,,,1,06A_MSQ_05_windmillTurnA,,,,,,withered_farm_1_40102,,,,,,,,,,IO_06A_MSQ_05_windmillA,,,IO_06A_MSQ_05_windmillA_interact,,,,,,,,,,,,,,,,,,,,@06A_MSQ_05_FixWindmills_interact_windmillA,,9016.48 2858.87 59.87,,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_unlock_animationA,TaskUnlockAchievement,,,,1,Unlock_Animation_WindmillA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_secondWindmill_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_05_FixWindmills_interact_windmillB,06A_MSQ_05_FixWindmills_unlock_animationB,,,
06A_MSQ_05_FixWindmills_interact_windmillB,TaskGameEvent,,,,1,06A_MSQ_05_windmillTurnB,,,,,,withered_farm_1_40102,,,,,,,,,,IO_06A_MSQ_05_windmillB,,,IO_06A_MSQ_05_windmillB_interact,,,,,,,,,,,,,,,,,,,,@06A_MSQ_05_FixWindmills_interact_windmillB,,9029.29 2970.59 60.21,,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_unlock_animationB,TaskUnlockAchievement,,,,1,Unlock_Animation_WindmillB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_haveItem_grainsack,TaskHaveAndReturnItems,,1,,2,06A_MSQ_05_grainSacks,06A_MSQ_05_grainSack,100,,,,withered_farm_1_40102,,,true,,,,,,,IO_06A_MSQ_05_grain,,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_05_FixWindmills_haveItem_grainsack,,,,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_haveItem_veggiecrate,TaskHaveAndReturnItems,,1,,5,06A_MSQ_05_veggieCrate,,,100,true,,withered_farm_1_40102,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_05_FixWindmills_haveItem_veggiecrate,,,,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_interact_cart,TaskGameEvent,,,,1,06A_MSQ_05_foodCart,,,,,,withered_farm_1_40102,,,,,,,,,,IO_06A_MSQ_05_cart,,,IO_06A_MSQ_05_cart_interact,,,,,,,,,,,,,,,,,,,,@06A_MSQ_05_FixWindmills_interact_cart,,9080.64 2845.81 56.34,,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06A_MSQ_06_RescueFarmers_tasks_container,06A_MSQ_06_RescueFarmers_talk_container,,,
06A_MSQ_06_RescueFarmers_tasks_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_06_RescueFarmers_rescue_container,06A_MSQ_06_RescueFarmers_gather_veggies,,,
06A_MSQ_06_RescueFarmers_rescue_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_06_RescueFarmers_Lijsbet_container,06A_MSQ_06_RescueFarmers_Michael_container,06A_MSQ_06_RescueFarmers_Nessa_container,06A_MSQ_06_RescueFarmers_gather_veggies,
06A_MSQ_06_RescueFarmers_Lijsbet_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_06_RescueFarmers_rescue_Lijsbet,06A_MSQ_06_RescueFarmers_swapLijsbet01Off,06A_MSQ_06_RescueFarmers_swapLijsbet02On,,
06A_MSQ_06_RescueFarmers_rescue_Lijsbet,TaskConversationTopic,,,,1,06_LijsbetDeVries01,,,,true,,withered_farm_1_40102,,,,,,,,,,,06_LijsbetDeVries_Trapped,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_06_RescueFarmers_rescue_Lijsbet,,9070.11 2948.82 65.15,,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_swapLijsbet01Off,TaskUnlockAchievement,,,,1,SwapActive_06_LijsbetDeVries_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_swapLijsbet02On,TaskUnlockAchievement,,,,1,SwapActive_06_LijsbetDeVries_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_Michael_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_06_RescueFarmers_rescue_Michael,06A_MSQ_06_RescueFarmers_swapMichael01Off,06A_MSQ_06_RescueFarmers_swapMichael02On,,
06A_MSQ_06_RescueFarmers_rescue_Michael,TaskConversationTopic,,,,1,06_MichaelLewis01,,,,true,,withered_farm_1_40102,,,,,,,,,,,06_MichaelLewis_Trapped,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_06_RescueFarmers_rescue_Michael,,8928.83 2935.86 59.69,,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_swapMichael01Off,TaskUnlockAchievement,,,,1,SwapActive_06_MichaelLewis_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_swapMichael02On,TaskUnlockAchievement,,,,1,SwapActive_06_MichaelLewis_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_Nessa_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_06_RescueFarmers_rescue_Nessa,06A_MSQ_06_RescueFarmers_swapNessa01Off,06A_MSQ_06_RescueFarmers_swapNessa02On,,
06A_MSQ_06_RescueFarmers_rescue_Nessa,TaskConversationTopic,,,,1,06_NessaHarrower01,,,,true,,withered_farm_1_40102,,,,,,,,,,,06_NessaHarrower_Trapped,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_06_RescueFarmers_rescue_Nessa,,8967.89 2894.56 56.42,,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_swapNessa01Off,TaskUnlockAchievement,,,,1,SwapActive_06_Nessa_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_swapNessa02On,TaskUnlockAchievement,,,,1,SwapActive_06_Nessa_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_gather_veggies,PartialTaskContainer,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_06_RescueFarmers_gather_veggies,,,,,,,,,,,,,,,06A_MSQ_06_RescueFarmers_GatherAndReturn_Corn,06A_MSQ_06_RescueFarmers_GatherAndReturn_Carrot,06A_MSQ_06_RescueFarmers_GatherAndReturn_Barley,06A_MSQ_06_RescueFarmers_check_rescues_container,
06A_MSQ_06_RescueFarmers_GatherAndReturn_Corn,TaskRequireGatherItems,,1,,1,CornT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_GatherAndReturn_Carrot,TaskRequireGatherItems,,1,,1,CarrotT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_GatherAndReturn_Barley,TaskRequireGatherItems,,1,,1,BarleyT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_check_rescues_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_06_RescueFarmers_checkNessa,06A_MSQ_06_RescueFarmers_checkLijsbet,06A_MSQ_06_RescueFarmers_checkMichael,,
06A_MSQ_06_RescueFarmers_checkNessa,TaskAchievement,,,,1,SwapActive_06_Nessa_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_checkLijsbet,TaskAchievement,,,,1,SwapActive_06_LijsbetDeVries_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_checkMichael,TaskAchievement,,,,1,SwapActive_06_MichaelLewis_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_talk_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_06_RescueFarmers_talk_Michael,06A_MSQ_06_RescueFarmers_talk_Nessa,,,
06A_MSQ_06_RescueFarmers_talk_Michael,TaskConversationTopic,,,,1,06_MichaelLewis02,,,,true,,withered_farm_1_40102,,,,,,,,,,,06_MichaelLewis_Farm,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_06_RescueFarmers_talk_Michael,,9095.70 2847.35 55.55,,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_talk_Nessa,TaskConversationTopic,,,,1,06_NessaHarrower02,,,,true,,withered_farm_1_40102,,,,,,,,,,,06_NessaHarrower_Druids,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_06_RescueFarmers_talk_Nessa,,9087.41 2855.40 56.39,,,,,,,,,,,,,,,,,
06A_MSQ_07_MeetIronRose_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06A_MSQ_07_MeetIronRose_find_Clues,06A_MSQ_07_MeetIronRose_swap_container,,,
06A_MSQ_07_MeetIronRose_find_Clues,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_06A_clues,@06A_MSQ_07_MeetIronRose_find_Clues,,8876.52 2749.23 73.6,,,,,,,,,,,,,,,,,
