TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,SubTask14,SubTask15,SubTask16,SubTask17,SubTask18,SubTask19,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,UIScreenTag,TP_DescriptionTag,POITag,TP_TargetTag,OverrideLocation,KillEnemyType,InteractTag,ItemDropVC
Quest_16015_Task_0,Quest_16015_Task_1,Quest_16015_Task_4,Quest_16015_Task_3,Quest_16015_Task_18,Quest_16015_Task_3_0,Quest_16015_Task_5,Quest_16015_Task_6,Quest_16015_Task_2,Quest_16015_Task_6_0,Quest_16015_Task_9,Quest_16015_Task_8,Quest_16015_Task_7,Quest_16015_Task_10,Quest_16015_Task_6_0_0,Quest_16015_Task_11,Quest_16015_Task_12,Quest_16015_Task_13,Quest_16015_Task_14,Quest_16015_Task_24,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_16015_Task_1,,,,,,,,,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_ZQB_RU4Push_Satisfy,,,,,,,,
Quest_16015_Task_3,,,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16097,NPC_16097_State_1_Topic_0,@Quest_16015_Task_3_Description,,,,,,
Quest_16015_Task_4,,,,,,,,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16015_Task_4_Description,outpost_10330,,,,,
Quest_16015_Task_5,,,,,,,,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16015_Task_5_Description,ancient_hall_10312,,,,,
Quest_16015_Task_6,,,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_16015_Task_6_Description,,TV_17ZQBRU4_SearchForDivinationStaff,3475.224121 6723.509277 113.599297,,,
Quest_16015_Task_7,,,,,,,,,,,,,,,,,,,,TASKSLAYERSCRIPT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Puzzle17ZQStatues,,@Quest_16015_Task_7_Description,,,3479.550049 6661.470215 70.462402,puzzle17zqstatues,,
Quest_16015_Task_8,,,,,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQB_Title_08_01,,@Quest_16015_Task_8_Description,,,3480.021973 6638.578125 71.367996,,,
Quest_16015_Task_9,,,,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16015_Task_9_Description,,,3480.010010 6637.689941 73.137001,17_ZQBRU4_InspectStatue_interact,IO_17_ZQBRU4_InspectStatue,
Quest_16015_Task_11,,,,,,,,,,,,,,,,,,,,TASKGATHERANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17ZQ_StaffDivination,,@Quest_16015_Task_11_Description,,,,17_ZQBRU4_GetStaffDivination_interact,IO_17_ZQBRU4_GetStaffDivination,17_ZQBRU4_GetStaffDivination
