TaskID,SubTask1,SubTask2,SubTask3,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,TP_DescriptionTag,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,UIScreenTag,KillEnemyType,InteractTag,OverrideLocation,TP_TargetTag,POITag
Quest_16004_Task_0,Quest_16004_Task_2,Quest_16004_Task_5,Quest_16004_Task_14,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,,,,,,,
Quest_16004_Task_2,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_ZQB_SPush_Satisfy,@Quest_16004_Task_2_Description,,,,,,,,,,,,,,
Quest_16004_Task_5,Quest_16004_Task_6,Quest_16004_Task_7,Quest_16004_Task_7_0,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,@Quest_16004_Task_5_Description,Quest_16004_Task_7_0_0,Quest_16004_Task_8,Quest_16004_Task_7_0_0_0,Quest_16004_Task_1,Quest_16004_Task_1_0,Quest_16004_Task_9,Quest_16004_Task_12,Quest_16004_Task_11,,,,,,
Quest_16004_Task_6,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16040,@Quest_16004_Task_6_Description,,,,,,,,,NPC_16040_State_1_Topic_0,,,,,
Quest_16004_Task_7,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16004_Task_7_Description,,,,,,,,,,17_ZQBS1_SpiderCave_StartFootprints_interact,IO_17_ZQBS1_SpiderCave_StartFootprints,4666.793945 6069.142090 114.769997,,
Quest_16004_Task_7_0,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16004_Task_7_0_Description,,,,,,,,,,17_ZQBS1_SpiderCave_Footprints1_interact,IO_17_ZQBS1_SpiderCave_Footprints1,4629.622070 6078.791016 108.070000,,
Quest_16004_Task_7_0_0,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16004_Task_7_0_0_Description,,,,,,,,,,17_ZQBS1_SpiderCave_Footprints2_interact,IO_17_ZQBS1_SpiderCave_Footprints2,4595.363770 6064.456055 101.560997,,
Quest_16004_Task_8,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQB_Title_01_01,@Quest_16004_Task_8_Description,,,,,,,,,,,,4580.921875 6062.931152 99.915001,,
Quest_16004_Task_7_0_0_0,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16004_Task_7_0_0_0_Description,,,,,,,,,,17_ZQBS1_SpiderCave_EndFootprints_interact,IO_17_ZQBS1_SpiderCave_EndFootprints,4573.278809 6052.249023 98.359001,,
Quest_16004_Task_9,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16004_Task_9_Description,,,,,,,,,,17_ZQBS1_SpiderCave_ExamineBody_interact,IO_17_ZQBS1_SpiderCave_ExamineBody,4593.582031 6009.834961 93.611000,,
Quest_16004_Task_11,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16004_Task_11_Description,,,,,,,,,,Spider_Named_17DW03_20210,,4575.233887 6005.628906 86.337997,,
Quest_16004_Task_12,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16004_Task_12_Description,,,,,,,,,,,,4598.965820 5990.463867 90.726997,TV_17ZQBS1_AknatSkittles,
Quest_16004_Task_14,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16004_Task_14_Description,,,,,,,,,,,,,,werebeast_den_20329
Quest_16004_Task_1,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16004_Task_1_Description_1,,,,,,,,,,,,4575.996094 6029.958008 95.032997,TV_17ZQBS1_EnterSpiderCaves1,
Quest_16004_Task_1_0,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16004_Task_1_0_Description,,,,,,,,,,,,4588.979004 6020.455566 93.510902,TV_17ZQBS1_EnterSpiderCaves2,
