TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,POITag,ItemName,KillEnemyType,GameModeID,OverrideLocation,UIScreenTag
Quest_03193_Task_0,Quest_03193_Task_1,Quest_03193_Task_11,Quest_03193_Task_23,Quest_03193_Task_4,Quest_03193_Task_24,Quest_03193_Task_20,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,
Quest_03193_Task_1,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,0.000000,0,@Quest_03193_Task_1_Description,Everfall_Settlement_01,,,,,
Quest_03193_Task_2,,,,,,,TASKLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,SS2_SwapActive_Aelstrom_02,,,,
Quest_03193_Task_3,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,SS2_SwapActive_Aelstrom_03,,,,
Quest_03193_Task_11,Quest_03193_Task_2,Quest_03193_Task_3,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_03193_Task_20,Quest_03193_Task_25,Quest_03193_Task_22,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_03193_Task_21,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03193_Task_21_Description,amrine_dungeon,,Ghost_Shackled_Named_05,DungeonAmrine,855.166016 795.117981 143.519302,
Quest_03193_Task_22,Quest_03193_Task_17_0,Quest_03193_Task_25_0,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_03193_Task_17_0,,,,,,,TASKHAVELEVEL,Enter,EarnSpendGoldInSingleTransaction,25,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03193_Task_17_0_Description,,,,,,
Quest_03193_Task_23,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03193_Task_23_Description,,NPC_04628,,,,NPC_04628_State_2_Topic_0
Quest_03193_Task_24,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03193_Task_24_Description,,NPC_04628,,,,NPC_04628_State_3_Topic_0
Quest_03193_Task_25,Quest_03193_Task_21,Quest_03193_Task_21_1,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03193_Task_25_Description,amrine_dungeon,,,,,
Quest_03193_Task_21_1,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_03193_Task_21_1_Description,amrine_dungeon,,Withered_Brute_Named_08,DungeonAmrine,887.609497 902.950073 141.182404,
Quest_03193_Task_25_0,Quest_03193_Task_21_0,Quest_03193_Task_21_1_0,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_03193_Task_25_0_Description,,,,,,
Quest_03193_Task_21_0,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_03193_Task_21_0_Description_0,amrine_dungeon,,Ghost_Shackled_Named_05,DungeonAmrine,,
Quest_03193_Task_21_1_0,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_03193_Task_21_1_0_Description,amrine_dungeon,,Withered_Brute_Named_08,DungeonAmrine,,
Quest_03193_Task_4,Quest_03193_Task_5,Quest_03193_Task_5_0,Quest_03193_Task_5_0_0,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03193_Task_4_Description_0,,,,,,
Quest_03193_Task_5,,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,8,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03193_Task_5_Description_0,,RedGuffinT3_S8,,,,
Quest_03193_Task_5_0,,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,8,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03193_Task_5_0_Description,,BlueGuffinT3_S8,,,,
