TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
04A_Side01_01_RecoverSupplies_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A_Side02_01_01_Task_GetCorn,04A_Side02_02_01a_container_FollowTrailLong,04A_Side02_01_06_container_KillWolvesGetPack,,
04A_Side02_01_01_Task_GetCorn,TaskHaveAndReturnItems,,,,3,04aSide01_01_Crops,Withered,100,,true,,abandoned_farm_village_40267,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_01_01_Task_GetCorn,,,,,,,,,,,,,,,,,,,
04A_Side02_01_02_container_Trail,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side02_02_01a_container_FollowTrailLong,04A_Side02_01_05_Task_Hidden_Shortcut,,,
04A_Side02_02_01a_container_FollowTrailLong,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side02_02_02a_container_FollowTrail1,04A_Side02_02_03a_container_FollowTrail2,04A_Side02_02_04a_container_FollowTrail3,,
04A_Side02_02_02a_container_FollowTrail1,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side02_01_02_Task_FollowTrail1,04A_Side02_01_02_Task_FollowTrail2,04A_Side02_01_02_Task_FollowTrail3,04A_Side02_01_02_Task_FollowTrail4,
04A_Side02_01_02_Task_FollowTrail1,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_04A_Side01_01_Proximity_Trail1,,,04A_Side01_01_Proximity_Trail1_Interact,,,,,,,,,,,,,,,,,,,,@04A_Side02_01_02_Task_FollowTrail,,8453.84 4128.90 145.92,,,,,,,,,,,,,,,,,
04A_Side02_01_02_Task_FollowTrail2,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_04A_Side01_01_Proximity_Trail2,,,04A_Side01_01_Proximity_Trail2_Interact,,,,,,,,,,,,,,,,,,,,@04A_Side02_01_02_Task_FollowTrail,,8470.06 4142.81 139.60,,,,,,,,,,,,,,,,,
04A_Side02_01_02_Task_FollowTrail3,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_04A_Side01_01_Proximity_Trail3,,,04A_Side01_01_Proximity_Trail3_Interact,,,,,,,,,,,,,,,,,,,,@04A_Side02_01_02_Task_FollowTrail,,8496.40 4153.81 142.96,,,,,,,,,,,,,,,,,
04A_Side02_01_02_Task_FollowTrail4,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_04A_Side01_01_Proximity_Trail4,,,04A_Side01_01_Proximity_Trail4_Interact,,,,,,,,,,,,,,,,,,,,@04A_Side02_01_02_Task_FollowTrail,,8523.21 4146.13 145.27,,,,,,,,,,,,,,,,,
04A_Side02_02_03a_container_FollowTrail2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side02_01_03_Task_FollowTrail1,04A_Side02_01_03_Task_FollowTrail2,04A_Side02_01_03_Task_FollowTrail3,04A_Side02_01_03_Task_FollowTrail4,
