TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,OverrideLocation,POITag,KillEnemyType,InteractTag,ItemName,ItemDropVC,GameModeID,UIScreenTag,TP_TargetTag
Quest_28002_Task_0,Quest_28002_Task_5,Quest_28002_Task_19,Quest_28002_Task_21,Quest_28002_Task_3,Quest_28002_Task_20,Quest_28002_Task_15,Quest_28002_Task_17,Quest_28002_Task_18,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,
Quest_28002_Task_1,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28002_Task_1_Description,4283.488770 6979.328613 189.903900,spider_cave_20319,,,,,,,
Quest_28002_Task_2,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28002_Task_2_Description,,inquisitor_village_20324,,,,,,,
Quest_28002_Task_3,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28002_Task_3_Description,,inquisition_hq_20219,,,,,,,
Quest_28002_Task_4,Quest_28002_Task_1,Quest_28002_Task_14,Quest_28002_Task_13,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28002_Task_4_Description,,,,,,,,,
Quest_28002_Task_5,Quest_28002_Task_4,Quest_28002_Task_6,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,
Quest_28002_Task_6,Quest_28002_Task_12,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28002_Task_6_Description,,,,,,,,,
Quest_28002_Task_7,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,4,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28002_Task_7_Description,4215.789062 6960.160156 191.162598,,Quest_Placeholder_Destructible,IO_Quest_Placeholder_Destructible,,,,,
Quest_28002_Task_9,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28002_Task_9_Description,4473.724121 7099.199707 164.811996,,17_IQ_02_CorruptedPortal,IO_17_IQ_02_CorruptedPortal,,,,,
Quest_28002_Task_11,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28002_Task_11_Description,4458.891113 7108.640137 188.259003,,17_IQ_02_FirstSeraphEye,IO_17_IQ_02_FirstSeraphEye,,,,,
