TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
13_Summer_01_Welcome_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_Summer_01_Welcome_container2,,,,
13_Summer_01_Welcome_obtainFlute,TaskGatherAndReturnItems,,,,1,13_Summer_QuestFlute,13_Summer_AzFluteT1,100,,,,,,,,,,,,,,IO_13_Summer_AzFluteT1,,,13_Summer_AzFluteT1_interact,,,,,,,,,,,,,,,,,,,,@13_Summer_01_Welcome_obtainFlute,,,,,,,,,,,,,,,,,,,
13_Summer_01_Welcome_obtainGuitar,TaskGatherAndReturnItems,,,,1,13_Summer_QuestGuitar,13_Summer_GuitarT1,100,,,,,,,,,,,,,,IO_13_Summer_GuitarT1,,,13_Summer_GuitarT1_interact,,,,,,,,,,,,,,,,,,,,@13_Summer_01_Welcome_obtainGuitar,,,,,,,,,,,,,,,,,,,
13_Summer_01_Welcome_obtainBass,TaskGatherAndReturnItems,,,,1,13_Summer_QuestURBass,13_Summer_URBassT1,100,,,,,,,,,,,,,,IO_13_Summer_URBassT1,,,13_Summer_URBassT1_interact,,,,,,,,,,,,,,,,,,,,@13_Summer_01_Welcome_obtainBass,,,,,,,,,,,,,,,,,,,
13_Summer_01_Welcome_obtainDrums,TaskGatherAndReturnItems,,,,1,13_Summer_QuestDrums,13_Summer_DrumT1,100,,,,,,,,,,,,,,IO_13_Summer_DrumT1,,,13_Summer_DrumT1_interact,,,,,,,,,,,,,,,,,,,,@13_Summer_01_Welcome_obtainDrums,,,,,,,,,,,,,,,,,,,
13_Summer_01_Welcome_obtainMandolin,TaskGatherAndReturnItems,,,,1,13_Summer_QuestMandolin,13_Summer_MandolinT1,100,,,,,,,,,,,,,,IO_13_Summer_MandolinT1,,,13_Summer_MandolinT1_interact,,,,,,,,,,,,,,,,,,,,@13_Summer_01_Welcome_obtainMandolin,,,,,,,,,,,,,,,,,,,
13_Summer_01_Welcome_container2,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,13_Summer_01_Welcome_obtainFlute,13_Summer_01_Welcome_obtainGuitar,13_Summer_01_Welcome_obtainBass,13_Summer_01_Welcome_obtainDrums,13_Summer_01_Welcome_obtainMandolin
13_Summer_02_Maudlinbugs_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_Summer_02_Maudlinbugs_LearnWaltz,13_Summer_02_Maudlinbugs_OpenMap,13_Summer_02_Maudlinbugs_fallthrough,,
13_Summer_02_Maudlinbugs_LearnWaltz,TaskAchievement,,,,1,MP_Waltz_Guitar_Part1_Page1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@13_Summer_02_Maudlinbugs_LearnWaltz,,,,,,,,,,,,,,,,,,,
13_Summer_02_Maudlinbugs_OpenMap,TaskOpenUiScreen,,,,1,,,,,,,,,,,,,,,,,,Map,,,,,,,,,,,,,,,,,,,,,,@13_Summer_02_Maudlinbugs_OpenMap,,,,,,,,,,,,,,,,,,,
