TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
99D_MSQ_01_RescueWarden_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99D_MSQ_01_RescueWarden_push,99D_MSQ_01_RescueWarden_swapGalahadAOff,99D_MSQ_01_RescueWarden_MasterFailsafe_container,99D_MSQ_01_RescueWarden_Location1_container,99D_MSQ_01_RescueWarden_Location2_container
99D_MSQ_01_RescueWarden_push,TaskUnlockAchievement,,,,1,GC_Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_swapGalahadAOff,TaskUnlockAchievement,,,,1,SwapActive_MSQ_Galahad_GC_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_MasterFailsafe_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_01_RescueWarden_RescueFailsafe_container,99D_MSQ_01_RescueWarden_RescueFailsafe02_container,,,
99D_MSQ_01_RescueWarden_RescueFailsafe_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_01_RescueWarden_Yash_Failsafe,99D_MSQ_01_RescueWarden_WardenA_Failsafe,99D_MSQ_01_RescueWarden_WardenB_Failsafe,,
99D_MSQ_01_RescueWarden_Yash_Failsafe,TaskLockAchievement,,,,1,SwapActive_MSQ_Yash_GC_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_WardenA_Failsafe,TaskLockAchievement,,,,1,SwapActive_MSQ_SoulWardenA_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_WardenB_Failsafe,TaskLockAchievement,,,,1,SwapActive_MSQ_SoulWardenB_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_RescueFailsafe02_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_01_RescueWarden_Yash_Failsafe02,99D_MSQ_01_RescueWarden_WardenA_Failsafe02,99D_MSQ_01_RescueWarden_WardenB_Failsafe02,,
99D_MSQ_01_RescueWarden_Yash_Failsafe02,TaskLockAchievement,,,,1,SwapActive_MSQ_Yash_GC_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_WardenA_Failsafe02,TaskLockAchievement,,,,1,SwapActive_MSQ_SoulWardenA_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_WardenB_Failsafe02,TaskLockAchievement,,,,1,SwapActive_MSQ_SoulWardenB_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_Location1_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_01_RescueWarden_GoToPOI,99D_MSQ_01_RescueWarden_swap_container,99D_MSQ_01_RescueWarden_POI1simple_container,99D_MSQ_01_RescueWarden_Cart_containter,99D_MSQ_01_RescueWarden_Galahad_container
99D_MSQ_01_RescueWarden_GoToPOI,TaskGoToPOITag,,,,,,,,,true,,greatcleavesouthwall_40301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99D_MSQ_01_RescueWarden_GoToPOI,,,,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_swap_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_01_RescueWarden_swapYonasAOn,,,,
99D_MSQ_01_RescueWarden_swapYonasAOn,TaskUnlockAchievement,,,,1,SwapActive_MSQ_Yonas_GC_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_POI1simple_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_01_RescueWarden_defeatCorrupted1,99D_MSQ_01_RescueWarden_supplies_container,,,
99D_MSQ_01_RescueWarden_defeatCorrupted1,TaskKillContribution,,,,10,,,,,true,,greatcleavesouthwall_40301,,,,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,@99D_MSQ_01_RescueWarden_DefeatCorrupted1,,,,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_supplies_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_01_RescueWarden_recoverFoodCrate,99D_MSQ_01_RescueWarden_recoverArmorCrate,99D_MSQ_01_RescueWarden_recoverWeaponCrate,,
99D_MSQ_01_RescueWarden_recoverFoodCrate,TaskHaveAndReturnItems,,,,1,99D_MSQ_01_FoodCrate,99D_MSQ_01_SupplyCrateFood,100,,true,,greatcleavesouthwall_40301,,,true,,,,,,,IO_99D_MSQ_01_SupplyCrateFood,,,,,,,,,,,,,,,,,,,,,,,@99D_MSQ_01_RescueWarden_RecoverSupplies2,,9533.61 6920.54 271.10,,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_recoverArmorCrate,TaskHaveAndReturnItems,,,,1,99D_MSQ_01_ArmorCrate,99D_MSQ_01_SupplyCrateArmor,100,,true,,greatcleavesouthwall_40301,,,true,,,,,,,IO_99D_MSQ_01_SupplyCrateArmor,,,,,,,,,,,,,,,,,,,,,,,@99D_MSQ_01_RescueWarden_RecoverSupplies3,,9640.19 6901.19 278.50,,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_recoverWeaponCrate,TaskHaveAndReturnItems,,,,1,99D_MSQ_01_WeaponsCrate,99D_MSQ_01_SupplyCrateWeapons,100,,true,,greatcleavesouthwall_40301,,,true,,,,,,,IO_99D_MSQ_01_SupplyCrateWeapons,,,,,,,,,,,,,,,,,,,,,,,@99D_MSQ_01_RescueWarden_RecoverSupplies4,,9485.36 6884.30 283.18,,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_Cart_containter,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_01_RescueWarden_fixCart,99D_MSQ_01_RescueWarden_swapGalahadBOn,99D_MSQ_01_RescueWarden_fillCart,,
99D_MSQ_01_RescueWarden_fixCart,TaskGatherCyclicState,,,,1,Cyclic_99D_MSQ_01_Cart,,0,,,,,,,,,,,,,,IO_99D_MSQ_01_Cart,,,,,,,,,,,,,,,,,,,,,,,@99D_MSQ_01_RescueWarden_FixCarts,,9647.85 7016.15 279.56,,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_swapGalahadBOn,TaskUnlockAchievement,,,,1,SwapActive_MSQ_Galahad_GC_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_fillCart,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_99D_MSQ_01_LootedCart,,,IO_99D_MSQ_01_LootedCart_interact,,,,,,,,,,,,,,,,,,,,@99D_MSQ_01_RescueWarden_FillCarts,,9647.89 7016.13 279.54,,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_Galahad_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_01_RescueWarden_talkToGalahad,,,,
99D_MSQ_01_RescueWarden_talkToGalahad,TaskConversationTopic,,,,1,99D_Galahad_B,,,,,,,,,,,,,,,,,99D_MSQ_01_Galahad_Resupply,,,,,,,,,,,,,,,,,,,,,,@99D_MSQ_01_RescueWarden_TalktoGalahad,,9647.33 7019.76 279.84,,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_Location2_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_01_RescueWarden_GoToPOI2,99D_MSQ_01_RescueWarden_swapGalahad2_container,99D_MSQ_01_RescueWarden_POI2simple_container,,
99D_MSQ_01_RescueWarden_GoToPOI2,TaskGoToPOITag,,,,,,,,,true,,abandoned_village_40308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99D_MSQ_01_RescueWarden_GoToPOI2,,,,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_swapGalahad2_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_01_RescueWarden_swapGalahadBOff,99D_MSQ_01_RescueWarden_swapGalahadCOn,,,
99D_MSQ_01_RescueWarden_swapGalahadBOff,TaskLockAchievement,,,,1,SwapActive_MSQ_Galahad_GC_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_swapGalahadCOn,TaskUnlockAchievement,,,,1,SwapActive_MSQ_Galahad_GC_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_POI2simple_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_01_RescueWarden_defeatCorrupted2,99D_MSQ_01_RescueWarden_Yash_container,99D_MSQ_01_RescueWarden_WardenA_container,99D_MSQ_01_RescueWarden_WardenB_container,
99D_MSQ_01_RescueWarden_defeatCorrupted2,TaskKillContribution,,,,5,,,,,true,,abandoned_village_40308,,,,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,@99D_MSQ_01_RescueWarden_DefeatCorrupted2,,,,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_Yash_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_01_RescueWarden_talkToYash,99D_MSQ_01_RescueWarden_swapYashAOff,99D_MSQ_01_RescueWarden_swapYashBOn,,
99D_MSQ_01_RescueWarden_talkToYash,TaskConversationTopic,,,,1,99D_Yash_A,,,,true,,abandoned_village_40308,,,,,,,,,,,99D_MSQ_01_Yash_RescueWarden,,,,,,,,,,,,,,,,,,,,,,@99D_MSQ_01_RescueWarden_TalktoYash,,9565.48 7264.08 292.11,,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_swapYashAOff,TaskUnlockAchievement,,,,1,SwapActive_MSQ_Yash_GC_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_swapYashBOn,TaskUnlockAchievement,,,,1,SwapActive_MSQ_Yash_GC_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_WardenA_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_01_RescueWarden_talkToWardenA,99D_MSQ_01_RescueWarden_swapWardenA_AOff,99D_MSQ_01_RescueWarden_swapWardenA_BOn,,
99D_MSQ_01_RescueWarden_talkToWardenA,TaskConversationTopic,,,,1,99D_JuditheOwens_A,,,,true,,abandoned_village_40308,,,,,,,,,,,99D_MSQ_01_Judithe_RescueWarden,,,,,,,,,,,,,,,,,,,,,,@99D_MSQ_01_RescueWarden_TalktoWardenA,,9798.79 7282.63 328.28,,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_swapWardenA_AOff,TaskUnlockAchievement,,,,1,SwapActive_MSQ_SoulWardenA_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_swapWardenA_BOn,TaskUnlockAchievement,,,,1,SwapActive_MSQ_SoulWardenA_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_WardenB_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_01_RescueWarden_talkToWardenB,99D_MSQ_01_RescueWarden_swapWardenB_AOff,99D_MSQ_01_RescueWarden_swapWardenB_BOn,,
99D_MSQ_01_RescueWarden_talkToWardenB,TaskConversationTopic,,,,1,99D_PedroCarrillo_A,,,,true,,abandoned_village_40308,,,,,,,,,,,99D_MSQ_01_Pedro_RescueWarden,,,,,,,,,,,,,,,,,,,,,,@99D_MSQ_01_RescueWarden_TalktoWardenB,,9607.75 7183.09 292.3,,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_swapWardenB_AOff,TaskUnlockAchievement,,,,1,SwapActive_MSQ_SoulWardenB_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_swapWardenB_BOn,TaskUnlockAchievement,,,,1,SwapActive_MSQ_SoulWardenB_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_01_RescueWarden_GoToPOI3,TaskGoToPOITag,,,,,,,,,true,,outpost_43_2_40325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99D_MSQ_01_RescueWarden_GoToPOI3,,,,,,,,,,,,,,,,,,
99D_MSQ_02_ClimbRuins_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99D_MSQ_02_ClimbRuins_GoToPOI,99D_MSQ_02_ClimbRuins_swap_container,99D_MSQ_02_ClimbRuins_climbing_container,99D_MSQ_02_ClimbRuins_secret_Container,99D_MSQ_02_ClimbRuins_partialContainer
99D_MSQ_02_ClimbRuins_GoToPOI,TaskGoToPOITag,,,,,,,,,true,,ancient_ruins_40330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99D_MSQ_02_ClimbRuins_GoToPOI,,,,,,,,,,,,,,,,,,
99D_MSQ_02_ClimbRuins_swap_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_02_ClimbRuins_swapYonasAOff,99D_MSQ_02_ClimbRuins_swapYonasBOn,99D_MSQ_02_ClimbRuins_swapYashBOff,99D_MSQ_02_ClimbRuins_swapYashCOn,
99D_MSQ_02_ClimbRuins_swapYonasAOff,TaskLockAchievement,,,,1,SwapActive_MSQ_Yonas_GC_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_02_ClimbRuins_swapYonasBOn,TaskUnlockAchievement,,,,1,SwapActive_MSQ_Yonas_GC_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_02_ClimbRuins_swapYashBOff,TaskLockAchievement,,,,1,SwapActive_MSQ_Yash_GC_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_02_ClimbRuins_swapYashCOn,TaskUnlockAchievement,,,,1,SwapActive_MSQ_Yash_GC_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99D_MSQ_02_ClimbRuins_climbing_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_02_ClimbRuins_climbtrigger4,99D_MSQ_02_ClimbRuins_defeatMiniBoss,,,
99D_MSQ_02_ClimbRuins_climbtrigger4,TaskTriggerArea,,,,1,,,,,true,,ancient_ruins_40330,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,Climb4_GC_Trigger,@99D_MSQ_02_ClimbRuins_climbtrigger3,,10176.52 7301.30 438.81,,,true,,,,,,,,,,,,,
99D_MSQ_02_ClimbRuins_defeatMiniBoss,TaskKillContribution,,,,1,,,,,true,,ancient_ruins_40330,,,,,,,,,,,,,Ancient_Guardian_Reaver_03GC10b,,,,,,,,,,,,,,,,,,,,@99D_MSQ_02_ClimbRuins_defeatMiniBoss,,,,,,,,,,,,,,,,,,
99D_MSQ_02_ClimbRuins_secret_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_02_ClimbRuins_lore1_container,99D_MSQ_02_ClimbRuins_interactSecrets,99D_MSQ_02_ClimbRuins_trigger_whispers,99D_MSQ_02_ClimbRuins_unlockShrine,
99D_MSQ_02_ClimbRuins_lore1_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99D_MSQ_02_ClimbRuins_readLore1,99D_MSQ_02_ClimbRuins_voicedLore1,,,
