TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
1502_1501_d_00_container_Sieged,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502_1501_d_01_Task_Goto,1502_1501_d_02_Task_Kill,,,
1502_1501_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,true,,decayedcamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1502_1501_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
1502_1501_d_02_Task_Kill,TaskKillContribution,,1,8,,,,,true,,decayedcamp,,,,,,,,,,,,,Withered,,,,,,,,,,,,,,,,,,,,@1502_1501_d_02_Task_Kill,,,,,,,,,,,,,,,,,,,
1502_1502_d_00_container_Stolen,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502_1502_d_01_Task_Goto,1502_1502_d_01a_Container,,,
1502_1502_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,true,,eastshorepier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1502_1502_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
1502_1502_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1502_1502_d_02_Task_Kill,1502_1502_d_03_GatherChest,,,
1502_1502_d_02_Task_Kill,TaskKillContribution,,1,10,,,,,true,,eastshorepier,,,,,,,,,,,,,Lost,,,,,,,,,,,,,,,,,,,,@1502_1502_d_02_Task_Kill,,,,,,,,,,,,,,,,,,,
1502_1502_d_03_GatherChest,TaskHaveAndReturnItems,,1,5,1502_1502_FishingSupplies,,,100,true,,eastshorepier,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1502_1502_d_03_GatherChest,,,,,,,,,,,,,,,,,,,
1504_1503_d_00_container_Fury,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1504_1503_d_01_Task_Goto,1504_1503_d_01a_Container,,,
1504_1503_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,true,,shipwreck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1504_1503_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
1504_1503_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1504_1503_d_02_Task_Kill,1504_1503_d_03_GatherChest,,,
1504_1503_d_02_Task_Kill,TaskKillContribution,,1,15,,,,,true,,shipwreck,,,,,,,,,,,,,Lost,,,,,,,,,,,,,,,,,,,,@1504_1503_d_02_Task_Kill,,,,,,,,,,,,,,,,,,,
1504_1503_d_03_GatherChest,TaskHaveAndReturnItems,,1,5,1504_1503_PirateBooty,,,100,true,,shipwreck,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1504_1503_d_03_GatherChest,,,,,,,,,,,,,,,,,,,
1503_1504_d_00_container_Lupine,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503_1504_d_01_Task_Goto,1503_1504_d_02_Task_Kill,,,
1503_1504_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,true,,animalden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1503_1504_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
1503_1504_d_02_Task_Kill,TaskKillContribution,,1,1,,,,,true,,animalden,,,,,,,,,,,,,Wolf_Alpha_Named_00,,,,,,,,,,,,,,,,,,,,@1503_1504_d_02_Task_Kill,,,,,,,,,,,,,,,,,,,
1503_1505_d_00_container_Hoppy,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503_1505_d_01_Task_Goto,1503_1505_d_02_Task_Kill,1503_1505_d_03_Task_Kill,,
1503_1505_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,true,,bunnyisland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1503_1505_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
1503_1505_d_02_Task_Kill,TaskKillContribution,,1,1,,,,,true,,bunnyisland,,,,,,,,,,,,,Rabbit_Spotted_Named_01,,,,,,,,,,,,,,,,,,,,@1503_1505_d_02_Task_Kill,,,,,,,,,,,,,,,,,,,
1503_1505_d_03_Task_Kill,TaskKillContribution,,1,1,,,,,true,,bunnyisland,,,,,,,,,,,,,Ghost_Plagued_Named_03,,,,,,,,,,,,,,,,,,,,@1503_1505_d_03_Task_Kill,,,,,,,,,,,,,,,,,,,
1503_1506_d_00_container_Boars,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503_1506_d_01_Task_Goto,1503_1506_d_01a_Container,,,
1503_1506_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,true,,blightedcamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1503_1506_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
1503_1506_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1503_1506_d_02_Task_Kill,1503_1506_d_03_Task_Kill,,,
1503_1506_d_02_Task_Kill,TaskKillContribution,,1,5,,,,,true,,blightedcamp,,,,,,,,,,,,,Boar,,,,,,,,,,,,,,,,,,,,@1503_1506_d_02_Task_Kill,,,,,,,,,,,,,,,,,,,
1503_1506_d_03_Task_Kill,TaskKillContribution,,1,1,,,,,true,,blightedcamp,,,,,,,,,,,,,Boar_Stripped_Named_00,,,,,,,,,,,,,,,,,,,,@1503_1506_d_03_Task_Kill,,,,,,,,,,,,,,,,,,,
1510_1507_d_00_container_Scouting,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510_1507_d_01_Task_Goto,1510_1507_d_02_Task_KillToken,1510_1507_d_03_Task_Goto,1510_1507_d_04_Task_KillToken,
1510_1507_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,true,,lookoutwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1510_1507_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
1510_1507_d_02_Task_KillToken,TaskHaveAndReturnItems,,1,1,1510_1507_WesternRunestone,Lost,25,,true,,lookoutwest,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1510_1507_d_02_Task_KillToken,,,,,,,,,,,,,,,,,,,
1510_1507_d_03_Task_Goto,TaskGoToPOITag,,1,,,,,,true,,lookouteast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1510_1507_d_03_Task_Goto,,,,,,,,,,,,,,,,,,,
1510_1507_d_04_Task_KillToken,TaskHaveAndReturnItems,,1,1,1510_1507_EasternRunestone,Lost,25,,true,,lookouteast,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1510_1507_d_04_Task_KillToken,,,,,,,,,,,,,,,,,,,
1510_1508_d_00_container_Damnation,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510_1508_d_01_Task_Goto,1510_1508_d_02_Task_Kill,,,
1510_1508_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,true,,fortdamnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1510_1508_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
1510_1508_d_02_Task_Kill,TaskKillContribution,,1,1,,,,,true,,fortdamnation,,,,,,,,,,,,,Undead_Officer_Named_05,,,,,,,,,,,,,,,,,,,,@1510_1508_d_02_Task_Kill,,,,,,,,,,,,,,,,,,,
1505_1509_d_00_container_Menacing,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505_1509_d_01_Task_Goto,1505_1509_d_01a_Container,,,
1505_1509_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,true,,blightedwreck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1505_1509_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
1505_1509_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1505_1509_d_02_Task_Kill,1505_1509_d_03_Task_GatherChest,,,
1505_1509_d_02_Task_Kill,TaskKillContribution,,1,1,,,,,true,,blightedwreck,,,,,,,,,,,,,Undead_Officer_Named_04,,,,,,,,,,,,,,,,,,,,@1505_1509_d_02_Task_Kill,,,,,,,,,,,,,,,,,,,
