TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,TP_DescriptionTag,OverrideLocation,TP_TargetTag,UIScreenTag,InteractTag,POITag,KillEnemyType,ItemDropVC,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,SubTask14,SubTask15,SubTask16,SubTask17
Quest_16028_Task_0,Quest_16028_Task_2,Quest_16028_Task_3,Quest_16028_Task_18,Quest_16028_Task_4,Quest_16028_Task_5,Quest_16028_Task_19,Quest_16028_Task_17,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,,,,,,,,,,
Quest_16028_Task_2,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_ZQU_RU3Push_Satisfy,,,,,,,,,,,,,,,,,,
Quest_16028_Task_3,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQU_Title_06_01,@Quest_16028_Task_3_Description,4814.801758 6839.540039 159.179001,,,,,,,,,,,,,,,,
Quest_16028_Task_4,,,,,,,,TASKTRIGGERAREA,Leave,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16028_Task_4_Description,4814.932129 6827.271973 158.093903,TV_17ZQ_GalbrionOffice,,,,,,,,,,,,,,,
Quest_16028_Task_5,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16170,@Quest_16028_Task_5_Description,,,NPC_16170_State_1_Topic_0,,,,,,,,,,,,,,
Quest_16028_Task_7,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16028_Task_7_Description,3882.756104 5654.226074 141.082993,TV_17ZQURU3_LookLynette,,,,,,,,,,,,,,,
Quest_16028_Task_7_0,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16028_Task_7_0_Description,3878.754639 5645.352051 145.017395,TV_17ZQURU3_SearchEverard2,,IO_17_ZQURU3_EncStartEverard,,,,,,,,,,,,,
Quest_16028_Task_1,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16162,@Quest_16028_Task_1_Description_0,,,NPC_16162_State_1_Topic_0,,,,,,,,,,,,,,
Quest_16028_Task_1_0,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16162,@Quest_16028_Task_1_0_Description,,,NPC_16162_State_2_Topic_0,,,,,,,,,,,,,,
Quest_16028_Task_6,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16028_Task_6_Description_0,,,,,upyr_castle_10222,,,,,,,,,,,,
Quest_16028_Task_8,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16028_Task_8_Description,3988.278076 5817.095215 153.949005,TV_17ZQURU3_GoBathoryChallenge1a,,,,,,,,,,,,,,,
Quest_16028_Task_8_0,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16028_Task_8_0_Description,3940.246094 5777.182129 127.028999,TV_17ZQURU3_TeleportedChallenge2,,,,,,,,,,,,,,,
Quest_16028_Task_8_0_0,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16028_Task_8_0_0_Description,3980.347900 5846.841797 126.792000,TV_17ZQURU3_GoBathoryChallenge3,,,,,,,,,,,,,,,
Quest_16028_Task_9,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQU_Title_03_02,@Quest_16028_Task_9_Description,3994.478027 5802.707031 128.091003,,,,,,,,,,,,,,,,
Quest_16028_Task_9_0,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQU_Title_03_01,@Quest_16028_Task_9_0_Description,3940.173096 5775.670898 128.123001,,,,,,,,,,,,,,,,
Quest_16028_Task_9_0_0,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQU_Title_03_03,@Quest_16028_Task_9_0_0_Description,3961.239990 5793.709961 163.498001,,,,,,,,,,,,,,,,
Quest_16028_Task_10_0,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16028_Task_10_0_Description,4004.558105 5873.055176 135.835999,TV_17ZQURU3_Challenge1Enter,,,,,,,,,,,,,,,
