TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,TP_DescriptionTag,POITag,TP_TargetTag,OverrideLocation,UIScreenTag,KillEnemyType,ItemDropVC,InteractTag
Quest_16032_Task_0,Quest_16032_Task_2,Quest_16032_Task_3,Quest_16032_Task_15,Quest_16032_Task_7,Quest_16032_Task_4_0,Quest_16032_Task_5,Quest_16032_Task_6,Quest_16032_Task_5_0,Quest_16032_Task_8,Quest_16032_Task_6_0,Quest_16032_Task_10,Quest_16032_Task_4,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_16032_Task_2,,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_ZQU_RU5Push_Satisfy,,,,,,,,
Quest_16032_Task_3,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16032_Task_3_Description,Dunwood_Settlement_01,,,,,,
Quest_16032_Task_4_0,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16032_Task_4_0_Description,,TV_17ZQURU5_ChaseEnemy,4882.233887 6813.601074 158.050003,,,,
Quest_16032_Task_5,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16150,@Quest_16032_Task_5_Description,,,,NPC_16150_State_1_Topic_0,,,
Quest_16032_Task_6,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16032_Task_6_Description,,TV_17ZQU_GalbrionReception,4816.813965 6824.883789 158.048996,,,,
Quest_16032_Task_5_0,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16171,@Quest_16032_Task_5_0_Description,,,,NPC_16171_State_1_Topic_0,,,
Quest_16032_Task_8,,,,,,,,,,,,,TASKGATHERANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17ZQ_GalbrionDoorKey,@Quest_16032_Task_8_Description,,,4815.078125 6839.448242 158.425003,,17_ZQURU5_SearchGalbrionDesk_interact,17_ZQURU5_SearchGalbrionDesk,IO_17_ZQURU5_SearchGalbrionDesk
Quest_16032_Task_6_0,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16032_Task_6_0_Description_0,,TV_17ZQURU5_FightGalbrion,4799.978027 6826.144043 158.050003,,,,
Quest_16032_Task_10,,,,,,,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16032_Task_10_Description,,,4577.064941 6842.375977 71.999001,,Lost,,
