TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0901_0100_d_00_container_getoffbeach,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_story_task_getoffthebeach,,,,,,,,,0901_0100_d_02_task_goto_watchtower,,,,
0901_0100_d_02_task_goto_watchtower,TaskGoToPOITag,,1,,,,,,,9,watchtower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_onboarding_goToOutpost_task01_desc,,,,,,,,,,,,,
0901_0101_d_00_container_culldrowned,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0901_0101_d_02_TaskGoToPOITag_drowned_shipwreck_2,0901_0101_d_03_kill_3_Drowned,,,
0901_0101_d_01_open_map_shipwreck,TaskOpenUiScreen,,,1,,,,,,,,,,,,,,,,,Map,,,,,,,,,,,,,,,,,,,,,,@0901_0101_d_01_task,,,,,,,,,,,,,
0901_0101_d_02_TaskGoToPOITag_drowned_shipwreck_2,TaskGoToPOITag,,1,,,,,,,,shipwreck_40007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0901_0101_d_02_task,,,,,,,,,,,,,
0901_0101_d_03_kill_3_Drowned,TaskKillContribution,,1,3,,,,,,,shipwreck_40007,,,,,,,,,,,,Drowned,,,,,,,,,,,,,,,,,,,,@0901_0101_d_03_task,,,,,,,,,,,,,
0901_0102_d_00_container_campandtools,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0901_0102_d_01_container_campandtools_gather,0901_0102_d_02_TaskHaveItems_1_1hSkinningKnifeT1,,,
0901_0102_d_01_container_campandtools_gather,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0901_0102_d_01_01_TaskHaveItems_1_FlintT1,0901_0102_d_01_02_TaskHaveItems_1_WoodT1,,,
0901_0102_d_01_01_TaskHaveItems_1_FlintT1,TaskHaveItems,,,1,FlintT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@0901_0102_d_02_task,,,,,,,,,,,,,
0901_0102_d_01_02_TaskHaveItems_1_WoodT1,TaskHaveItems,,,1,WoodT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0901_0102_d_03_task,,,,,,,,,,,,,
0901_0102_d_02_TaskHaveItems_1_1hSkinningKnifeT1,TaskHaveItems,,,1,1hSkinningKnifeT1,,,,,9,watchtower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0901_0102_d_04_task,,9739.80 337.22 45.20,,,,,,,,,,,
0901_0103_d_00_container_boarproblem,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0901_0103_d_01_kill_1_Boar,0901_0103_d_02_equip_skinning,0901_0103_d_03_TaskGatherItems_1_RedMeatT1,0901_0103_d_04_TaskGameEvent_1_Craft_CookingT1,0901_0103_d_05_TaskHaveItems_1_LightRation
0901_0103_d_01_kill_1_Boar,TaskKillContribution,,,1,,,,,,,,,,,,,,,,,,,Boar,,,,,,,,,,,,,,,,,,,,@0901_0103_d_01_task,,9743.953 398.832 55.843,,,,,,,,,,,
0901_0103_d_02_equip_skinning,TaskEquipItem,,,1,1hSkinningKnifeT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0901_0103_d_02_task,,9743.953 398.832 55.843,,,,,,,,,,,
0901_0103_d_03_TaskGatherItems_1_RedMeatT1,TaskGatherItems,,,1,PorkT1,Boar,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0901_0103_d_03_task,,9743.953 398.832 55.843,,,,,,,,,,,
0901_0103_d_04_TaskGameEvent_1_Craft_CookingT1,TaskCraftRecipe,,,1,,,,,,9,watchtower,,,,,,,Procedural_HealthRecoveryT1,,,,,,,,,,,,,,,,,,,,,,,,,@0901_0103_d_04_task,,9739.80 337.22 45.20,,,,,,,,,,,
0901_0103_d_05_TaskHaveItems_1_LightRation,TaskHaveItems,,1,1,FoodHealthRecoveryT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0901_0104_d_00_container_xmarksthespot,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0901_0104_d_01_TaskGoToPOITag_shipwreck_40005,0901_0104_d_02_container_xmarksthespot_lorepages,0901_0104_d_03_container_xmarksthespot_locker,0901_0104_d_04_TaskGoToPOITag_shipwreck_40004,0901_0104_d_05_container_xmarksthespot_flags
