TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,SubTask14,SubTask15,SubTask16,SubTask17,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,CraftingRecipeId,TP_DescriptionTag,TP_TargetTag,OverrideLocation,UIScreenTag,KillEnemyType,InteractTag,ItemDropVC,POITag
Quest_16010_Task_0,Quest_16010_Task_1,Quest_16010_Task_4,Quest_16010_Task_2,Quest_16010_Task_7,Quest_16010_Task_8,Quest_16010_Task_9,Quest_16010_Task_10,Quest_16010_Task_13,Quest_16010_Task_21,Quest_16010_Task_6,Quest_16010_Task_24,Quest_16010_Task_3,Quest_16010_Task_16,Quest_16010_Task_25,Quest_16010_Task_26,Quest_16010_Task_27,Quest_16010_Task_5,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,
Quest_16010_Task_1,,,,,,,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_ZQB_RU2Push_Satisfy,,,,,,,,,
Quest_16010_Task_6,,,,,,,,,,,,,,,,,,TASKCRAFTRECIPE,Enter,EarnSpendGoldInSingleTransaction,5,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,17ZQ_SleepingJuice,@Quest_16010_Task_6_Description,,,,,,,
Quest_16010_Task_4,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_16010_Task_4_Description,TV_17ZQBRU2_ShrineGuarded,4810.599121 6261.007812 107.355003,,,,,
Quest_16010_Task_7,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16088,,@Quest_16010_Task_7_Description,,,NPC_16088_State_1_Topic_0,,,,
Quest_16010_Task_8,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16034,,@Quest_16010_Task_8_Description,,,NPC_16034_State_1_Topic_0,,,,
Quest_16010_Task_9,,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16010_Task_9_Description,,4821.860840 6270.318848 104.954002,,17_ZQBRU2_ExamineCorneliusCup_interact,IO_17_ZQBRU2_ExamineCorneliusCup,,
Quest_16010_Task_10,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_16010_Task_10_Description,TV_17ZQBS2_SearchForUpperDen,4805.809082 6276.851074 111.467003,,,,,
Quest_16010_Task_11,Quest_16010_Task_18,Quest_16010_Task_12,Quest_16010_Task_12_0,,,,,,,,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,@Quest_16010_Task_11_Description,,,,,,,
Quest_16010_Task_12,,,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQB_Title_02_05,,@Quest_16010_Task_12_Description,,,,,,,
Quest_16010_Task_12_0,,,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQB_Title_02_06,,@Quest_16010_Task_12_0_Description,,,,,,,
Quest_16010_Task_12_0_0,,,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQB_Title_05_01,,@Quest_16010_Task_12_0_0_Description,,,,,,,
Quest_16010_Task_18,Quest_16010_Task_12_0_0_0,Quest_16010_Task_20,,,,,,,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,@Quest_16010_Task_18_Description,,,,,,,
Quest_16010_Task_12_0_0_0,,,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQB_Title_02_07,,@Quest_16010_Task_12_0_0_0_Description,,,,,,,
Quest_16010_Task_20,,,,,,,,,,,,,,,,,,TASKGIVEANDTAKEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17ZQ_SleepingJuice_WorkOrder,,,,,,,,,
Quest_16010_Task_21,Quest_16010_Task_22,Quest_16010_Task_23,,,,,,,,,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16010_Task_21_Description,,,,,,,
