TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
1201_0100_d_00_container_getoffbeach,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_story_task_getoffthebeach,,,,,,,,,1201_0100_d_02_task_goto_watchtower,,,,
1201_0100_d_02_task_goto_watchtower,TaskGoToPOITag,,1,,,,,,,12,watchtower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_onboarding_goToOutpost_task01_desc,,,,,,,,,,,,,
1201_0101_d_00_container_culldrowned,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201_0101_d_02_TaskGoToPOITag_drowned_shipwreck_2,1201_0101_d_03_kill_3_Drowned,,,
1201_0101_d_01_open_map_shipwreck,TaskOpenUiScreen,,,1,,,,,,,,,,,,,,,,,Map,,,,,,,,,,,,,,,,,,,,,,@1201_0101_d_01_task,,,,,,,,,,,,,
1201_0101_d_02_TaskGoToPOITag_drowned_shipwreck_2,TaskGoToPOITag,,1,,,,,,,,drowned_shipwreck_2_30125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1201_0101_d_02_task,,,,,,,,,,,,,
1201_0101_d_03_kill_3_Drowned,TaskKillContribution,,1,3,,,,,,,drowned_shipwreck_2_30125,,,,,,,,,,,,Drowned,,,,,,,,,,,,,,,,,,,,@1201_0101_d_03_task,,,,,,,,,,,,,
1201_0102_d_00_container_campandtools,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201_0102_d_01_container_campandtools_gather,1201_0102_d_02_TaskHaveItems_1_1hSkinningKnifeT1,,,
1201_0102_d_01_container_campandtools_gather,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1201_0102_d_01_01_TaskHaveItems_1_FlintT1,1201_0102_d_01_02_TaskHaveItems_1_WoodT1,,,
1201_0102_d_01_01_TaskHaveItems_1_FlintT1,TaskHaveItems,,,1,FlintT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@1201_0102_d_02_task,,,,,,,,,,,,,
1201_0102_d_01_02_TaskHaveItems_1_WoodT1,TaskHaveItems,,,1,WoodT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1201_0102_d_03_task,,,,,,,,,,,,,
1201_0102_d_02_TaskHaveItems_1_1hSkinningKnifeT1,TaskHaveItems,,,1,1hSkinningKnifeT1,,,,,12,watchtower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1201_0102_d_04_task,,7302.950 3091.620 44.975,,,,,,,,,,,
1201_0103_d_00_container_boarproblem,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201_0103_d_01_kill_1_Boar,1201_0103_d_02_equip_skinning,1201_0103_d_03_TaskHaveItems_1_RedMeatT1,1201_0103_d_04_TaskGameEvent_1_Craft_CookingT1,1201_0103_d_05_TaskHaveItems_1_LightRation
1201_0103_d_01_kill_1_Boar,TaskKillContribution,,,1,,,,,,,,,,,,,,,,,,,Boar,,,,,,,,,,,,,,,,,,,,@1201_0103_d_01_task,,7373.131 3076.985 53.5561,,,,,,,,,,,
1201_0103_d_02_equip_skinning,TaskEquipItem,,,1,1hSkinningKnifeT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1201_0103_d_02_task,,7373.131 3076.985 53.5561,,,,,,,,,,,
1201_0103_d_03_TaskHaveItems_1_RedMeatT1,TaskGatherItems,,,1,PorkT1,Boar,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1201_0103_d_03_task,,7373.131 3076.985 53.5561,,,,,,,,,,,
