TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0205_0102_Battles_Embrace_Gear_v2_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0205_0102_d_00_Container_WorkOrders_v2,0205_0102_Container_01_Boots_01,0205_0102_GoodsContainer,,
0205_0102_d_00_Container_WorkOrders_v2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0205_0102_02_Breastplate_task_01,0205_0102_01_Boots_task_01,0205_0102_03_Greaves_task_01,0205_0102_04_Gauntlets_task_01,0205_0102_05_Helm_task_01
0205_0102_02_Breastplate_task_01,TaskGiveItem,,,1,WorkOrder_0205_0102_Breastplate_BattlesEmbrace_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0205_0102_02_Breastplate_task_01,,,1,,,,,,,,,,,,,,,,
0205_0102_01_Boots_task_01,TaskGiveItem,,,1,WorkOrder_0205_0102_Boots_BattlesEmbrace_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0205_0102_01_Boots_task_01,,,1,,,,,,,,,,,,,,,,
0205_0102_03_Greaves_task_01,TaskGiveItem,,,1,WorkOrder_0205_0102_Greaves_BattlesEmbrace_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0205_0102_03_Greaves_task_01,,,1,,,,,,,,,,,,,,,,
0205_0102_04_Gauntlets_task_01,TaskGiveItem,,,1,WorkOrder_0205_0102_Gauntlets_BattlesEmbrace_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0205_0102_04_Gauntlets_task_01,,,1,,,,,,,,,,,,,,,,
0205_0102_05_Helm_task_01,TaskGiveItem,,,1,WorkOrder_0205_0102_Helm_BattlesEmbrace_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0205_0102_05_Helm_task_01,,,1,,,,,,,,,,,,,,,,
0205_0102_Container_01_Boots_01,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0205_0102_01_Boots_task_02,0205_0102_03_Greaves_task_05,0205_0102_03_Greaves_task_07,0205_0102_04_Gauntlets_task_05,0205_0102_ExtraLoot_01
0205_0102_01_Boots_task_02,TaskGoToPOITag,,,,,,,,true,,ancient_shrine_40313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0205_0102_01_Boots_task_02,,,,,,,,,,,,,,,,,,,
0205_0102_03_Greaves_task_05,TaskHaveItems,,,10,0205_0102_AttunedStarmetal,,,100,true,,ancient_shrine_40313,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0205_0102_03_Greaves_task_05,,,,,,,,,,,,,,,,,,,
0205_0102_03_Greaves_task_07,TaskHaveItems,,,10,0205_0102_ReforgedPlating,Frosttorrent,100,,true,,ancient_shrine_40313,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0205_0102_03_Greaves_task_07,,,,,,,,,,,,,,,,,,,
0205_0102_04_Gauntlets_task_05,TaskHaveItems,,,15,0205_0102_EssencePower,AncientGuardian_Reaver_45,100,,true,,ancient_shrine_40313,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0205_0102_04_Gauntlets_task_05,,,,,,,,,,,,,,,,,,,
0205_0102_ExtraLoot_01,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0205_0102_04_Gauntlets_task_05_02,0205_0102_04_Gauntlets_task_05_03,0205_0102_04_Gauntlets_task_05_04,0205_0102_04_Gauntlets_task_05_05,0205_0102_ExtraLoot_02
0205_0102_04_Gauntlets_task_05_02,TaskHaveItems,,,15,0205_0102_EssencePower,AncientGuardian_Reaver_45,100,,true,,ancient_shrine_40313,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0205_0102_04_Gauntlets_task_05_03,TaskHaveItems,,,15,0205_0102_EssencePower,AncientGuardian_Reaver_45,100,,true,,ancient_shrine_40313,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0205_0102_04_Gauntlets_task_05_04,TaskHaveItems,,,15,0205_0102_EssencePower,AncientGuardian_Reaver_45,100,,true,,ancient_shrine_40313,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0205_0102_04_Gauntlets_task_05_05,TaskHaveItems,,,15,0205_0102_EssencePower,AncientGuardian_Reaver_45,100,,true,,ancient_shrine_40313,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0205_0102_ExtraLoot_02,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0205_0102_04_Gauntlets_task_05_06,0205_0102_04_Gauntlets_task_05_07,0205_0102_04_Gauntlets_task_05_08,0205_0102_04_Gauntlets_task_05_09,0205_0102_ExtraLoot_03
0205_0102_04_Gauntlets_task_05_06,TaskHaveItems,,,15,0205_0102_EssencePower,AncientGuardian_Reaver_45,100,,true,,ancient_shrine_40313,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0205_0102_04_Gauntlets_task_05_07,TaskHaveItems,,,15,0205_0102_EssencePower,AncientGuardian_Reaver_45,100,,true,,ancient_shrine_40313,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0205_0102_04_Gauntlets_task_05_08,TaskHaveItems,,,15,0205_0102_EssencePower,AncientGuardian_Reaver_45,100,,true,,ancient_shrine_40313,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0205_0102_04_Gauntlets_task_05_09,TaskHaveItems,,,15,0205_0102_EssencePower,AncientGuardian_Reaver_45,100,,true,,ancient_shrine_40313,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0205_0102_ExtraLoot_03,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0205_0102_04_Gauntlets_task_05_10,0205_0102_04_Gauntlets_task_05_11,0205_0102_04_Gauntlets_task_05_12,0205_0102_04_Gauntlets_task_05_13,0205_0102_ExtraLoot_04
0205_0102_04_Gauntlets_task_05_10,TaskHaveItems,,,15,0205_0102_EssencePower,AncientGuardian_Reaver_45,100,,true,,ancient_shrine_40313,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0205_0102_04_Gauntlets_task_05_11,TaskHaveItems,,,15,0205_0102_EssencePower,AncientGuardian_Reaver_45,100,,true,,ancient_shrine_40313,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0205_0102_04_Gauntlets_task_05_12,TaskHaveItems,,,15,0205_0102_EssencePower,AncientGuardian_Reaver_45,100,,true,,ancient_shrine_40313,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0205_0102_04_Gauntlets_task_05_13,TaskHaveItems,,,15,0205_0102_EssencePower,AncientGuardian_Reaver_45,100,,true,,ancient_shrine_40313,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0205_0102_ExtraLoot_04,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0205_0102_04_Gauntlets_task_05_14,0205_0102_04_Gauntlets_task_05_15,,,
