TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
9401_VectorWF_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9401_VectorWF_GoToFrancios,,,,
9401_VectorWF_GoToFrancios,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TV_9401_VectorWF,@9401_VectorWF_GoToFrancios,,10700.995117 4819.245605 102.506508,,,1,,,,,,,,,,,,,,
9403_VectorWolves_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9403_VectorWolves_GoToValencia,,,,
9403_VectorWolves_GoToValencia,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TV_VectorWolves,@9403_VectorWolves_GoToValencia,,8998.4697 7143.457 392.0,,,1,,,,,,,,,,,,,,
9403_VectorBS_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9403_VectorBS_GoToSatiah,,,,
9403_VectorBS_GoToSatiah,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TV_BSVector,@9403_VectorBS_GoToSaitah,,4975.626 8781.7314 184.818,,,1,,,,,,,,,,,,,,
9403_VectorLions_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9403_VectorLions_GoToZinnumun,,,,
9403_VectorLions_GoToZinnumun,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TV_VectorLion,@9403_VectorLions_GoToLion,,9499.1855 1120.5863 54.7791,,,1,,,,,,,,,,,,,,
9401_FirstRace_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9401_OpenedReward,9401_MountUp,EF_Rally_0,9401_FirstRace_ReturnContainer,
9401_OpenedReward,TaskAchievement,,,1,AwardAchievement_Mount_Horse_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9401_FirstRace_OpenReward,,,,,,,,,,,,,,,,,,,
9401_MountUp,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TV_9401_MountUp,@9401_MountTutorial,,8940 5157 152,,,1,,,,,,,,,,,,,,
EF_Rally_0,TaskQuickCourse,,,1,EF_Tour_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9401_FirstRaceTutorial,,,,true,1,,,,,,,,,,,,,,
9401_FirstRace_ReturnContainer,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9401_FirstRace_GoToJochi,9401_FirstRace_FTToJochi,,,
9401_FirstRace_GoToJochi,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TV_9401_MountVector_GoToJochi,@9401_FirstRace_GoToJochi,,8952.042969 5228.910156 151.198822,,,1,,,,,,,,,,,,,,
9401_FirstRace_FTToJochi,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TV_9401_MountVector_GoToJochi,@9401_FirstRace_GoToJochi,,,1,,1,,,,,,,,,,,,,,
9401_TutorialFood_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9401_RecipeContainer,9401_TaskPartialContainer,9401_FeedingTask,,
9401_RecipeContainer,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9401_Vitamins,9401_Barley,9401_Water,9401_Milk,
9401_Vitamins,TaskGiveItem,,,3,MountItem_Vitamins_T1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9401_Barley,TaskGiveItem,,,1,BarleyT1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9401_Water,TaskGiveItem,,,1,WaterT1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9401_Milk,TaskGiveItem,,,1,MilkT1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9401_TaskPartialContainer,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9401_FeedCheck_A,9401_CraftMountConsumable,9401_CraftMountConsumableB,,
9401_FeedCheck_A,TaskAchievement,,,1,9401_Fed_Horse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9401_CraftMountConsumable,TaskCraftRecipe,,,1,,,,,,,,,,,,,,,MountConsum_GruelT1,,,,,,,,,,,,,,,,,,,,,,,,,@9401_CraftMountVittles,,8959.125000 5225.626953 151.246506,,,1,,,,,,,,,,,,,,
9401_CraftMountConsumableB,TaskHaveItems,,,1,MountConsum_GruelT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9401_FeedingTask,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9401_FeedMount,9401_FeedCheck_B,,,
9401_FeedMount,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,,,,Mount_GrantRidingXP_Small,,,,,,,,,,,,,,,,,,,,@9401_CraftMountVittles2,,,,,,,,,,,,,,,,,,,
9401_FeedCheck_B,TaskAchievement,,,1,9401_Fed_Horse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9401_HasFed_Checkpoint,TaskUnlockAchievement,,,,9401_Fed_Horse,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9401_Befriend_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9401_Befriend_push,9401_Befriend_Checkpoint,9401_Goto_Cave,9401_CaveContainer,9401_HorseContainer
9401_Befriend_push,TaskUnlockAchievement,,,,Vector_Mounts_PushQuest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9401_Befriend_Checkpoint,TaskUnlockAchievement,,,,9401_Befriend_Started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9401_Goto_Cave,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TV_Befriend_Cave,@9401_GoTo,,9103.093750 5147.665039 144.104172,,,1,,,,,,,,,,,,,,
9401_CaveContainer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9401_GoTo,,,1,,,,,,,,,,,,9401_Torch,9401_Mural,9401_MuralWhisper,9401_AzothOats,
9401_Torch,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,IO_94_BeastTorch,,,94_BeastTorch_Interact,,,,,,,,,,,,,,,,,,,,@9401_GoTo,,9082.035156 5123.064941 144.729904,,true,1,,,,,,,,,,,,,,
9401_Mural,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,IO_94_BeastMural,,,94_BeastMural_Interact,,,,,,,,,,,,,,,,,,,,@9401_Commune,,9082.035156 5123.064941 144.729904,,,,,,,,,,,,,,,,,
9401_MuralWhisper,TaskTriggerGameEvent,,,1,,,,,,,,,,,,,,,,,,,,94_BeastMural_Whisper,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9401_AzothOats,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,IO_94_AzothOats,,,94_AzothOats_Interact,,,,,,,,,,,,,,,,,,,,@9401_Oats,,9103.489258 5129.180176 144.621094,,,,,,,,,,,,,,,,,
9401_HorseContainer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9401_HorseAchievement,9401_HorseTalkStep,9401_HorseLock,,
9401_HorseAchievement,TaskUnlockAchievement,,,,9401_HorseWalkAway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9401_HorseTalkStep,TaskConversationTopic,,,1,9401_FirstHorse,,,,,,,,,,,,,,,,,9401_HorseTalk,,,,,,,,,,,,,,,,,,,,,,@9401_ApproachHorse,,,,,,,,,,,,,,,,,,,
9401_HorseLock,TaskLockAchievement,,,,9401_HorseWalkAway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9403_FreeWolves_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9403_SadWolfTour_Container,9403_TV_SadWolf,9403_TV_Church,9403_EliminateTarget,9403_CageContainer
9403_SadWolfTour_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9403_SadWolfAchievement,9403_WolfAchievement1,,,
9403_SadWolfAchievement,TaskUnlockAchievement,,,,9403_SadWolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9403_WolfAchievement1,TaskUnlockAchievement,,,,9403_Wolf1WalkAway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9403_TV_SadWolf,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TV_9403_SadWolf,@9403_WolfTour,,9006 6945,,,1,,,,,,,,,,,,,,
9403_TV_Church,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TV_9403_Church,@9403_Church,,9040 6733 436,,,1,,,,,,,,,,,,,,
9403_EliminateTarget,TaskHaveItems,,,1,9403_Key,,,100,true,,abandoned_farm_village_40303,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9403_Eliminate,,9040 6725,,,,,,,,,,,,,,,,,
9403_CageContainer,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9403_WolfCage1Container,9403_WolfCage2Container,9403_WolfCage3Container,,
9403_WolfCage1Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9403_SadWolfAchievementLock,9403_WolfCage1Unlock,9403_WolfLock1,,
9403_SadWolfAchievementLock,TaskLockAchievement,,,,9403_SadWolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9403_WolfCage1Unlock,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,IO_94_CageWolf1,,,94_Cage_Interact1,,,,,,,,,,,,,,,,,,,,@9403_ApproachWolf1,,9006 6945,,,1,,,,,,,,,,,,,,
9403_WolfLock1,TaskLockAchievement,,,,9403_Wolf1WalkAway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9403_WolfCage2Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9403_WolfAchievement2,9403_WolfCage2Unlock,9403_WolfLock2,,
9403_WolfAchievement2,TaskUnlockAchievement,,,,9403_Wolf2WalkAway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9403_WolfCage2Unlock,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,IO_94_CageWolf2,,,94_Cage_Interact2,,,,,,,,,,,,,,,,,,,,@9403_ApproachWolf2,,8904 6791,,,1,,,,,,,,,,,,,,
9403_WolfLock2,TaskLockAchievement,,,,9403_Wolf2WalkAway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9403_WolfCage3Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9403_WolfAchievement3,9403_WolfCage3Unlock,9403_WolfLock3,,
9403_WolfAchievement3,TaskUnlockAchievement,,,,9403_Wolf3WalkAway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9403_WolfCage3Unlock,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,IO_94_CageWolf3,,,94_Cage_Interact3,,,,,,,,,,,,,,,,,,,,@9403_ApproachWolf3,,8960 6763,,,1,,,,,,,,,,,,,,
