TaskID,SubTask1,SubTask2,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,TP_TargetTag,OverrideLocation,ItemName,ItemDropVC,InteractTag,SubTask3,SubTask4,SubTask5,SubTask6
Quest_22000_Task_0,Quest_22000_Task_7,Quest_22000_Task_8,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,
Quest_22000_Task_1,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_22000_Task_1_Description,TidbitTrigger_Arcturus,9728.065430 4421.518066 129.016006,,,,,,,
Quest_22000_Task_2,,,TASKGATHERANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_22000_Task_2_Description,,,Quest_22000_Honey,TestQuest_Honey,IO_TestQuest_Honey,,,,
Quest_22000_Task_3,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_22000_Task_3_Description,TidbitTrigger_Emberwood,8864.980469 3963.861084 108.562500,,,,,,,
Quest_22000_Task_4,,,TASKGATHERANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_22000_Task_4_Description,,,Quest_22000_Honey2,TestQuest_Honey2,IO_TestQuest_Honey2,,,,
Quest_22000_Task_5,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_22000_Task_5_Description,TidbitTrigger_FaithsBounty,9338.570312 4252.031250 116.410004,,,,,,,
Quest_22000_Task_6,,,TASKGATHERANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_22000_Task_6_Description,,,Quest_22000_Honey3,TestQuest_Honey3,IO_TestQuest_Honey3,,,,
Quest_22000_Task_7,Quest_22000_Task_3,Quest_22000_Task_2,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_22000_Task_7_Description,,,,,,Quest_22000_Task_5,Quest_22000_Task_4,Quest_22000_Task_1,Quest_22000_Task_6
Quest_22000_Task_8,Quest_22000_Task_9,Quest_22000_Task_10,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_22000_Task_8_Description,,,,,,Quest_22000_Task_11,Quest_22000_Task_14,,
Quest_22000_Task_9,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_22000_Task_9_Description,TidbitTrigger_Track1,9704.357422 4468.450195 127.826202,,,,,,,
Quest_22000_Task_10,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_22000_Task_10_Description,TidbitTrigger_Track2,9697.078125 4517.781738 121.616501,,,,,,,
Quest_22000_Task_11,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_22000_Task_11_Description,TidbitTrigger_Track3,9727.084961 4539.825195 126.101402,,,,,,,
Quest_22000_Task_14,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_22000_Task_14_Description,TidbitTrigger_Track4,9751.989258 4533.306152 127.203903,,,,,,,
