TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,SubTask14,SubTask15,SubTask16,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,TP_DescriptionTag,TP_TargetTag,UIScreenTag,OverrideLocation,KillEnemyType,InteractTag,POITag
Quest_16006_Task_0,Quest_16006_Task_2,Quest_16006_Task_8,Quest_16006_Task_21,Quest_16006_Task_10,Quest_16006_Task_11,Quest_16006_Task_16,Quest_16006_Task_11_0,Quest_16006_Task_13,Quest_16006_Task_11_0_0,Quest_16006_Task_13_0,Quest_16006_Task_13_0_0,Quest_16006_Task_14,Quest_16006_Task_11_0_0_1,Quest_16006_Task_7,Quest_16006_Task_23,Quest_16006_Task_24,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_16006_Task_1,,,,,,,,,,,,,,,,,TASKQUICKCOURSE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,17ZQ_QuickCourse_MarAmar_Werewolf,@Quest_16006_Task_1_Description,,,,,,
Quest_16006_Task_2,Quest_16006_Task_1,Quest_16006_Task_3,,,,,,,,,,,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_16006_Task_3,Quest_16006_Task_4,Quest_16006_Task_20,,,,,,,,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_16006_Task_4,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,@Quest_16006_Task_4_Description,NEVERCOMPLETE,,,,,
Quest_16006_Task_8,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16172,@Quest_16006_Task_8_Description,,NPC_16172_State_1_Topic_0,,,,
Quest_16006_Task_9,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16005,@Quest_16006_Task_9_Description,,NPC_16005_State_1_Topic_0,,,,
Quest_16006_Task_10,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16072,@Quest_16006_Task_10_Description,,NPC_16072_State_1_Topic_0,,,,
Quest_16006_Task_11,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16006_Task_11_Description,TV_17ZQBS3_GarielFrontOfHouse,,3426.466064 6307.348145 143.828995,,,
Quest_16006_Task_11_0,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16006_Task_11_0_Description,TV_17ZQBS3_GarielHideAroundCorner,,3424.968018 6296.377930 144.399002,,,
