TaskID,SubTask1,SubTask2,SubTask3,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,SubTask4,TP_DescriptionTag,POITag,ItemName,UIScreenTag,SubTask5,ItemDropVC
Quest_03199_Task_0,Quest_03199_Task_1,Quest_03199_Task_6,Quest_03199_Task_8,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,
Quest_03199_Task_1,Quest_03199_Task_2,Quest_03199_Task_4,Quest_03199_Task_5,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,Quest_03199_Task_3,,,,,,
Quest_03199_Task_2,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_03199_Task_2_Description,BrimstoneSands_Settlement_01,,,,
Quest_03199_Task_3,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_03199_Task_3_Description,,NPC_04635,NPC_04635_State_2_Topic_0,,
Quest_03199_Task_4,,,,TASKLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,SS2_SwapActive_Aelstrom_08,,,
Quest_03199_Task_5,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,SS2_SwapActive_Aelstrom_09,,,
Quest_03199_Task_6,Quest_03199_Task_12,Quest_03199_Task_12_0,Quest_03199_Task_12_0_0_0,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Quest_03199_Task_12_0_0,@Quest_03199_Task_6_Description,,,,Quest_03199_Task_12_0_0_0_0,
Quest_03199_Task_12,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,8,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_03199_Task_12_Description,,RedGuffinT5_S8,,,
Quest_03199_Task_8,,,,TASKCRAFTMULTIPLERECIPES,Enter,EarnSpendGoldInSingleTransaction,5,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_03199_Task_8_Description,,,,,"WeaponsBoxT5,ArmorBoxT5,JewelryBoxT5,ToolsBoxT5,CombatConsumablesBoxT5,ArtifactsBoxT5,TrophiesBoxT5,CutGemsBoxT5"
Quest_03199_Task_12_0,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,8,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_03199_Task_12_0_Description,,BlueGuffinT5_S8,,,
Quest_03199_Task_12_0_0,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,3,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_03199_Task_12_0_0_Description,,YellowGuffinT5_S8,,,
Quest_03199_Task_12_0_0_0,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,5,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_03199_Task_12_0_0_0_Description,,PurpleGuffinT5_S8,,,
Quest_03199_Task_12_0_0_0_0,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_03199_Task_12_0_0_0_0_Description,,GreenGuffinT5_S8,,,
