TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,POITag,KillEnemyType,InteractTag,OverrideLocation,TP_TargetTag,ItemName,ItemDropVC
Quest_28009_Task_0,Quest_28009_Task_1,Quest_28009_Task_2,Quest_28009_Task_5,Quest_28009_Task_8,Quest_28009_Task_7,Quest_28009_Task_6,Quest_28009_Task_9,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_28009_Task_1,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28009_Task_1_Description,graveyard_20212,,,,,,
Quest_28009_Task_2,Quest_28009_Task_3,Quest_28009_Task_4,Quest_28009_Task_10,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_28009_Task_3,,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,5,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28009_Task_3_Description,graveyard_20212,Lost,,,,,
Quest_28009_Task_4,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,6,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28009_Task_4_Description,,17_SQ_GravediggingSpots,IO_17_SQ_GravediggingSpots,,,,
Quest_28009_Task_5,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28009_Task_5_Description,,17_SQ_28008_BreakMausoleum,IO_17_SQ_28008_BreakMausoleum,4505.397949 5789.052246 91.029602,,,
Quest_28009_Task_6,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28009_Task_6_Description,,17_SQ_28009_StrangeMap,IO_17_SQ_28009_StrangeMap,4512.089844 5791.609863 92.199997,,,
Quest_28009_Task_7,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_28009_Task_7_Description,,,,,TV_17_SQ_28009_Mausoleum,,
Quest_28009_Task_8,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,17_IQ_TeleporterBackToForbiddenVault,
Quest_28009_Task_9,,,,,,,,TASKGIVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,17_SQ_28009_OrnateMap,
Quest_28009_Task_10,,,,,,,,TASKGATHERITEMS,Enter,EarnSpendGoldInSingleTransaction,10,0.000000,0,0,0,0,0.000000,true,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,0.000000,0,@Quest_28009_Task_10_Description,graveyard_20212,,,,,Gravedirt,GraveDirt
