TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
FactionIntro_Covenant_01_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FactionIntro_Covenant_01_Started_Achievement,FactionIntro_Covenant_01_Task1,FactionIntro_Covenant_01_SliceSwitchContainer,FactionIntro_Covenant_01_Container2,FactionIntro_Covenant_01_Task5
FactionIntro_Covenant_01_Started_Achievement,TaskUnlockAchievement,,,,1,FactionIntro_Covenant_01_started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
FactionIntro_Covenant_01_Task1,TaskConversationState,,,,,9804_Feldan,,,,,,,,,,,,,,,,,9804_Feldan_Default,,,,,,,,,,,,,,,,,,,,,,@FactionIntro_Covenant_01_Feldan,,,,,,,,,,,,,,,,,,,
FactionIntro_Covenant_01_SliceSwitchContainer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,FactionIntro_Covenant_01_SwapActive1,FactionIntro_Covenant_01_SwapActive2,,,
FactionIntro_Covenant_01_SwapActive1,TaskUnlockAchievement,,,,1,SwapActive_9801_Florina_01_On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
FactionIntro_Covenant_01_SwapActive2,TaskUnlockAchievement,,,,1,SwapActive_9801_Florina_00_Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
FactionIntro_Covenant_01_Container2,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@FactionIntro_Covenant_01_Container,,,,,,,,,,,,,,,FactionIntro_Covenant_01_Task2,FactionIntro_Covenant_01_Task3,FactionIntro_Covenant_01_Task4,,
FactionIntro_Covenant_01_Task2,TaskHaveAndReturnItems,,,,1,FactionIntro_Covenant_01_Keepsakes,,,20,true,,withered_farm_3_40149,,,true,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,@FactionIntro_Covenant_01_Junk,,,,,,,,,,,,,,,,,,,
FactionIntro_Covenant_01_Task3,TaskHaveAndReturnItems,,,,1,FactionIntro_Covenant_01_Locket,Withered,10,,true,,withered_farm_3_40149,,,true,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,@FactionIntro_Covenant_01_Locket,,,,,,,,,,,,,,,,,,,
FactionIntro_Covenant_01_Task4,TaskGatherAndReturnItems,,,,1,FactionIntro_Covenant_01_Crest,98_Covenant_01_Crest,100,,true,,withered_farm_3_40149,,,true,,,,,,,IO_98_Covenant_01_Crest,,,,,,,,,,,,,,,,,,,,,,,@FactionIntro_Covenant_01_Crest,,,,,,,,,,,,,,,,,,,
FactionIntro_Covenant_01_Task5,TaskConversationState,,,,,9804_Feldan,,,,,,,,,,,,,,,,,9804_Feldan_3,,,,,,,,,,,,,,,,,,,,,,@FactionIntro_Covenant_01_Feldan2,,,,,,,,,,,,,,,,,,,
FactionIntro_Covenant_Vector_01_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@FactionIntro_Covenant_Vector_01_Container,,,,,,,,,,,,,,,FactionIntro_Covenant_Vector_01_ShrineDiscover,FactionIntro_Covenant_Vector_01_ShrineUnlock,FactionIntro_Covenant_Vector_01_Container2,,
FactionIntro_Covenant_Vector_01_ShrineDiscover,TaskUnlockAchievement,,,,1,spiritshrine_07_40183_discovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
FactionIntro_Covenant_Vector_01_ShrineUnlock,TaskUnlockAchievement,,,,1,spiritshrine_07_40183_charted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
FactionIntro_Covenant_Vector_01_Container2,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@FactionIntro_Covenant_Vector_01_GoToEnclave,,,,,,,,,,,,,,,FactionIntro_Covenant_Vector_01_GoToEnclave,FactionIntro_Covenant_Vector_01_UseSpiritShrine,,,
FactionIntro_Covenant_Vector_01_GoToEnclave,TaskGoToPOITag,,,,1,,,,,true,,covenantenclave_40184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
FactionIntro_Covenant_Vector_01_UseSpiritShrine,TaskGoToPOITag,,,,1,,,,,true,,covenantenclave_40184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@FactionIntro_Covenant_Vector_01_UseSpiritShrine,,,,,,,,,,,,,,,,,,,
