TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,UseGlobalStorage,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
95A_S02_VoicesoftheDesert_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95A_S02_VoicesoftheDesert_RESET_Container,95A_S02_VoicesoftheDesert_Corsica_Container,95A_S02_VoicesoftheDesert_Craft_Container,95A_S02_VoicesoftheDesert_ReturnRima_Container,95A_S02_VoicesoftheDesert_ReturnCorsica_Container
95A_S02_VoicesoftheDesert_RESET_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95A_S02_VoicesoftheDesert_RESET1_Container,95A_S02_VoicesoftheDesert_RESET2_Container,95A_S02_VoicesoftheDesert_RESET3_Container,95A_S02_VoicesoftheDesert_Cutscene_Container,
95A_S02_VoicesoftheDesert_RESET1_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95A_S02_VoicesoftheDesert_PreloopLockR,95A_S02_VoicesoftheDesert_PerformanceLock1R,95A_S02_VoicesoftheDesert_PerformanceLock2R,95A_S02_VoicesoftheDesert_RimaSwap1LockR,95A_S02_VoicesoftheDesert_RimaDialog1LockR
95A_S02_VoicesoftheDesert_PreloopLockR,TaskLockAchievement,,,,1,Unlock_95A_S02_RimaPreLoopIGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95A_S02_VoicesoftheDesert_PerformanceLock1R,TaskLockAchievement,,,,1,Unlock_95A_S02_RimaSongIGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95A_S02_VoicesoftheDesert_PerformanceLock2R,TaskLockAchievement,,,,1,Watched_95A_S02_RimaSongIGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95A_S02_VoicesoftheDesert_RimaSwap1LockR,TaskLockAchievement,,,,1,SwapActive_Season2_Rima_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95A_S02_VoicesoftheDesert_RimaDialog1LockR,TaskLockAchievement,,,,1,95A_Rima01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95A_S02_VoicesoftheDesert_RESET2_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95A_S02_VoicesoftheDesert_Zander_Dialog1LockR,95A_S02_VoicesoftheDesert_Jackal_Dialog1LockR,95A_S02_VoicesoftheDesert_Rima_Swap_ToGroveLockR,95A_S02_VoicesoftheDesert_Rima_Dialog2LockR,95A_S02_VoicesoftheDesert_Rima_Dialog3LockR
95A_S02_VoicesoftheDesert_Zander_Dialog1LockR,TaskLockAchievement,,,,1,95A_Zander01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
