TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,POITag,KillEnemyType,InteractTag,OverrideLocation,TP_TargetTag,ItemName
Quest_28008_Task_0,Quest_28008_Task_1,Quest_28008_Task_2,Quest_28008_Task_4,Quest_28008_Task_3,Quest_28008_Task_16,Quest_28008_Task_11,Quest_28008_Task_21,Quest_28008_Task_43,Quest_28008_Task_5,Quest_28008_Task_8,Quest_28008_Task_22,Quest_28008_Task_23,Quest_28008_Task_24,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_28008_Task_1,,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_1_Description,spider_cave_10315,,,,,
Quest_28008_Task_2,,,,,,,,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,3,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_2_Description,spider_cave_10315,Beast,,,,
Quest_28008_Task_4,,,,,,,,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,2,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_4_Description,spider_cave_10315,Beast,,,,
Quest_28008_Task_5,Quest_28008_Task_6,Quest_28008_Task_7,Quest_28008_Task_12,Quest_28008_Task_13,Quest_28008_Task_14,Quest_28008_Task_15,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_28008_Task_6,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,3.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_6_Description,,,,,,
Quest_28008_Task_7,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,3.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_7_Description,,,,,,
Quest_28008_Task_8,Quest_28008_Task_9,Quest_28008_Task_10,Quest_28008_Task_17,Quest_28008_Task_18,Quest_28008_Task_19,Quest_28008_Task_20,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_28008_Task_9,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_9_Description,,,,,,
Quest_28008_Task_10,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_10_Description,,,,,,
