TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,TP_DescriptionTag,POITag,TP_TargetTag,OverrideLocation,InteractTag,KillEnemyType,ItemDropVC
Quest_16020_Task_0,Quest_16020_Task_2,Quest_16020_Task_3,Quest_16020_Task_4,Quest_16020_Task_4_0,Quest_16020_Task_5,Quest_16020_Task_4_0_0,Quest_16020_Task_10,Quest_16020_Task_6,Quest_16020_Task_1,Quest_16020_Task_8,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_16020_Task_2,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_ZQU_SPush_Satisfy,,,,,,,
Quest_16020_Task_3,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16020_Task_3_Description,upyr_castle_10219,,,,,
Quest_16020_Task_4,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16020_Task_4_Description,,TV_17ZQUS1_EnterHC,3762.719971 5446.246094 134.951996,,,
Quest_16020_Task_4_0,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16020_Task_4_0_Description,,TV_17ZQUS1_ExploreHC,3774.202881 5340.254883 150.356003,,,
Quest_16020_Task_4_0_0,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16020_Task_4_0_0_Description,,TV_17ZQUS1_SpyGuards,3784.560059 5346.270020 149.699997,,,
Quest_16020_Task_4_0_0_0,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16020_Task_4_0_0_0_Description,,TV_17ZQUS1_FindLucian,3760.635986 5430.436035 94.273003,IO_17_ZQUS1_EncStartLucian,,
Quest_16020_Task_7,,,,,,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17ZQ_PrisonKey,@Quest_16020_Task_7_Description,,,3756.280029 5415.290039 92.718002,IO_17_ZQUS1_EncStartLucian,Tendril_Dryad_ELITE_05WC10,Upyr_Mindthief_Named_17ZQUS1
Quest_16020_Task_8,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16020_Task_8_Description,,,3763.013916 5444.574219 92.521004,IO_17_ZQUS1_KisherCageUnlock,17_ZQUS1_KisherCageUnlock_interact,
Quest_16020_Task_1,Quest_16020_Task_4_0_0_0,Quest_16020_Task_7,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,@Quest_16020_Task_1_Description_0,,,,IO_17_ZQUS1_EncStartLucian,,
