TaskID,SubTask1,SubTask2,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,SubTask3,SubTask4,TP_DescriptionTag,POITag,ItemName,UIScreenTag,KillEnemyType,GameModeID,OverrideLocation
Quest_03197_Task_0,Quest_03197_Task_1,Quest_03197_Task_7,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_03197_Task_1,Quest_03197_Task_2,Quest_03197_Task_4,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,Quest_03197_Task_5,Quest_03197_Task_3,,,,,,,
Quest_03197_Task_2,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,0.000000,0,,,@Quest_03197_Task_2_Description,EbonscaleReach_Settlement_01,,,,,
Quest_03197_Task_3,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_03197_Task_3_Description,,NPC_04633,NPC_04633_State_2_Topic_0,,,
Quest_03197_Task_4,,,TASKLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,SS2_SwapActive_Aelstrom_06,,,,
Quest_03197_Task_5,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,SS2_SwapActive_Aelstrom_07,,,,
Quest_03197_Task_7,Quest_03197_Task_9,Quest_03197_Task_10,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Quest_03197_Task_8_1,,@Quest_03197_Task_7_Description,dungeon_entrance_20204,,,,,
Quest_03197_Task_8_0,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,@Quest_03197_Task_8_0_Description,,,,Corrupted_Tiger_Named_DG_Ebonscale_00_01,DungeonEbonscale00,
Quest_03197_Task_8_0_0,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,@Quest_03197_Task_8_0_0_Description,,,,Corrupted_Tiger_Named_DG_Ebonscale_00_02,DungeonEbonscale00,
Quest_03197_Task_8_1,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_03197_Task_8_1_Description,,,,Dynasty_Empress,DungeonEbonscale00,
Quest_03197_Task_9,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_03197_Task_9_Description,,,,Dynasty_Heavy_Named_DG_Ebonscale_00,DungeonEbonscale00,4724.236328 4385.937500 59.702000
Quest_03197_Task_10,Quest_03197_Task_8_0_0,Quest_03197_Task_8_0,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_03197_Task_10_Description,,,,,,4734.528809 4254.830078 45.131401
