TaskID,SubTask1,SubTask2,SubTask3,SubTask4,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,POITag,ItemName,UIScreenTag,KillEnemyType,SubTask5,ItemDropVC
Quest_03196_Task_0,Quest_03196_Task_2,Quest_03196_Task_7,Quest_03196_Task_9,Quest_03196_Task_8,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,
Quest_03196_Task_1,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,0.000000,0,@Quest_03196_Task_1_Description,outpost_43_2_40325,,,,,
Quest_03196_Task_2,Quest_03196_Task_1,Quest_03196_Task_3,Quest_03196_Task_5,Quest_03196_Task_4,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_03196_Task_3,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,SS2_SwapActive_Aelstrom_06,,,,
Quest_03196_Task_4,,,,,TASKLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,SS2_SwapActive_Aelstrom_05,,,,
Quest_03196_Task_5,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03196_Task_5_Description,,NPC_04632,NPC_04632_State_2_Topic_0,,,
Quest_03196_Task_6,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,5,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03196_Task_6_Description,,YellowGuffinT4_S8,,Darkness_Any_GlobalSuccess,,
Quest_03196_Task_7,Quest_03196_Task_6_0,Quest_03196_Task_6_0_0,Quest_03196_Task_6_0_0_0,Quest_03196_Task_6,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03196_Task_7_Description,,,,,Quest_03196_Task_6_0_0_0_0,
Quest_03196_Task_6_0,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,8,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03196_Task_6_0_Description,,RedGuffinT4_S8,,Darkness_Any_GlobalSuccess,,
Quest_03196_Task_6_0_0,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,8,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03196_Task_6_0_0_Description,,BlueGuffinT4_S8,,Darkness_Any_GlobalSuccess,,
Quest_03196_Task_6_0_0_0,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,5,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03196_Task_6_0_0_0_Description,,PurpleGuffinT4_S8,,Darkness_Any_GlobalSuccess,,
Quest_03196_Task_8,,,,,TASKCRAFTMULTIPLERECIPES,Enter,EarnSpendGoldInSingleTransaction,5,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03196_Task_8_Description,,,,,,"WeaponsBoxT4,ArmorBoxT4,JewelryBoxT4,ToolsBoxT4,CombatConsumablesBoxT4,TrophiesBoxT4,CutGemsBoxT4"
Quest_03196_Task_6_0_0_0_0,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,3,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03196_Task_6_0_0_0_0_Description,,GreenGuffinT4_S8,,Darkness_Any_GlobalSuccess,,
Quest_03196_Task_9,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03196_Task_9_Description_0,,NPC_04632,NPC_04632_State_3_Topic_0,,,
