TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,KillEnemyType,TP_DescriptionTag,POITag,UIScreenTag,GameModeID,OverrideLocation,ItemDropVC
Quest_03194_Task_0,Quest_03194_Task_3,Quest_03194_Task_1,Quest_03194_Task_7,Quest_03194_Task_13_0,Quest_03194_Task_18,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_03194_Task_1,Quest_03194_Task_6,Quest_03194_Task_6_0,Quest_03194_Task_6_0_0,Quest_03194_Task_6_0_0_0,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,YellowGuffinT3_S8,Darkness_Any_GlobalSuccess,@Quest_03194_Task_1_Description,,,,,
Quest_03194_Task_2,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,0.000000,2,,,@Quest_03194_Task_2_Description,Brightwood_Settlement_01,,,,
Quest_03194_Task_3,Quest_03194_Task_2,Quest_03194_Task_4,Quest_03194_Task_5,Quest_03194_Task_13,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_03194_Task_4,,,,,,TASKLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,SS2_SwapActive_Aelstrom_03,,,,,,,
Quest_03194_Task_5,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,SS2_SwapActive_Aelstrom_04,,,,,,,
Quest_03194_Task_13,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_04630,,@Quest_03194_Task_13_Description,,NPC_04630_State_2_Topic_0,,,
Quest_03194_Task_13_0,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_04630,,@Quest_03194_Task_13_0_Description,,NPC_04630_State_3_Topic_0,,,
Quest_03194_Task_6,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,8,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,RedGuffinT3_S8,,@Quest_03194_Task_6_Description,,,,,
Quest_03194_Task_6_0,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,8,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,BlueGuffinT3_S8,,@Quest_03194_Task_6_0_Description,,,,,
