TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
99A_MSQ_01_LearnSoulwardens_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99A_MSQ_01_00_container_Start,99A_MSQ_01_01_container_ChasonSteep,99A_MSQ_01_02_container_BearCave,99A_MSQ_01_03_container_Alioth,
99A_MSQ_01_00_container_Start,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99A_MSQ_01_00_Push,,,,
99A_MSQ_01_00_Push,TaskUnlockAchievement,,,,1,EF_Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99A_MSQ_01_01_container_ChasonSteep,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99A_MSQ_01_01A_GoToPOI_ChasonSteep,99A_MSQ_01_01A_container_Whisp01AndSliceSwaps,99A_MSQ_01_01B_container_Plaque_01,99A_MSQ_01_01C_container_Plaque_02,99A_MSQ_01_01D_FindYonas
99A_MSQ_01_01A_GoToPOI_ChasonSteep,TaskGoToPOITag,,,,1,,,,,true,,ancient_ruins_40154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99A_MSQ_01_01A_GoToPOI_ChasonSteep,,8468.131836 3511.487549 127.074295,,,,,,,,,,,,,,,,
99A_MSQ_01_01A_container_Whisp01AndSliceSwaps,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99A_MSQ_01_00C_TriggerWhisper01,99A_MSQ_01_01A_SliceSwap_Yonas_00_Off,99A_MSQ_01_01A_SliceSwap_Yonas_00_A_On,,
99A_MSQ_01_00C_TriggerWhisper01,TaskTriggerGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,99A_IsabellaWhisper_01_Interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99A_MSQ_01_01A_SliceSwap_Yonas_00_Off,TaskUnlockAchievement,,,,1,SwapActive_99A_Yonas_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99A_MSQ_01_01A_SliceSwap_Yonas_00_A_On,TaskUnlockAchievement,,,,1,SwapActive_99A_Yonas_00_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
99A_MSQ_01_01B_container_Plaque_01,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,99A_MSQ_01_01B_container_Plaque_01_Vines_optional,99A_MSQ_01_01B_SliceSwap_Plaque_01,99A_MSQ_01_01B_Investigate_Plaque_01,99A_MSQ_01_01B_TriggerVoicedNote_Plaque_01,
