TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,UseGlobalStorage,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
95_s04_01_SearchRing_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s04_01_Camp_Container,95_s04_01_Village_Container,95_s04_01_Caves_Container,95_s04_01_Cabin_Container,95_s04_01_TurnIn_Container
95_s04_01_Camp_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s04_01_CampSwaps_Container,95_s04_01_SwapIn_SkyeCamp_p01,95_s04_01_Talk_Skye_Varang_partial,,
95_s04_01_CampSwaps_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s04_01_SO_Rima_Corsica_p03,95_s04_01_SwapIn_RimaCamp_p01_InCaseMissed,95_s04_01_SO_SkyeMountains_s01,95_s04_01_SwapOut_DogCamp_legacy,95_s04_01_SwapIn_DogCamp_p01
95_s04_01_SO_Rima_Corsica_p03,TaskLockAchievement,,,,1,SwapActive_Season2_Rima_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s04_01_SwapIn_RimaCamp_p01_InCaseMissed,TaskUnlockAchievement,,,,1,SwapActive_95_RimaCamp_p01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s04_01_SO_SkyeMountains_s01,TaskLockAchievement,,,,1,SwapActive_95_Skye_s01_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s04_01_SwapOut_DogCamp_legacy,TaskUnlockAchievement,,,,1,SwapOff_9503_Dog_legacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s04_01_SwapIn_DogCamp_p01,TaskUnlockAchievement,,,,1,SwapActive_95_DogCamp_p01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s04_01_SwapIn_SkyeCamp_p01,TaskUnlockAchievement,,,,1,SwapActive_95_SkyeCamp_p01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s04_01_Talk_Skye_Varang_partial,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s04_01_Talk_Skye_Varangians,95_s04_01_Talk_Skye_Varangians_dnm,,,
95_s04_01_Talk_Skye_Varangians,TaskConversationTopic,,,,,95_SkyeCamp_p01,,,,,,,,,,,,,,,,,,Topic_95_s04_01_Talk_Skye_Varangians,,,,,,,,,,,,,,,,,,,,,,@12_Default_Task_TalkTo,,,,,,,,,,,,,,,,,,,
95_s04_01_Talk_Skye_Varangians_dnm,TaskConversationTopic,,,,,95_SkyeCamp_p01,,,,,,,,,,,,,,,,,,Topic_95_s04_01_Talk_Skye_Varangians_dnm,,,,,,,,,,,,,,,,,,,,,,@12_Default_Task_TalkTo,,,1,,,,,,,,,,,,,,,,
95_s04_01_Village_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s04_01_GoVillage_container,95_s04_01_FollowTracks_Container,95_s04_01_Swaps_ToCaves_Container,,
95_s04_01_GoVillage_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,95_s04_01_GoVillage,95_s04_01_IceVarang_kill,95_s04_01_Quam_Container,,
95_s04_01_GoVillage,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TV_95_s04_01_GoToVillage,@95_s04_01_SearchRing_GoVillage_Description,,9018.766602 7760.744629 525.517761,,,TRUE,,,,,,,,,,,,,,
95_s04_01_IceVarang_hint,TaskTriggerGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,,95_s04_01_IceVarang_hint,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s04_01_IceVarang_kill,TaskKillContribution,,,,5,,,,,,,,abandoned_village_40307,,,,,,,,,,,,,Varangian,,,,,,,,,,,,,,,,,,,,@95_s04_01_SearchRing_DefeatVarang_Description,,,,,,,,,,,,,,,,,,,
