TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,SubTask14,SubTask15,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,TP_TargetTag,OverrideLocation,ItemName,KillEnemyType,UIScreenTag,InteractTag,POITag,ItemDropVC
Quest_16018_Task_0,Quest_16018_Task_1,Quest_16018_Task_4,Quest_16018_Task_3,Quest_16018_Task_2,Quest_16018_Task_5,Quest_16018_Task_9,Quest_16018_Task_11,Quest_16018_Task_12,Quest_16018_Task_13,Quest_16018_Task_5_0,Quest_16018_Task_5_0_0,Quest_16018_Task_6,Quest_16018_Task_7,Quest_16018_Task_10,Quest_16018_Task_8,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_16018_Task_1,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16018_Task_1_Description,TV_17ZQBRU5b_EsagilaStartRace,4289.761230 6407.362793 151.125000,,,,,,
Quest_16018_Task_3,,,,,,,,,,,,,,,,TASKQUICKCOURSE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16018_Task_3_Description,,,17ZQ_QuickCourse_Esagila_Aurien,,,,,
Quest_16018_Task_4,,,,,,,,,,,,,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,17_ZQBRU5b_EsagilaStartRace_hint,,,,
Quest_16018_Task_5,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16018_Task_5_Description,,,NPC_16093,,NPC_16093_State_1_Topic_0,,,
Quest_16018_Task_6,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16018_Task_6_Description,TV_17ZQBRU5b_EnterSorrowthorn,4316.766113 5996.519043 79.973999,,,,,,
Quest_16018_Task_7,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16018_Task_7_Description,,,NPC_16081,,NPC_16081_State_2_Topic_0,,,
Quest_16018_Task_8,,,,,,,,,,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16018_Task_8_Description,,,,Beast,,,,
Quest_16018_Task_2,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16018_Task_2_Description_0,,,NPC_16176,,NPC_16176_State_1_Topic_0,,,
Quest_16018_Task_10,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16018_Task_10_Description,TV_17ZQBRU5b_EnterRiteArena,4240.813965 5998.517090 71.772003,,,,,,
