TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,UseGlobalStorage,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0502_0101_d_00_container_ancientscholar,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0502_0101_d_01_GiveAndTake_ImpressionKit,0502_0101_d_02_TaskGoToPOITag_SunkenAspect,0502_0101_d_03_container_ancientscholar,,
0502_0101_d_01_GiveAndTake_ImpressionKit,TaskGiveAndTakeItem,,,1,0502_0101_ImpressionKit,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0502_0101_d_02_TaskGoToPOITag_SunkenAspect,TaskGoToPOITag,,,,,,,,,true,,Flooded_Ruins_50125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0502_0101_ancientscholar_goto_POI,,,,,,,,,,,,,,,,,,,
0502_0101_d_03_container_ancientscholar,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0502_0101_d_03_01_TaskGatherAndReturnItems_2_AncientStoneTablet,0502_0101_d_03_02_TaskGatherAndReturnItems_1_StoneTabletRubbing,,,
0502_0101_d_03_01_TaskGatherAndReturnItems_2_AncientStoneTablet,TaskGatherAndReturnItems,,,2,0502_0101_AncientStoneTablet,0509_StoneTablet_00,100,,,true,,Flooded_Ruins_50125,,,true,,,,,,,IO_0509_StoneTablet_00,,,,,,,,,,,,,,,,,,,,,,,@0502_0101_ancientscholar_find_items_at_location,,,,,,,,,,,,,,,,,,,
0502_0101_d_03_01a_TaskGameEvent_AncientStoneTablet_2ndMarker,TaskGameEvent,,,1,,,,,,true,,Flooded_Ruins_50125,,,,,,,,,,IO_0509_StoneTablet_00,,,0509_StoneTablet_00_interact,,,,,,,,,,,,,,,,,,,,,,10757.800 3158.005 83.736,1,,,,,,,,,,,,,,,,
0502_0101_d_03_02_TaskGatherAndReturnItems_1_StoneTabletRubbing,TaskGatherAndReturnItems,,,1,0502_0101_StoneTabletRubbing,0514_StoneWallTablet,100,,,true,,Flooded_Ruins_50125,,,true,,,,,,,IO_0514_StoneWallTablet,,,,,,,,,,,,,,,,,,,,,,,@0502_0101_ancientscholar_find_item_at_location,,10786.939 3183.230 89.791,,,,,,,,,,,,,,,,,
0502_0102_d_00_container_hopespringseternal,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0502_0102_d_01_TaskGoToPOITag_SkyviewRepose,0502_0102_d_02_TaskAchievement_GetQuestLorePage_ImpassableBarrier,0502_0102_d_00_container_hopespringseternal_unlockDoor,0502_0102_d_04_container_hopespringseternal_doorContainer,
0502_0102_d_01_TaskGoToPOITag_SkyviewRepose,TaskGoToPOITag,,1,,,,,,,true,,Hilltop_Ruins_50118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0502_0102_hopespringseternal_goto_POI,,,,,,,,,,,,,,,,,,,
0502_0102_d_02_TaskAchievement_GetQuestLorePage_ImpassableBarrier,TaskAchievement,,1,,Lore_unlock_05_Reekwater_Title_02_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0502_0102_hopespringseternal_find_lore_page,,10588.585 3796.599 248.359,,,false,,,,,,,,,,,,,,
0502_0102_d_00_container_hopespringseternal_unlockDoor,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0502_0102_d_03_HaveAndReturn_MedicusOrb,0502_0102_d_03_HaveAndReturn_DoorUnlockAchievement,,,
0502_0102_d_03_HaveAndReturn_MedicusOrb,TaskHaveAndReturnItems,,1,1,0502_0102_MedicusOrb,AncientGuardian_Javelineer_Named_05WC02,100,,,true,,Hilltop_Ruins_50118,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0502_0102_hopespringseternal_retrieve_item_from_target,,10641.253 3859.031 231.099,,,,,,,,,,,,,,,,,
0502_0102_d_03_HaveAndReturn_DoorUnlockAchievement,TaskUnlockAchievement,,,1,0502_0102_Unlock_SkyviewDoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0502_0102_d_04_container_hopespringseternal_doorContainer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,IO_0517_AncientTowerDoor,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0502_0102_d_04_01_TaskGatherAndReturnItems_1_AncientMap,,,,
0502_0102_d_04_01_TaskGatherAndReturnItems_1_AncientMap,TaskGatherAndReturnItems,,1,1,0502_0102_AncientMap,0510_AncientMap,100,,,true,,Hilltop_Ruins_50118,,,true,,,,,,,IO_0510_AncientMap,,,,,,,,,,,,,,,,,,,,,,,@0502_0102_hopespringseternal_retrieve_item_from_area,,10582.756 3786.888 281.514,,,,,,,,,,,,,,,,,
0502_0103_d_00_container_pathsunseen,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0502_0103_d_01_TaskGoToPOITag_RackhamsHollow,0502_0103_d_02_TriggerArea_0507_AncientRubble,0502_0103_d_03_container_pathsunseen_ancientrubble,0502_0103_d_04_GameEvent_0507_AncientRubble_wavecomplete,0502_0103_d_05_GiveItems_1_BagOfGuardianHearts
0502_0103_d_01_TaskGoToPOITag_RackhamsHollow,TaskGoToPOITag,,1,,,,,,,true,,Lost_Cave_50121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0502_0103_pathsunseen_goto_POI,,,,,,,,,,,,,,,,,,,
0502_0103_d_02_TriggerArea_0507_AncientRubble,TaskTriggerArea,,,1,,,,,,true,,Lost_Cave_50121,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_05_AncientRubble,@0502_0103_pathsunseen_trigvol_enter,,11794.621 3780.081 69.816,,,,,,,,,,,,,,,,,
0502_0103_d_03_container_pathsunseen_ancientrubble,PartialTaskContainer,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0502_0103_d_03_01_GameEvent_0507_AncientRubble_interact,0502_0103_d_03_02_GameEvent_0507_AncientRubble_wavecomplete,,,
0502_0103_d_03_01_GameEvent_0507_AncientRubble_interact,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,,IO_0507_AncientRubble,,,0507_AncientRubble_interact,,,,,,,,,,,,,,,,,,,,@0502_0103_pathsunseen_search_for_item_in_interact,,11794.107 3792.955 69.974,,,,,,,,,,,,,,,,,
0502_0103_d_03_02_GameEvent_0507_AncientRubble_wavecomplete,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,,IO_0507_AncientRubble,,,0507_AncientRubble_WaveComplete,,,,,,,,,,,,,,,,,,,,@0502_0103_pathsunseen_defend_wave_event,,11794.107 3792.955 69.974,,,,,,,,,,,,,,,,,
