TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,POITag,KillEnemyType,InteractTag,OverrideLocation,SubTask6,SubTask7,SubTask8,SubTask9,ItemName,ItemDropVC,GameModeID
Quest_28003_Task_0,Quest_28003_Task_4,Quest_28003_Task_5,Quest_28003_Task_18,Quest_28003_Task_19,Quest_28003_Task_22,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,,,
Quest_28003_Task_1,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28003_Task_1_Description,cemetery_20320,,,,,,,,,,
Quest_28003_Task_2,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28003_Task_2_Description,ruined_castle_20321,,,,,,,,,,
Quest_28003_Task_5,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28003_Task_5_Description,inquisition_hq_20219,,,,,,,,,,
Quest_28003_Task_3,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28003_Task_3_Description_0,,17_IQ_03_SecondSeraphTongue,IO_17_IQ_03_SecondSeraphTongue,5005.689941 7111.680176 240.250000,,,,,,,
Quest_28003_Task_4,Quest_28003_Task_7,Quest_28003_Task_8,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,,,
Quest_28003_Task_7,Quest_28003_Task_1,Quest_28003_Task_9,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28003_Task_7_Description,,,,,,,,,,,
Quest_28003_Task_8,Quest_28003_Task_2,Quest_28003_Task_14,Quest_28003_Task_21,Quest_28003_Task_15,Quest_28003_Task_6,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28003_Task_8_Description,,,,,Quest_28003_Task_10,Quest_28003_Task_17,Quest_28003_Task_3,Quest_28003_Task_16,,,
Quest_28003_Task_9,Quest_28003_Task_11,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,,,
Quest_28003_Task_11,Quest_28003_Task_12,Quest_28003_Task_13,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,,,
