TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
MSQ_WW_PushQuest_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MSQ_WW_PushQuest_Container_Desc,,9326.948242 2598.435547 80.638794,,,,,,,,,,,,,MSQ_WW_PushQuest_TalkTo_Marcel,,,,
MSQ_WW_PushQuest_TalkTo_Marcel,TaskAchievement,,,,1,WW_Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MSQ_WW_PushQuest_Container_Desc,,,,,,,,,,,,,,,,,,,
MSQ_MB_PushQuest_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MSQ_MB_PushQuest_Container_Desc,,7421.027344 3623.032227 104.216742,,,,,,,,,,,,,MSQ_MB_PushQuest_TalkTo_Payne,,,,
MSQ_MB_PushQuest_TalkTo_Payne,TaskAchievement,,,,1,MB_Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MSQ_MB_PushQuest_Container_Desc,,,,,,,,,,,,,,,,,,,
MSQ_EF_PushQuest_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MSQ_EF_PushQuest_Container_Desc,,8551.877930 3263.570557 51.057079,,,,,,,,,,,,,MSQ_EF_PushQuest_TalkTo_Yonas,,,,
MSQ_EF_PushQuest_TalkTo_Yonas,TaskAchievement,,,,1,EF_Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MSQ_EF_PushQuest_Container_Desc,,,,,,,,,,,,,,,,,,,
MSQ_ForgeStaff_PushQuest_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MSQ_ForgeStaff_PushQuest_Container_Desc,,9503.139648 4185.712891 107.420242,,,,,,,,,,,,,MSQ_ForgeStaff_PushQuest_TalkTo_Yonas,,,,
MSQ_ForgeStaff_PushQuest_TalkTo_Yonas,TaskAchievement,,,,1,ForgeStaff_Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MSQ_ForgeStaff_PushQuest_Container_Desc,,,,,,,,,,,,,,,,,,,
MSQ_BW_PushQuest_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MSQ_BW_PushQuest_Container_Desc,,,,,,,,,,,,,,,MSQ_BW_PushQuest_TalkTo_Yonas,,,,
MSQ_BW_PushQuest_TalkTo_Yonas,TaskAchievement,,,,1,BW_Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MSQ_BW_PushQuest_Container_Desc,,,,,,,,,,,,,,,,,,,
MSQ_WF_PushQuest_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MSQ_WF_PushQuest_Container_Desc,,10218.260742 5894.438965 214.731079,,,,,,,,,,,,,MSQ_WF_PushQuest_TalkTo_Galahad,,,,
