TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0204_0101_d_00_Container_UndyingAppetite,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0204_0101_d_01_Container_UndyingAppetite,0204_0101_d_02_Container_UndyingAppetite,,,
0204_0101_d_01_Container_UndyingAppetite,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0204_0101_d_01_01_Task_Goto,0204_0101_d_01_02_Container_UndyingAppetite,,,
0204_0101_d_01_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,abandoned_village_40310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0204_0101_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
0204_0101_d_01_02_Container_UndyingAppetite,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0203_0101_d_01_02_01_Task_Fetch,0204_0101_d_01_02_02_Task_Fetch,,,
0203_0101_d_01_02_01_Task_Fetch,TaskGatherAndReturnItems,,1,6,0204_0101_SoilCoveredBones,0201_DirtPile,100,,true,,abandoned_village_40310,,,true,,,,,,,IO_0201_DirtPile,,,,,,,,,,,,,,,,,,,,,,,@0204_0101_d_01_02_01_Task_Fetch,,,,,,,,,,,,,,,,,,,
0204_0101_d_01_02_02_Task_Fetch,TaskHaveAndReturnItems,,1,2,0204_0101_EerilyGlowingFertilizer,Undead_Gravedigger,100,,true,,abandoned_village_40310,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0204_0101_d_01_02_02_Task_Fetch,,,,,,,,,,,,,,,,,,,
0204_0101_d_02_Container_UndyingAppetite,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0203_0101_d_02_01_Task_Goto,0203_0101_d_02_02_Task_Fetch,,,
0203_0101_d_02_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,abandoned_village_40328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0204_0101_d_02_01_Task_Goto,,,,,,,,,,,,,,,,,,,
0203_0101_d_02_02_Task_Fetch,TaskHaveAndReturnItems,,1,3,0205_0101_EmptyAzothApplicator,Nightmare,100,,true,,abandoned_village_40328,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0204_0101_d_02_02_Task_Fetch,,,,,,,,,,,,,,,,,,,
0202_0101_d_00_Container_BlindingLight,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0202_0101_d_01_Task_Goto,0202_0101_d_02_Container_BlindingLight,,,
