TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,POITag,OverrideLocation,ItemName,ItemDropVC,KillEnemyType,InteractTag,GameModeID,TP_TargetTag
Quest_28005_Task_0,Quest_28005_Task_1,Quest_28005_Task_18,Quest_28005_Task_4,Quest_28005_Task_2,Quest_28005_Task_13,Quest_28005_Task_29,Quest_28005_Task_32,Quest_28005_Task_30,Quest_28005_Task_11,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_28005_Task_1,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28005_Task_1_Description,inquisitor_hall_20323,,,,,,,
Quest_28005_Task_2,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28005_Task_2_Description,inquisition_hq_20219,,,,,,,
Quest_28005_Task_3,,,,,,,,,,TASKGATHERANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28005_Task_3_Description,,5512.750000 6805.129883 284.339996,,,,,,
Quest_28005_Task_4,Quest_28005_Task_5,Quest_28005_Task_9,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_28005_Task_5,Quest_28005_Task_7,,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28005_Task_5_Description,,,,,,,,
Quest_28005_Task_7,,,,,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,4,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28005_Task_7_Description,,,17_IQ_05_HolySalts,Corrupted,,,,
Quest_28005_Task_9,Quest_28005_Task_10,Quest_28005_Task_12,Quest_28005_Task_16,Quest_28005_Task_3,Quest_28005_Task_8,Quest_28005_Task_19,Quest_28005_Task_20,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28005_Task_9_Description,,,,,,,,
Quest_28005_Task_10,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,5,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28005_Task_10_Description,,5490.655762 6899.813965 249.802994,,,Quest_Placeholder_Destructible,IO_Quest_Placeholder_Destructible,,
Quest_28005_Task_13,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28005_Task_13_Description,,4850.500000 5224.698730 93.509598,,,17_IQ_05_FourthSeraphBrazier,IO_17_IQ_05_FourthSeraphBrazier,,
Quest_28005_Task_14,,,,,,,,,,TASKGAMEMODE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_28005_Task_14_Description,inquisition_hq_20219,4875.140137 5211.310059 97.551598,,,,,QuestSeraphim,
Quest_28005_Task_15,,,,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28005_Task_15_Description,,4895.379883 5167.720215 94.910004,,,Trial_Quest_Seraphim_Boss_Heartless_Seraph,,QuestSeraphim,
Quest_28005_Task_16,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28005_Task_16_Description,,5512.733887 6804.737793 283.674500,,,17_IQ_05_FourthSeraphHeart,IO_17_IQ_05_FourthSeraphHeart,,
Quest_28005_Task_18,,,,,,,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28005_Task_18_Description,,,,,17_IQ_Corruption_Whisper_05,,,
Quest_28005_Task_19,,,,,,,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28005_Task_19_Description,,,,,17_IQ_Corruption_Whisper_06,,,
Quest_28005_Task_20,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,12.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28005_Task_20_Description,,,,,,,,
Quest_28005_Task_17,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_28005_Task_17_Description_0,,5573.100098 6828.859863 275.859985,,,,,,TV_17_IQ_05_Trail01
Quest_28005_Task_21,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_28005_Task_21_Description,,5554.879883 6832.459961 286.809998,,,,,,TV_17_IQ_05_Trail02
Quest_28005_Task_22,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_28005_Task_22_Description,,5517.339355 6810.791016 282.709900,,,,,,TV_17_IQ_05_Trail03
Quest_28005_Task_8,,,,,,,,,,TASKGIVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28005_Task_8_Description_1,,,17_IQ_05_SeraphicHeart,,,,,
Quest_28005_Task_6,Quest_28005_Task_23,Quest_28005_Task_17,Quest_28005_Task_24,Quest_28005_Task_21,Quest_28005_Task_25,Quest_28005_Task_26,Quest_28005_Task_27,Quest_28005_Task_28,Quest_28005_Task_22,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_28005_Task_23,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,17_IQ_CorruptionTrail_07,IO_17_IQ_CorruptionTrail_07,,
Quest_28005_Task_24,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,17_IQ_CorruptionTrail_08,IO_17_IQ_CorruptionTrail_08,,
Quest_28005_Task_25,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,17_IQ_CorruptionTrail_09,IO_17_IQ_CorruptionTrail_09,,
Quest_28005_Task_26,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,17_IQ_CorruptionTrail_10,IO_17_IQ_CorruptionTrail_10,,
Quest_28005_Task_27,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,17_IQ_CorruptionTrail_11,IO_17_IQ_CorruptionTrail_11,,
Quest_28005_Task_28,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,17_IQ_CorruptionTrail_12,IO_17_IQ_CorruptionTrail_12,,
Quest_28005_Task_29,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,17_IQ_Seraph_Heartless,,,,,
Quest_28005_Task_30,,,,,,,,,,TASKLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,17_IQ_Seraph_Heartless,,,,,
Quest_28005_Task_11,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,17_IQ_Seraph_All_Defeated,,,,,
Quest_28005_Task_12,Quest_28005_Task_31,Quest_28005_Task_6,,,,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28005_Task_12_Description_0,,,,,,,,
Quest_28005_Task_31,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28005_Task_31_Description,,,,,,,,TV_17_IQ_05_Trail03
Quest_28005_Task_32,Quest_28005_Task_14,Quest_28005_Task_15,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,0.000000,0,,,4875.140137 5211.310059 97.551598,,,,,,
