TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
01_SoleSurvivor_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_SoleSurvivor_OpenUiScreen,01_SoleSurvivor_GotoPointA,01_SoleSurvivor_Container2,01_SoleSurvivor_Container3,01_SoleSurvivor_PushCheck
01_SoleSurvivor_Container2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,01_SoleSurvivor_Whisper_FTUE_01,01_SoleSurvivor_GotoPoint0,01_SoleSurvivor_Whisper_FTUE_03,01_SoleSurvivor_TaskInteract_Thorpes_Box,01_SoleSurvivor_WhisperContainer
01_SoleSurvivor_Container3,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,01_SoleSurvivor_GotoPoint1,01_SoleSurvivor_GotoPoint2,01_SoleSurvivor_GotoPoint2a,01_SoleSurvivor_Whisper_FTUE_05,01_SoleSurvivor_GotoPoint3
01_SoleSurvivor_GiveItem1,TaskGiveItem,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
01_SoleSurvivor_OpenUiScreen,TaskOpenUiScreen,,,,1,,,,,,,,,,,,,,,,,,Inventory,,,,,,,,,,,,,,,,,,,,,,@01_SoleSurvivor_OpenUiScreen,,,,,,,,,,,,,1,,,,,,
01_SoleSurvivor_GotoPointA,TaskTriggerArea,,1,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,ftueQuestTriggerA,@01_SoleSurvivor_GotoPoint0,,,,,,,,,,,,,1,,,,,,
01_SoleSurvivor_GotoPoint0,TaskTriggerArea,,1,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,ftueQuestTrigger0,@01_SoleSurvivor_GotoPoint0,,,,,,,,,,,,,1,,,,,,
01_SoleSurvivor_TaskInteract_Thorpes_Box,TaskGameEvent,,,,1,,,,,,,,,,true,,,,,,,IO_MSQ_Thorpes_Box,,,MSQ_Thorpes_Box_interact,,,,,,,,,,,,,,,,,,,,@01_SoleSurvivor_GetBox,,657.3454 483.9889 20.9274,,,true,,,,,,,,,,,,,,
01_SoleSurvivor_WhisperContainer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@01_SoleSurvivor_GotoPoint1,,,,,,,,,,,,,,,01_SoleSurvivor_TaskTimer,01_SoleSurvivor_Whisper_FTUE_04,,,
01_SoleSurvivor_Whisper_FTUE_01,TaskTriggerGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,01_Whisper_FTUE_01_event,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
