TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,TP_DescriptionTag,OverrideLocation,UIScreenTag,InteractTag,CraftingRecipeId
Quest_22002_Task_0,Quest_22002_Task_1,Quest_22002_Task_4,Quest_22002_Task_10,Quest_22002_Task_5,Quest_22002_Task_7,Quest_22002_Task_6,Quest_22002_Task_9,Quest_22002_Task_11,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,
Quest_22002_Task_1,Quest_22002_Task_2,Quest_22002_Task_3,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,
Quest_22002_Task_2,,,,,,,,,TASKREQUIREGATHERITEMS,Enter,EarnSpendGoldInSingleTransaction,30,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,WoodT1,@Quest_22002_Task_2_Description,,,,
Quest_22002_Task_3,,,,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,5,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,CranberryT1,@Quest_22002_Task_3_Description,"9674.677734 4424.233887 111.684502,9861.366211 4258.551270 135.492096,9816.913086 4505.224121 129.341599,9913.931641 4175.731934 128.704407,9530.306641 4341.016113 111.419998",,,
Quest_22002_Task_4,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_22011,@Quest_22002_Task_4_Description,,NPC_22011_State_3_Topic_0,,
Quest_22002_Task_5,,,,,,,,,TASKINTERACT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_22002_Task_5_Description,,,IO_TestQuest_House,
Quest_22002_Task_6,,,,,,,,,TASKCRAFTRECIPE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_22002_Task_6_Description,,,,TestQuest_CranberryCobblerRecipe
Quest_22002_Task_7,,,,,,,,,TASKREMOVEITEM,Enter,EarnSpendGoldInSingleTransaction,30,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,WoodT1,,,,,
Quest_22002_Task_9,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_22010,@Quest_22002_Task_9_Description,,NPC_22010_State_1_Topic_0,,
Quest_22002_Task_10,,,,,,,,,TASKGIVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,Quest_22002_CobblerWorkOrder,,,,,
Quest_22002_Task_11,,,,,,,,,TASKREMOVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Quest_22002_CranberryCobbler,,,,,
