TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,UIScreenTag,TP_DescriptionTag,POITag,TP_TargetTag,OverrideLocation,KillEnemyType,InteractTag
Quest_16012_Task_0,Quest_16012_Task_1,Quest_16012_Task_2,Quest_16012_Task_3,Quest_16012_Task_4,Quest_16012_Task_5,Quest_16012_Task_6,Quest_16012_Task_7_0,Quest_16012_Task_7,Quest_16012_Task_9,Quest_16012_Task_8,Quest_16012_Task_10,Quest_16012_Task_11,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_16012_Task_1,,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_ZQB_RU3Push_Satisfy,,,,,,,
Quest_16012_Task_2,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16034,NPC_16034_State_2_Topic_0,@Quest_16012_Task_2_Description,,,,,
Quest_16012_Task_3,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16012_Task_3_Description,ruined_castle_20216,,,,
Quest_16012_Task_4,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16096,NPC_16096_State_1_Topic_0,@Quest_16012_Task_4_Description,,,,,
Quest_16012_Task_5,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16035,NPC_16035_State_1_Topic_0,@Quest_16012_Task_5_Description,,,,,
Quest_16012_Task_6,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16012_Task_6_Description,werebear_20339,,,,
Quest_16012_Task_7,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_16012_Task_7_Description,,TV_17ZQBRU3a_FindGorm,5016.902832 6201.816895 114.811996,,
Quest_16012_Task_8,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQB_Title_07_01,,@Quest_16012_Task_8_Description,,,5024.470215 6196.438965 115.047997,,
Quest_16012_Task_9,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16012_Task_9_Description,,,5022.051758 6197.501953 114.533997,17_ZQBRU2_SearchGormsThings_interact,IO_17_ZQBRU2_SearchGormsThings
