TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,UIScreenTag,TP_DescriptionTag,POITag,ItemDropVC,KillEnemyType,TP_TargetTag,OverrideLocation,InteractTag
Quest_18010_Task_0,Quest_18010_Task_3,Quest_18010_Task_1,Quest_18010_Task_6,Quest_18010_Task_17,Quest_18010_Task_4,Quest_18010_Task_19,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_18010_Task_1,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_18000,NPC_18000_State_1_Topic_0,@Quest_18010_Task_1_Description,confused_village_10204,,,,,
Quest_18010_Task_2,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_18054,NPC_18054_State_1_Topic_0,@Quest_18010_Task_2_Description,,UNKNOWN_VALUE,,,,
Quest_18010_Task_3,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_18028,NPC_18028_State_1_Topic_0,@Quest_18010_Task_3_Description,,,,,,
Quest_18010_Task_4,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18010_Task_4_Description,,,17_MSQ_BatteryPost1_Interact,TV_17_MSQ_BerlaurAttack,2583.032959 4456.278809 60.244999,
Quest_18010_Task_5,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_18055,NPC_18055_State_1_Topic_0,@Quest_18010_Task_5_Description,,,,,,
Quest_18010_Task_24,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_18042,NPC_18042_State_1_Topic_0,@Quest_18010_Task_24_Description,,,,,,
Quest_18010_Task_6,Quest_18010_Task_7,Quest_18010_Task_8,Quest_18010_Task_9,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_18010_Task_7,Quest_18010_Task_2,Quest_18010_Task_10,Quest_18010_Task_11,Quest_18010_Task_12,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_18010_Task_8,Quest_18010_Task_5,Quest_18010_Task_13,Quest_18010_Task_14,Quest_18010_Task_15,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
